,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
0,0.0,,,,,,,,,,,0.0
1,0.003,,,,,,,,,,0.0,
2,0.005,,,,,,,0.0,,,,
3,0.007,0.0,0.0,,,,,,,,,
4,0.01,,,1.0,,,,,,,,
5,0.012,,,,,,,,,,,0.0
6,0.014,,,,,,0.0,,,,,
7,0.015,,,,,,,,0.0,,,
8,0.017,,0.0,,,,,,,,,
9,0.018,0.0,0.0,,,,,,,,,
10,0.019,,,,,1.0,,,,0.0,,
11,0.02,,,,,,,,,0.0,,
12,0.021,,,,0.0,,,0.0,,,,
13,0.025,,,,,,,,,,,0.0
14,0.027,,,,,,0.0,,,,0.0,
15,0.028,,0.0,,,,0.0,,,,,
16,0.029,0.0,,,,,,,0.0,,,
17,0.03,,,1.0,,,,,,,,
18,0.035,,,,,,,0.0,,,,
19,0.037,,,,,,,,,,,0.0
20,0.038,,0.0,,,1.0,,,,,,
21,0.04,0.0,,,,,,,,,,
22,0.041,,,,,,0.0,,,,,
23,0.043,,,,0.0,,,,,0.0,,
24,0.044,,,,,,,,,0.0,,
25,0.046,,,,,,,,0.0,,,
26,0.048,,0.0,,,,,,,,,
27,0.05,,,,,,,,,,0.0,
28,0.051,0.0,,1.0,,,,0.0,,,,0.0
29,0.052,,,,,1.0,,,,,,
30,0.056,,,,,,0.0,,,,,
31,0.058,,0.0,,,,,,,,,
32,0.059,,0.0,,,,,,,,,
33,0.062,0.0,,,,,,,,,,
34,0.063,,,,0.0,,,,,,,
35,0.065,,,,,1.0,,,,0.0,,
36,0.066,,,,,,,0.0,0.0,,,
37,0.069,,0.0,,,,,,,,,
38,0.07,,,,,,0.0,,,,,
39,0.071,,,,,,,,,,,0.0
40,0.072,,,,,,,,,,0.0,
41,0.074,0.0,,,,,,,,,,
42,0.077,,,1.0,,,,,,,,
43,0.079,,0.0,,,,,,,,,
44,0.081,,,,0.0,,,,0.0,,,
45,0.082,,,,,1.0,,,,,,
46,0.083,,,,,,,,,,,0.0
47,0.084,0.0,,,,,0.0,,,,,
48,0.085,,,,,,,0.0,,,,
49,0.09,,0.0,,,,,,,0.0,,
50,0.095,0.0,,,,,,,,,0.0,
51,0.096,,,,,1.0,,,,,,0.0
52,0.097,,,,,1.0,,,0.0,,,
53,0.098,,,,,,,0.0,,,,
54,0.099,,,1.0,0.0,,,,,,,
55,0.102,,0.0,,,,,,,0.0,,
56,0.103,,,,,,0.0,,,,,
57,0.107,0.0,,,,,,,,,,
58,0.11,,,,,,,0.0,,,,
59,0.111,,,,,,,,0.0,,,
60,0.112,,0.0,,,,,,,,,
61,0.115,,,,,,,,,,,0.0
62,0.117,,,,,1.0,0.0,,,,0.0,
63,0.118,0.0,,1.0,,,,,,,,
64,0.121,,,,0.0,,,,,,,
65,0.122,,,,0.0,,,,,,,
66,0.124,,,,,,,,,0.0,,
67,0.125,,0.0,,,,,0.0,,,,
68,0.126,,0.0,,,,,0.0,,,,
69,0.127,,,,,,,,,,,0.0
70,0.129,0.0,,,,,,,,,,
71,0.131,,,,,1.0,,,,,,
72,0.134,,,,,,,,0.0,,,
73,0.135,,0.0,,,,0.0,,,,,
74,0.136,,0.0,,,,,,,,,
75,0.138,,,1.0,,,,,,,,
76,0.139,,,,,,,,,,,0.0
77,0.14,,,,,,,0.0,,,,
78,0.141,0.0,,,0.0,,,,,,0.0,
79,0.142,,,,0.0,,,,,,,
80,0.145,,,,,1.0,,,,,,
81,0.146,,0.0,,,1.0,,,,,,
82,0.147,,0.0,,,,,,,,,
83,0.152,,,,,,,,,,,0.0
84,0.153,,,,,,0.0,0.0,,,,0.0
85,0.154,0.0,,,,,,,,,,
86,0.156,,0.0,,,,,,0.0,,,
87,0.157,,,,,,,,0.0,,,
88,0.159,,,,,1.0,,,,,,
89,0.16,,,,0.0,,,,,,,
90,0.161,,,,,,0.0,,,,,
