,MG,1d_DG,TE,BRM,blink_duration,blink_sync,group_formation
dyad_01,0.0007666704065223082,0.03538838400837728,0.5489327930895187,16.7049145,165.584834,0.147929,F
dyad_02,0.0,0.08846702358964767,0.3871465782644902,32.1249855,239.006179,0.850662,F
dyad_03,0.602432638813134,0.16079023530892161,0.6014228565209561,33.1957555,183.71825,0.88,F
dyad_04,0.28849665246500306,0.20424730484478504,0.5546118517629164,38.6815835,165.760655,0.921269,F
dyad_05,0.5818354522870086,0.17405767536742547,0.46537157478063024,24.0545115,215.910975,0.60076,F
dyad_06,0.3961950059453032,0.23609806098915181,0.7448920546039093,26.1464055,197.960167,0.496842,F
dyad_07,0.17381113473806303,0.2663928736695974,0.5804838952489851,31.9849105,174.439739,0.678211,F
dyad_08,0.0002652519893899204,0.13205379540040893,0.4134020257230656,42.809501,175.910638,0.581255,F
dyad_09,0.0281625881377022,0.13466046807327056,0.08054271794305308,14.999921,172.751607,0.301754,Line
dyad_10,0.047944377267230956,0.14410998552821996,0.25817900329825066,23.8516165,212.168437,0.670807,F
dyad_11,0.0005363224370491539,0.010339335713735262,0.506448751317502,26.732668,182.27193,0.607069,F
triad_01,0.14034478768945968,0.2622289071438672,0.371149860962836,25.37132567,170.730568,0.49504,F
triad_02,0.008236526375928395,0.10608594102502854,0.6142614434121285,19.70194733,186.963918,0.464161,F
triad_03,0.002781020394149557,0.041576679190950955,0.4661068009378791,20.852425,183.888591,0.592951,F
triad_04,0.013997521049707227,0.10278709810122515,0.5522256632077179,12.09470267,156.643459,0.252848,F
triad_05,0.051144374118846925,0.2792237384029372,0.4255068338202843,30.031203,173.165839,0.393129,F
triad_06,0.037256156060121524,0.18496393767549413,0.5464642103601433,15.31334567,181.582622,0.433978,F
triad_07,0.005250483597173424,0.04773385855292946,0.30709133105871206,8.873318667,184.488334,0.352771,Line
triad_08,0.05602125147579693,0.14055572477747316,0.0973267511824452,13.47368433,181.230921,0.449588,F
triad_09,0.2057946314443971,0.24388198920505158,0.44702368334978243,24.944555,196.511479,0.634854,F
triad_10,0.019094498837020607,0.1636944948860021,0.32255350241928277,18.11086,171.385072,0.575044,F
triad_11,0.0363942358262333,0.45353009259259264,0.4124874779187946,24.356253,180.338114,0.640599,Line
triad_12,0.009790209790209791,0.11763649425287355,0.45603909164853007,21.71786567,195.462406,0.593707,Line
triad_13,0.08690934939578734,0.20433042212518196,0.5476394050108087,22.93913333,161.57207,0.623437,F
triad_14,0.0,0.020714917266641406,0.4722260584390121,19.365357,174.512953,0.61131,Line
