,seconds_interaction_window,group_type,group_name,TE,MG,1d_DG,BPM,blink_durations
0,0.0,dyad,dyad_01,0.6653012413727778,0.013617960986382,0.1722488038277511,4.0,153.0
1,30.0,dyad,dyad_01,0.734481410242963,0.0,0.0642367376398411,8.0,148.71428571428572
2,60.0,dyad,dyad_01,0.7564016672998147,0.0,0.0855072463768115,9.0,148.46875
3,90.0,dyad,dyad_01,0.7446562732348148,0.0,0.0406533575317604,6.5,131.29166666666669
4,120.0,dyad,dyad_01,0.7194022237035185,0.0,0.0409420289855072,11.0,139.44444444444446
5,150.0,dyad,dyad_01,0.7194573511507407,0.0,0.0611576265016381,7.5,
6,180.0,dyad,dyad_01,0.4568379909974074,0.0,0.0238957277335264,7.5,173.39285714285714
7,210.0,dyad,dyad_01,0.666391950865926,0.0,0.022463768115942,7.5,171.26923076923077
8,240.0,dyad,dyad_01,0.47048033683481477,0.0029143897996357,0.3719489981785063,8.0,144.5
9,270.0,dyad,dyad_01,0.7410785595037036,0.0,0.2392792792792792,7.5,176.60714285714286
10,300.0,dyad,dyad_01,0.18881292035129627,0.0,0.0489130434782608,6.0,
11,330.0,dyad,dyad_01,0.24029253997074074,0.0,0.0,11.0,139.85
12,360.0,dyad,dyad_01,0.6163157393103703,0.0,0.0953405017921147,10.5,
13,390.0,dyad,dyad_01,0.21718466356648147,0.0,0.0257713248638837,7.5,
14,420.0,dyad,dyad_01,0.5351825403335184,0.0,0.0086299892125134,8.5,
15,450.0,dyad,dyad_01,0.13457330935796297,0.0,0.0021621621621621,8.5,
16,480.0,dyad,dyad_01,0.6146039312868519,0.0,0.0,10.0,152.625
17,510.0,dyad,dyad_01,0.6967409967316667,0.0,0.0,6.0,302.04545454545456
18,540.0,dyad,dyad_01,0.6831318189003703,0.0,0.0,8.0,168.78571428571428
19,570.0,dyad,dyad_01,0.49233441122333327,0.0,0.1350668111231491,6.5,
20,600.0,dyad,dyad_01,0.05683098799999999,0.0,0.0,10.0,136.6578947368421
0,0.0,dyad,dyad_02,0.6428369568985185,0.0,0.3893333333333333,10.0,222.8131313131313
1,30.0,dyad,dyad_02,0.35452516038962967,0.0,0.1073564593301435,15.5,216.5625
2,60.0,dyad,dyad_02,0.3650428936862963,0.0,0.1160767846430713,22.5,231.58508403361344
3,90.0,dyad,dyad_02,0.17981891427388888,0.0,0.1644618159951894,27.0,228.9368421052632
4,120.0,dyad,dyad_02,0.4728077392348148,0.0,0.1213389121338912,26.5,271.0098484848485
5,150.0,dyad,dyad_02,0.34296764143,0.0,0.0,11.0,249.65
