seconds_interaction_window;1d_DG;MG;TE;group_type;grup_formation;group_name
0;0.280973451;0;0.467972488;dyad;F;dyad_01
5;0.109375;0;0.629090421;dyad;F;dyad_01
10;0.146341463;0;0.726677245;dyad;F;dyad_01
15;0.345652174;0.080434783;0.754355977;dyad;F;dyad_01
20;0.01986755;0;0.742977771;dyad;F;dyad_01
25;0.12803532;0;0.670733547;dyad;F;dyad_01
30;0.103896104;0;0.647560485;dyad;F;dyad_01
35;0.056399132;0;0.702746903;dyad;F;dyad_01
40;0;0;0.758068749;dyad;F;dyad_01
45;0.023965142;0;0.771989746;dyad;F;dyad_01
50;0.028446389;0;0.765852561;dyad;F;dyad_01
55;0.169491525;0;0.760670017;dyad;F;dyad_01
60;0.204395604;0;0.769760302;dyad;F;dyad_01
65;0.189130435;0;0.760218281;dyad;F;dyad_01
70;0;0;0.676109028;dyad;F;dyad_01
75;0;0;0.765975363;dyad;F;dyad_01
80;0;0;0.783173515;dyad;F;dyad_01
85;0.121475054;0;0.783173515;dyad;F;dyad_01
90;0;0;0.752468587;dyad;F;dyad_01
95;0;0;0.730639039;dyad;F;dyad_01
100;0;0;0.753569421;dyad;F;dyad_01
105;0;0;0.753768243;dyad;F;dyad_01
110;0.084782609;0;0.754065015;dyad;F;dyad_01
115;0.159388646;0;0.723427335;dyad;F;dyad_01
120;0.023861171;0;0.716405683;dyad;F;dyad_01
125;0.150110375;0;0.734796275;dyad;F;dyad_01
130;0.019313305;0;0.738309751;dyad;F;dyad_01
135;0;0;0.717240023;dyad;F;dyad_01
140;0;0;0.699619023;dyad;F;dyad_01
145;0.053648069;0;0.710042588;dyad;F;dyad_01
150;0.047930283;0;0.716056971;dyad;F;dyad_01
155;0.019607843;0;0.71049871;dyad;F;dyad_01
160;0.273730684;0;0.672378943;dyad;F;dyad_01
165;0.028138528;0;0.740248347;dyad;F;dyad_01
170;0;0;0.744487946;dyad;F;dyad_01
175;0;0;0.733073191;dyad;F;dyad_01
180;0.056034483;0;0.582991597;dyad;F;dyad_01
185;0.050108932;0;0.283132303;dyad;F;dyad_01
190;0;0;0.115025094;dyad;F;dyad_01
195;0;0;0.40364518;dyad;F;dyad_01
200;0.036796537;0;0.695920414;dyad;F;dyad_01
205;0;0;0.660313358;dyad;F;dyad_01
210;0;0;0.668445689;dyad;F;dyad_01
215;0.055201699;0;0.722439684;dyad;F;dyad_01
220;0;0;0.751982377;dyad;F;dyad_01
225;0.07860262;0;0.751982377;dyad;F;dyad_01
230;0;0;0.746058634;dyad;F;dyad_01
235;0;0;0.357442944;dyad;F;dyad_01
240;0;0;0.26098542;dyad;F;dyad_01
245;0.048780488;0;0.232111439;dyad;F;dyad_01
250;0.017391304;0;0.146107903;dyad;F;dyad_01
255;0.506550218;0.017467249;0.678393608;dyad;F;dyad_01
260;1;0;0.736666579;dyad;F;dyad_01
265;0.647186147;0;0.768617072;dyad;F;dyad_01
270;0.35193133;0;0.769358271;dyad;F;dyad_01
275;0;0;0.769358271;dyad;F;dyad_01
280;0.415754923;0;0.79401373;dyad;F;dyad_01
285;0.498905908;0;0.817382691;dyad;F;dyad_01
290;0.176344086;0;0.8095599;dyad;F;dyad_01
295;0;0;0.486798493;dyad;F;dyad_01
300;0;0;0.270083928;dyad;F;dyad_01
305;0.015384615;0;0.079081685;dyad;F;dyad_01
310;0;0;0.180963977;dyad;F;dyad_01
315;0.175704989;0;0.188990644;dyad;F;dyad_01
320;0.064516129;0;0.205416644;dyad;F;dyad_01
325;0.036956522;0;0.208340644;dyad;F;dyad_01
330;0;0;0.205746264;dyad;F;dyad_01
335;0;0;0.230614144;dyad;F;dyad_01
340;0;0;0.263408703;dyad;F;dyad_01
345;0;0;0.247040144;dyad;F;dyad_01
350;0;0;0.247142479;dyad;F;dyad_01
355;0;0;0.247803506;dyad;F;dyad_01
360;0.052173913;0;0.322779844;dyad;F;dyad_01
365;0;0;0.612902849;dyad;F;dyad_01
370;0.025751073;0;0.664871932;dyad;F;dyad_01
375;0.243010753;0;0.697743441;dyad;F;dyad_01
380;0.246284501;0;0.699382266;dyad;F;dyad_01
385;0.002155172;0;0.700214104;dyad;F;dyad_01
390;0.152173913;0;0.508146876;dyad;F;dyad_01
395;0;0;0.257819948;dyad;F;dyad_01
400;0.002202643;0;0.103901232;dyad;F;dyad_01
405;0;0;0.107171071;dyad;F;dyad_01
410;0;0;0.174228245;dyad;F;dyad_01
415;0;0;0.151840609;dyad;F;dyad_01
420;0;0;0.154154991;dyad;F;dyad_01
425;0;0;0.548909691;dyad;F;dyad_01
430;0;0;0.668618973;dyad;F;dyad_01
435;0;0;0.672623201;dyad;F;dyad_01
440;0.023655914;0;0.672623201;dyad;F;dyad_01
445;0.028077754;0;0.494165186;dyad;F;dyad_01
450;0.012987013;0;0.156993635;dyad;F;dyad_01
455;0;0;0.13001147;dyad;F;dyad_01
460;0;0;0.13001147;dyad;F;dyad_01
465;0;0;0.13001147;dyad;F;dyad_01
470;0;0;0.13001147;dyad;F;dyad_01
475;0;0;0.130400343;dyad;F;dyad_01
480;0;0;0.318704346;dyad;F;dyad_01
485;0;0;0.655220203;dyad;F;dyad_01
490;0;0;0.681198773;dyad;F;dyad_01
495;0;0;0.677500089;dyad;F;dyad_01
500;0;0;0.677500089;dyad;F;dyad_01
505;0;0;0.677500089;dyad;F;dyad_01
510;0;0;0.692906195;dyad;F;dyad_01
515;0;0;0.697507957;dyad;F;dyad_01
520;0;0;0.697507957;dyad;F;dyad_01
525;0;0;0.697507957;dyad;F;dyad_01
530;0;0;0.697507957;dyad;F;dyad_01
535;0;0;0.697507957;dyad;F;dyad_01
540;0;0;0.697923145;dyad;F;dyad_01
545;0;0;0.703183172;dyad;F;dyad_01
550;0;0;0.703428776;dyad;F;dyad_01
555;0;0;0.703428776;dyad;F;dyad_01
560;0;0;0.703428776;dyad;F;dyad_01
565;0;0;0.587398268;dyad;F;dyad_01
570;0.579399142;0;0.652201774;dyad;F;dyad_01
575;0.153172867;0;0.690414019;dyad;F;dyad_01
580;0.053533191;0;0.690414019;dyad;F;dyad_01
585;0.019823789;0;0.647800204;dyad;F;dyad_01
590;0;0;0.216345465;dyad;F;dyad_01
595;0;0;0.056830988;dyad;F;dyad_01
600;0;0;0.056830988;dyad;F;dyad_01
605;0;0;0.056830988;dyad;F;dyad_01
0;0;0;0.475787512;dyad;F;dyad_02
5;0.368782161;0;0.660420278;dyad;F;dyad_02
10;0.281914894;0;0.702208102;dyad;F;dyad_02
15;0.889087657;0;0.658822388;dyad;F;dyad_02
20;0.665441176;0;0.677277799;dyad;F;dyad_02
25;0.146473779;0;0.682505663;dyad;F;dyad_02
30;0.185661765;0;0.688912663;dyad;F;dyad_02
35;0.014625229;0;0.502437578;dyad;F;dyad_02
40;0.052539405;0;0.193331238;dyad;F;dyad_02
45;0.007005254;0;0.248703368;dyad;F;dyad_02
50;0.300536673;0;0.248985314;dyad;F;dyad_02
55;0.086956522;0;0.244780802;dyad;F;dyad_02
60;0.009009009;0;0.248263802;dyad;F;dyad_02
65;0.141048825;0;0.205094075;dyad;F;dyad_02
70;0.038251366;0;0.19949879;dyad;F;dyad_02
75;0.202821869;0;0.507445971;dyad;F;dyad_02
80;0;0;0.531067159;dyad;F;dyad_02
85;0.306010929;0;0.498887567;dyad;F;dyad_02
90;0.639344262;0;0.041157839;dyad;F;dyad_02
95;0;0;0.034191894;dyad;F;dyad_02
