seconds_interaction_window;dyad_01_1d_DG;dyad_02_1d_DG;dyad_03_1d_DG;dyad_04_1d_DG;dyad_05_1d_DG;dyad_06_1d_DG;dyad_07_1d_DG;dyad_08_1d_DG;dyad_09_1d_DG;dyad_10_1d_DG;dyad_11_1d_DG;triad_01_1d_DG;triad_03_1d_DG;triad_04_1d_DG;triad_05_1d_DG;triad_06_1d_DG;triad_07_1d_DG;triad_08_1d_DG;triad_09_1d_DG;triad_02_1d_DG;triad_11_1d_DG;triad_10_1d_DG;triad_14_1d_DG;triad_12_1d_DG;triad_13_1d_DG;dyad_01_MG_P1P2;dyad_02_MG_P1P2;dyad_03_MG_P1P2;dyad_04_MG_P1P2;dyad_05_MG_P1P2;dyad_06_MG_P1P2;dyad_07_MG_P1P2;dyad_08_MG_P1P2;dyad_09_MG_P1P2;dyad_10_MG_P1P2;dyad_11_MG_P1P2;triad_01_MG_P1P2;triad_02_MG_P1P2;triad_03_MG_P1P2;triad_04_MG_P1P2;triad_05_MG_P1P2;triad_06_MG_P1P2;triad_07_MG_P1P2;triad_08_MG_P1P2;triad_09_MG_P1P2;triad_10_MG_P1P2;triad_11_MG_P1P2;triad_14_MG_P1P2;triad_12_MG_P1P2;triad_13_MG_P1P2;task_eng_dyad_01;task_eng_dyad_02;task_eng_dyad_03;task_eng_dyad_04;task_eng_dyad_05;task_eng_dyad_06;task_eng_dyad_07;task_eng_dyad_08;task_eng_dyad_09;task_eng_dyad_10;task_eng_dyad_11;task_eng_triad_01;task_eng_triad_02;task_eng_triad_03;task_eng_triad_04;task_eng_triad_05;task_eng_triad_06;task_eng_triad_07;task_eng_triad_08;task_eng_triad_09;task_eng_triad_10;task_eng_triad_11;task_eng_triad_12;task_eng_triad_13;task_eng_triad_14
0;0.280973451;0;0;0.152298851;0.543147208;0.508571429;0.489971347;0.157894737;0.304347826;0.080645161;0;0.236979167;0.086419753;0.291044776;1.121875;0.915824916;0.547826087;0.833333333;0.051587302;0.708762887;1.455598456;0.247349823;0.225255973;0;0.876811594;0;0;1;0;0.251269036;0.091428571;0.401146132;0;0;0;0;0.763020833;0;0.027777778;0;0.08125;0.026936027;0.049275362;0.518115942;0;0;0;0;0;0.065217391;0.467972488;0.475787512;0.07548364;0.447683915;0.118087767;0.646238832;0.198246447;0.010179798;0.002236365;0.01298815;0.028915403;0.16077239;0.202735202;0.159036095;0.326213642;0.12843225;0.010963503;8.60E-05;0.0151385;0.01298815;0.017641789;0.165630831;0.01298815;0.01728885;0.037847887
5;0.109375;0.368782161;0.037037037;0.283667622;0.761670762;0.651428571;0.742209632;0;0.523809524;0.336065574;0;0.909313725;0.504178273;0.751693002;0.579439252;0.704318937;0.273775216;0.563176895;0.933333333;0.784415584;1.421875;0.548611111;0.306122449;0.054495913;0.56;0;0;0.962962963;0.071633238;0.238329238;0.285714286;0.138810198;0;0.023809524;0;0;0.024509804;0.038961039;0.019498607;0;0.080996885;0.016611296;0;0.003610108;0.145098039;0.055555556;0.3125;0;0;0;0.629090421;0.660420278;0.493283034;0.617534228;0.275704624;0.682042112;0.37394996;0.010179798;0.002236365;0.01298815;0.029532998;0.595179878;0.110174098;0.490316752;0.501361045;0.12843225;0.001578412;8.60E-05;0.0151385;0.01298815;0.017641789;0.161827059;0.01298815;0.01728885;0.036208908
10;0.146341463;0.281914894;0;0.528023599;0.221105528;0.527859238;0.633522727;0.184713376;0;0.318181818;0.05;0.91283293;0.186046512;0.943661972;0.553459119;1.089108911;0.298816568;0.694029851;0.884297521;0.356020942;1.643410853;0.436666667;0.62244898;0.750649351;0.592057762;0;0;1;0.053097345;0.778894472;0.302052786;0.190340909;0;0;0;0;0.210653753;0.018324607;0;0;0;0;0.032544379;0.104477612;0;0;0.065891473;0;0;0;0.726677245;0.702208102;0.684432782;0.645480963;0.277554018;0.736666643;0.513279685;0.01342991;0.002236365;0.01298815;0.029073763;0.695078791;0.035620647;0.649330974;0.641595568;0.130998346;0.001578412;8.60E-05;0.0151385;0.01298815;0.017641789;0.156474232;0.022674553;0.01728885;0.035699196
15;0.345652174;0.889087657;0;0.371014493;0.461538462;0.502808989;0.354107649;0.57704918;0;0.347107438;0;0.312039312;0.076923077;0.51048951;1.009174312;0.516447368;0.131805158;0.825454545;0.94047619;0.368159204;1.65;0.372483221;0.242320819;0.363157895;0.777777778;0.080434783;0;1;0.028985507;0.48974359;0.328651685;0.529745042;0;0;0.119834711;0;0.862407862;0;0;0;0.097859327;0;0;0;0;0.013422819;0.123076923;0;0;0.05734767;0.754355977;0.658822388;0.721245893;0.670032581;0.28364747;0.736700481;0.68695591;0.014052663;0.002236365;0.01298815;0.0276675;0.71243791;0.015883477;0.513640069;0.685784662;0.153780448;0.001578412;8.60E-05;0.0151385;0.01298815;0.100882519;0.291456149;0.184494317;0.01728885;0.035699196
20;0.01986755;0.665441176;0;0.307246377;0.557692308;0.498559078;0.352941176;0.281967213;0;0.306122449;0;0.947115385;0.008474576;0.929864253;0.76146789;0.924092409;0.311764706;0.661764706;0.615384615;0.381074169;1.654901961;0.21875;0;0.75;1.241635688;0;0;1;0;0.420673077;0.389048991;0.383753501;0;0;0;0;0.661057692;0;0;0;0.01529052;0;0;0.011029412;0.736842105;0;0;0;0.197916667;0.189591078;0.742977771;0.677277799;0.727140935;0.611994134;0.363390337;0.71907069;0.731851909;0.015776291;0.002236365;0.01298815;0.069366971;0.755180645;0.017470121;0.469651648;0.685784662;0.173419762;0.001578412;8.60E-05;0.0151385;0.01298815;0.332986196;0.422758734;0.249864362;0.01728885;0.035699196
25;0.12803532;0.146473779;0.094736842;0.396067416;0.58190709;0.512747875;0.36056338;0.268852459;0;0.297619048;0.01965602;0.763681592;0;0.738425926;0.507462687;0.413114754;0.29512894;0.371747212;0.82231405;0.382198953;1.276264591;0.46779661;0;0.673629243;0.680147059;0;0;0.905263158;0.547752809;0.278728606;0.467422096;0;0;0;0;0;0.544776119;0;0;0;0.098507463;0.062295082;0;0;0.090909091;0;0.007782101;0;0.005221932;0.349264706;0.670733547;0.682505663;0.730064778;0.363879406;0.344159328;0.692710599;0.68393537;0.015776291;0.002236365;0.01298815;0.542827046;0.758997746;0.017470121;0.462664025;0.685784662;0.365522159;0.001578412;8.60E-05;0.0151385;0.01298815;0.444714017;0.48832337;0.269299893;0.184906193;0.038506654
30;0.103896104;0.185661765;0.006779661;0.643243243;0.314070352;0.492877493;0.434285714;0.168874172;0.026923077;0.441176471;0.082725061;0.488549618;0.034482759;0.640091116;0.743034056;0.425675676;0.098507463;0.244444444;0.73877551;0.560301508;1.848249027;0.273648649;0;0;0.652173913;0;0;0.993220339;0.216216216;0.494974874;0.507122507;0.045714286;0;0;0;0;0.44783715;0.015075377;0;0;0.362229102;0;0;0;0.126530612;0;0;0;0;0.054347826;0.647560485;0.688912663;0.715688406;0.395259089;0.351805796;0.715733851;0.408564169;0.137508299;0.002236365;0.01298815;0.618299215;0.745960249;0.017470121;0.462664025;0.685784662;0.461708525;0.018796264;8.60E-05;0.0151385;0.01298815;0.4738904;0.512103831;0.279001862;0.244237334;0.183494684
35;0.056399132;0.014625229;0;0.601648352;0.191066998;0.553977273;0.662921348;0;0.066945607;0;0.004830918;1.357142857;0;0.215777262;1.088145897;1.061016949;0.146627566;0;0.609375;0.45974026;1.714285714;0.289036545;0.016949153;0.303664921;0.698529412;0;0;1;0.398351648;0.620347395;0.420454545;0.061797753;0;0;0;0;0.007389163;0;0;0;0.218844985;0.013559322;0;0;0.1796875;0.016611296;0;0;0;0;0.702746903;0.502437578;0.6303026;0.689439039;0.361539968;0.757849463;0.618121299;0.302064599;0.002236365;0.01298815;0.629826608;0.734656602;0.017470121;0.462664025;0.691031475;0.510894587;0.316222946;8.60E-05;0.0151385;0.01298815;0.510995378;0.574819759;0.298943468;0.285208729;0.232094924
40;0;0.052539405;0.009375;0.278089888;0.17884131;0.558479532;0.471910112;0.191693291;0;0.548387097;0;0.705159705;0;0.147727273;1.740625;1.221854305;0.689855072;0.514285714;0.858823529;0.14987715;1.576470588;0.619205298;0.87755102;0;0.70260223;0;0;0.990625;0.648876404;0.82115869;0.441520468;0.393258427;0;0;0;0;0.216216216;0.017199017;0;0;0.065625;0.01986755;0;0;0;0;0.101960784;0;0;0.007434944;0.758068749;0.193331238;0.614968016;0.537123559;0.368082053;0.752561278;0.127437331;0.330422005;0.002236365;0.01298815;0.742199579;0.416528525;0.017470121;0.462664025;0.636430945;0.543868062;0.366345325;0.003831012;0.015304046;0.01298815;0.542946976;0.533408736;0.382100688;0.285324343;0.111751577
45;0.023965142;0.007005254;0.225255973;0.743661972;0.32460733;0.5;0.593659942;0.174917492;0;0.665289256;0.023696682;0.814536341;0.232091691;0.223744292;0.951367781;1.145214521;0;0.176258993;0.741935484;0.192105263;1.51372549;0.072413793;0.784982935;0.75596817;0.992727273;0;0;0.774744027;0.030985915;0.67539267;0.166666667;0.095100865;0;0;0.012396694;0;0.037593985;0.002631579;0.051575931;0;0;0.01980198;0;0;0.463709677;0;0.039215686;0;0;0.007272727;0.771989746;0.248703368;0.709466645;0.191105661;0.538268993;0.78139345;0.682169279;0.352062239;0.002236365;0.013472377;0.758211537;0.48064772;0.017470121;0.462664025;0.056438115;0.53514951;0.394894077;0.00165119;0.016630898;0.01298815;0.586672859;0.450443196;0.53052508;0.285324343;0.098059396
