,seconds_interaction_window,group_type,group_name,TE,MG,1d_DG,BPM,blink_durations,G_OnSpeaker,No_G_OnSpeaker,G_SI,No_G_SI
0,0.0,dyad,dyad_01,0.6653012413727778,0.0067419825072886,0.11771137026239059,4.0,153.0,0.0670944087992667,0.8071494042163153,0.0230980751604033,0.0973418881759853
1,60.0,dyad,dyad_01,0.7564016672998147,0.0,0.0631006346328195,17.0,149.04166666666669,0.0126489459211732,0.8003666361136572,0.0170485792850595,0.1572868927589367
2,120.0,dyad,dyad_01,0.7194022237035185,0.0,0.051025966951153,17.5,134.63333333333333,0.0253025302530253,0.8184818481848185,0.0064173083975064,0.145031169783645
3,180.0,dyad,dyad_01,0.4568379909974074,0.0,0.0231800072437522,15.0,179.05172413793105,0.0,0.654628780934922,0.0062328139321723,0.3391384051329056
4,240.0,dyad,dyad_01,0.47048033683481477,0.0014492753623188,0.3052536231884058,15.5,162.29166666666669,0.2565089842317565,0.4952328566189952,0.0447378071140447,0.1956362302896956
5,300.0,dyad,dyad_01,0.18881292035129627,0.0,0.0245009074410163,13.5,170.26923076923077,0.0009165902841429,0.1363886342804766,0.0234647112740604,0.8392300641613198
6,360.0,dyad,dyad_01,0.6163157393103703,0.0,0.0607754733994589,21.5,138.9878048780488,0.0324532453245324,0.3877887788778877,0.0273193986065273,0.5524385771910525
7,420.0,dyad,dyad_01,0.5351825403335184,0.0,0.0053995680345572,16.0,158.81684188761196,0.0,0.4384967919340055,0.0053162236480293,0.5561869844179652
8,480.0,dyad,dyad_01,0.6146039312868519,0.0,0.0,18.5,150.50757575757575,0.0,0.9072240557389072,0.0,0.0927759442610927
9,540.0,dyad,dyad_01,0.6831318189003703,0.0,0.0674481514878268,14.0,214.16666666666663,0.0667277726856095,0.657378551787351,0.0003666361136571,0.2755270394133822
10,600.0,dyad,dyad_01,0.05683098799999999,0.0,0.0,16.5,136.21875,0.0,0.0,0.0,1.0
0,0.0,dyad,dyad_02,0.6428369568985185,0.0,0.2489953862181872,10.0,222.8131313131313,0.0,0.8284142988084326,0.0670944087992667,0.0837763519706691
1,60.0,dyad,dyad_02,0.3650428936862963,0.0,0.1402402402402402,38.0,221.72473867595815,0.0,0.4949587534372135,0.1090742438130155,0.3880843263061411
2,120.0,dyad,dyad_02,0.4728077392348148,0.0,0.061144578313253,53.5,250.3535067873303,0.0,0.6067106710671067,0.0185185185185185,0.3734873487348735
3,180.0,dyad,dyad_02,0.5964963300331482,0.0,0.2103772178321157,21.5,236.42105263157896,0.0,0.6958753437213565,0.0549954170485792,0.2491292392300641
4,240.0,dyad,dyad_02,0.042420084912962966,0.0,0.0686920083807243,35.0,232.1045751633987,0.0,0.3017968463513018,0.0454712137880454,0.6527319398606527
5,300.0,dyad,dyad_02,0.6775667611111111,0.0,0.1181736794986571,21.5,242.42980295566505,0.0,0.923373052245646,0.0027497708524289,0.0738771769019248
6,360.0,dyad,dyad_02,0.6320253237305555,0.0,0.3405895691609977,35.5,261.36367249602546,0.0,0.5850751741840851,0.2354235423542354,0.1787678767876787
7,420.0,dyad,dyad_02,0.0741452492911111,0.0,0.2252988349220759,24.5,247.6780701754386,0.0,0.5085242896425298,0.1360219981668194,0.3536205316223648
8,480.0,dyad,dyad_02,0.2041755428231562,0.0,0.2220828105395232,25.0,252.6875,0.0,0.1029874213836478,0.2224842767295597,0.6745283018867925
0,0.0,dyad,dyad_03,0.5719418438451852,0.9151708164447018,0.0662999420961203,15.0,170.39140271493213,0.5173235563703025,0.1956003666361136,0.2010999083409715,0.0
1,60.0,dyad,dyad_03,0.6863987248394444,0.7591220850480109,0.2065843621399176,32.5,173.71732954545456,0.5644362969752521,0.256461961503208,0.1393217231897341,0.0053162236480293
2,120.0,dyad,dyad_03,0.6588192471642593,0.6075637160865991,0.3107700739928747,32.5,190.165559772296,0.3606527319398606,0.3142647598093143,0.2486248624862486,0.0286028602860286
3,180.0,dyad,dyad_03,0.7072526435468519,0.5037200330669606,0.4240837696335078,34.5,189.70694444444445,0.5596700274977086,0.2335472043996333,0.1483043079743354,0.0331805682859761
4,240.0,dyad,dyad_03,0.5607152988988889,0.5683653578390421,0.3803954330270119,31.0,200.77192982456145,0.2911624495782912,0.3467180051338467,0.286028602860286,0.0067840117345067
5,300.0,dyad,dyad_03,0.22886961939333333,0.7684702004943696,0.21807195825322712,35.5,183.2403225806452,0.121173235563703,0.4078826764436297,0.4254812098991751,0.0012832263978001
6,360.0,dyad,dyad_03,0.68635295188,0.5071546505228398,0.39460649422124383,37.0,183.8150183150183,0.3061972863953062,0.3542354235423542,0.1738173817381738,0.0069673634030069
7,420.0,dyad,dyad_03,0.7041056225631481,0.6742341356673961,0.32002188183807445,37.5,186.2137733142037,0.4296975252062328,0.287442713107241,0.2225481209899175,0.0014665444546287
8,480.0,dyad,dyad_03,0.5191414493057407,0.5208275862068965,0.4579310344827586,35.0,185.77124183006532,0.2154382104877154,0.2667766776677668,0.4838650531719838,0.0139347268060139
9,540.0,dyad,dyad_03,0.46856713631759256,0.4207947740881873,0.4643440391943385,31.5,190.4092741935484,0.3138405132905591,0.2931255728689276,0.323006416131989,0.057378551787351
10,600.0,dyad,dyad_03,0.541780515982037,0.5358038450821956,0.348565059905266,30.0,170.8608597285068,0.4389438943894389,0.2709937660432709,0.1917858452511917,0.0438210487715438
11,660.0,dyad,dyad_03,0.6318823999483333,0.6653940550859013,0.2765203163348786,36.0,180.57585139318888,0.321444493981275,0.2612572447614801,0.3762817654926438,0.0216228265715559
0,0.0,dyad,dyad_04,0.5594342045077778,0.2447337278106509,0.4018934911242603,21.5,182.2586956521739,0.2172318973418881,0.46012832263978,0.1569202566452795,0.1239230064161319
1,60.0,dyad,dyad_04,0.8275196327603704,0.4055136663524976,0.4352026390197925,42.5,154.70833333333331,0.1376718606782768,0.6203483043079744,0.1664527956003666,0.0271310724106324
2,120.0,dyad,dyad_04,0.665950058175926,0.2139869888475836,0.4528345724907063,42.0,164.20238095238096,0.2011367803447011,0.5075174184085075,0.1598826549321599,0.1138613861386138
3,180.0,dyad,dyad_04,0.6035807997196296,0.1966488247614614,0.4538049802187572,42.5,166.42433481152997,0.1409715857011915,0.3924839596700274,0.2991750687442713,0.1666361136571952
4,240.0,dyad,dyad_04,0.5638440570812964,0.4074592074592074,0.3743589743589743,45.5,165.88502415458936,0.2504583791712504,0.5033003300330033,0.0969930326365969,0.1457645764576457
5,300.0,dyad,dyad_04,0.3479503820725926,0.2945990180032733,0.4355856909048397,40.5,167.91400491400492,0.1732355637030247,0.4755270394133822,0.2115490375802016,0.1222731439046746
6,360.0,dyad,dyad_04,0.7606783724985186,0.3919981498612396,0.3878353376503237,35.0,172.22916666666669,0.3331499816648332,0.4954162082874954,0.0738907224055738,0.0555555555555555
7,420.0,dyad,dyad_04,0.5912504397825926,0.1567164179104477,0.439132462686567,33.5,162.68214285714288,0.2021998166819431,0.4342804766269477,0.1838680109990834,0.1578368469294225
8,480.0,dyad,dyad_04,0.0352279984999999,0.496658216178843,0.3821156948605668,41.0,166.31160287081337,0.5141180784745141,0.2253392005867253,0.1052438577191052,0.0731573157315731
9,540.0,dyad,dyad_04,0.6285831785581482,0.1598871384904773,0.42652245473783207,36.5,155.1463963963964,0.0720439963336388,0.6885426214482127,0.0934922089825847,0.1257561869844179
10,600.0,dyad,dyad_04,0.7699189540505555,0.145,0.3021428571428571,31.5,180.4060606060606,0.1279794646131279,0.4686468646864686,0.0878254492115878,0.2895122845617895
0,0.0,dyad,dyad_05,0.2770905904501852,0.4669870455495194,0.4534057668198913,3.5,221.0,0.4031164069660861,0.4021998166819431,0.179468377635197,0.0091659028414298
