seconds_interaction_window;group_type ;grup_formation; group_name;TE;MG;1d_DG;BPM;blink_durations;0_D1;1_D1;2_D1_same;2_D1_different;2_D1;3_D1;MG_D1;MG_D0
0;triad;F;triad_01;0.531460618;0.316038707;0.239242331;13;144.0321429;0.173769817;0.391187976;0.049619106;0.069384394;0.1190035;0;0.088532016;0.227506691
60;triad;F;triad_01;0.03241293;0.070911722;0.17662463;10.5;169.9444444;0.47136655;0.400661567;0.031631176;0.024808766;0.056439942;0.000620219;0.01447178;0.056439942
120;triad;F;triad_01;0.487230359;0.051229085;0.192866488;15;176.7007422;0.475315018;0.377814501;0.033051023;0.062590374;0.095641397;0;0.009502169;0.041726916
180;triad;F;triad_01;0.582341691;0.14679461;0.290322581;14;178.4930556;0.248264598;0.40955492;0.111882401;0.079216007;0.191098408;0.004287464;0.066353614;0.080440996
240;triad;F;triad_01;0.721270538;0.159860456;0.348313838;30;168.6790588;0.114918941;0.460086189;0.128873384;0.134003694;0.262877078;0.002257336;0.052329161;0.107531295
300;triad;F;triad_01;0.422127398;0.025420254;0.308528085;31;182.648578;0.27900779;0.474374744;0.170561706;0.048585486;0.219147192;0.002050021;0.006765068;0.018655187
360;triad;F;triad_01;0.321562011;0.103391572;0.338746146;18.5;178.2582071;0.206783145;0.414594039;0.13299075;0.132579651;0.265570401;0.009660843;0.041521069;0.061870504
420;triad;F;triad_01;0.023861353;0.086313194;0.160980956;9;142.9;0.496917386;0.357172215;0.015824085;0.04377312;0.059597205;0;0.006576243;0.07973695
480;triad;F;triad_01;0.024075404;0.13236481;0.343758407;17;177.6941176;0.20157385;0.391646489;0.10794996;0.135189669;0.243139629;0.031275222;0.05952381;0.072841001
540;triad;F;triad_01;0.026711386;0.05;0.248027211;14;148.6121693;0.377346939;0.43244898;0.048571429;0.09;0.138571429;0.001632653;0.029591837;0.020408163
600;triad;F;triad_01;0.638909527;0.250565727;0.243502709;27;174.5020757;0.193581568;0.437152849;0.020160461;0.098539395;0.118699856;0;0.055955565;0.194610163
660;triad;F;triad_01;0.657312852;0.30931677;0.282194617;28.5;165.2658042;0.05320911;0.455486542;0.125465839;0.056521739;0.181987578;0;0.027122153;0.282194617
720;triad;F;triad_01;0.326951146;0.091016548;0.175925926;19.5;170.8318479;0.501182033;0.325059102;0.015957447;0.059692671;0.075650118;0.007092199;0.030141844;0.060874704
0;triad;F;triad_02;0.041710144;0.007656316;0.138097264;5;169.7222222;0.591875798;0.386643981;0.010633773;0.003190132;0.013823905;0;0;0.007656316
60;triad;F;triad_02;0.591117258;0.032613299;0.116476069;19;195.7;0.653536637;0.288860652;0.007623888;0.007412114;0.015036002;0.00995341;0.000635324;0.031977975
120;triad;F;triad_02;0.744895935;0.004426644;0.07272344;24;171.611413;0.780986509;0.211003373;0.002951096;0.000632378;0.003583474;0;0;0.004426644
180;triad;F;triad_02;0.740450388;0.008465608;0.075908289;20;178.3968254;0.77015873;0.215026455;0;0.006349206;0.006349206;0;0;0.008465608
240;triad;F;triad_02;0.762820269;0.006785411;0.123268306;21;188.3405955;0.639525021;0.337574215;0.012298558;0.003816794;0.016115352;0;0;0.006785411
300;triad;F;triad_02;0.766686773;0.000831947;0.103230727;24;187.0962963;0.697587354;0.293469218;0;0.008111481;0.008111481;0;0;0.000831947
360;triad;F;triad_02;0.676769705;0.004009285;0.140324963;21.5;190.1192621;0.614897658;0.341211226;0.025110783;0.014771049;0.039881832;0;0;0.004009285
420;triad;F;triad_02;0.567710327;0.003607214;0.054375418;17.5;182.7954416;0.840881764;0.147895792;0;0.00761523;0.00761523;0;0;0.003607214
0;triad;F;triad_05;0.317317141;0.085040984;0.299351093;4.5;150.3055556;0.256659836;0.458247951;0.04380123;0.144979508;0.188780738;0.011270492;0.028432377;0.056608607
60;triad;F;triad_05;0.297036578;0.02803262;0.346330275;13.5;168.5889987;0.224260958;0.480377166;0.05861366;0.189602446;0.248216106;0.01911315;0.004841998;0.023190622
120;triad;F;triad_05;0.318884923;0.076530612;0.372108844;19.5;177.2839685;0.150765306;0.504081633;0.007653061;0.230102041;0.237755102;0.030867347;0.044132653;0.032397959
180;triad;F;triad_05;0.550812286;0.046620047;0.244927912;19;178.680518;0.34032634;0.4998705;0.02046102;0.087283087;0.107744107;0.005439005;0.003108003;0.043512044
240;triad;F;triad_05;0.507038268;0.021119593;0.147667515;16.5;168.7354342;0.608396947;0.299491094;0.01043257;0.059033079;0.069465649;0.001526718;0;0.021119593
