seconds_interaction_window,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2,triad_01_MG_P1P2,triad_01_MG_P1P3,triad_01_MG_P2P3,triad_03_MG_P1P2,triad_03_MG_P1P3,triad_03_MG_P2P3,triad_04_MG_P1P2,triad_04_MG_P1P3,triad_04_MG_P2P3,triad_05_MG_P1P2,triad_05_MG_P1P3,triad_05_MG_P2P3,triad_06_MG_P1P2,triad_06_MG_P1P3,triad_06_MG_P2P3,triad_07_MG_P1P2,triad_07_MG_P1P3,triad_07_MG_P2P3,triad_08_MG_P1P2,triad_08_MG_P1P3,triad_08_MG_P2P3,triad_09_MG_P1P2,triad_09_MG_P1P3,triad_09_MG_P2P3,triad_02_MG_P1P2,triad_02_MG_P1P3,triad_02_MG_P2P3,triad_11_MG_P1P2,triad_11_MG_P1P3,triad_11_MG_P2P3,triad_10_MG_P1P2,triad_10_MG_P1P3,triad_10_MG_P2P3,triad_14_MG_P1P2,triad_14_MG_P1P3,triad_14_MG_P2P3,triad_12_MG_P1P2,triad_12_MG_P1P3,triad_12_MG_P2P3,triad_13_MG_P1P2,triad_13_MG_P1P3,triad_13_MG_P2P3
0.0,0.0,0.0,1.0,0.0,0.2512690355329949,0.09142857142857143,0.40114613180515757,0.0,0.0,0.0,0.0,0.0,0.7630208333333334,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125,0.026936026936026935,0.0,0.0,0.04927536231884058,0.0,0.0,0.0,0.322463768115942,0.1956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0
5.0,0.0,0.0,0.9629629629629629,0.07163323782234957,0.23832923832923833,0.2857142857142857,0.1388101983002833,0.0,0.023809523809523808,0.0,0.0,0.0024509803921568627,0.022058823529411766,0.0,0.019498607242339833,0.0,0.0,0.0,0.0,0.0,0.0,0.08099688473520249,0.0,0.013289036544850499,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.1450980392156863,0.0,0.03896103896103896,0.0,0.3125,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.05309734513274336,0.7788944723618091,0.3020527859237537,0.1903409090909091,0.0,0.0,0.0,0.0,0.0,0.2106537530266344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03254437869822485,0.0,0.0,0.0,0.09701492537313433,0.007462686567164179,0.0,0.0,0.0,0.0,0.01832460732984293,0.0,0.06589147286821706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.08043478260869565,0.0,1.0,0.028985507246376812,0.4897435897435897,0.32865168539325845,0.5297450424929179,0.0,0.0,0.11983471074380166,0.0,0.0,0.8624078624078624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09785932721712538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.0,0.0,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,0.05017921146953405,0.007168458781362007,0.0
20.0,0.0,0.0,1.0,0.0,0.4206730769230769,0.38904899135446686,0.38375350140056025,0.0,0.0,0.0,0.0,0.0,0.6610576923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01529051987767584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011029411764705883,0.0,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19791666666666666,0.0,0.1895910780669145,0.0
25.0,0.0,0.0,0.9052631578947369,0.547752808988764,0.2787286063569682,0.46742209631728043,0.0,0.0,0.0,0.0,0.0,0.0,0.5447761194029851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09850746268656717,0.0,0.0,0.0,0.06229508196721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.007782101167315175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005221932114882507,0.0,0.3492647058823529,0.0
30.0,0.0,0.0,0.9932203389830508,0.21621621621621623,0.4949748743718593,0.5071225071225072,0.045714285714285714,0.0,0.0,0.0,0.0,0.0,0.44783715012722647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622291021671827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12653061224489795,0.0,0.01507537688442211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.0
35.0,0.0,0.0,1.0,0.3983516483516483,0.6203473945409429,0.42045454545454547,0.06179775280898876,0.0,0.0,0.0,0.0,0.0,0.007389162561576354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559270516717325,0.17325227963525835,0.0,0.0,0.013559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016611295681063124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.990625,0.648876404494382,0.8211586901763224,0.4415204678362573,0.39325842696629215,0.0,0.0,0.0,0.0,0.1597051597051597,0.056511056511056514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065625,0.0,0.0,0.0033112582781456954,0.0,0.016556291390728478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171990171990172,0.0,0.10196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.0
45.0,0.0,0.0,0.7747440273037542,0.030985915492957747,0.675392670157068,0.16666666666666666,0.09510086455331412,0.0,0.0,0.012396694214876033,0.0,0.0,0.03759398496240601,0.0,0.05157593123209169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4637096774193548,0.0,0.002631578947368421,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007272727272727273,0.0
50.0,0.0,0.0,0.3620689655172414,0.27793696275071633,0.002583979328165375,0.5187319884726225,0.3314285714285714,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680161943319838,0.0,0.0,0.0,0.11284046692607004,0.0,0.0,0.0,0.0,0.020761245674740483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,1.0,0.6361031518624641,0.5358024691358024,0.4418604651162791,0.03081232492997199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.0,0.4756554307116105,0.0,0.0,0.0,0.015267175572519083,0.0,0.0,0.0,0.0,0.08813559322033898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.695364238410596,0.20903954802259886,0.24120603015075376,0.21037463976945245,0.0,0.0,0.0,0.0,0.0,0.0,0.034912718204488775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01532567049808429,0.0,0.0,0.0,0.0163265306122449,0.0,0.09043927648578812,0.0,0.007782101167315175,0.0,0.0,0.0,0.0,0.08403361344537816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16117216117216118,0.0
65.0,0.0,0.0,0.9835526315789473,0.5649717514124294,0.5580246913580247,0.3314121037463977,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.19759036144578312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06569343065693431,0.0,0.0,0.0,0.4448818897637795,0.0,0.09814323607427056,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16911764705882354,0.0
70.0,0.0,0.0,0.7651006711409396,0.729106628242075,0.45524296675191817,0.10982658959537572,0.3185595567867036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,1.0,0.5316091954022989,0.8897058823529411,0.7602339181286549,0.40668523676880225,0.0,0.0,0.0,0.0,0.0,0.12807881773399016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042483660130718956,0.0,0.0,0.0,0.0,0.0,0.0,0.3940520446096654,0.043824701195219126,0.0,0.027888446215139442,0.0,0.06234413965087282,0.0,0.0,0.0,0.0,0.0,0.0,0.07482993197278912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.6655518394648829,0.25925925925925924,0.6936708860759494,0.4124293785310734,0.3425414364640884,0.0,0.0,0.11020408163265306,0.0,0.0,0.004962779156327543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06766917293233082,0.11278195488721804,0.012195121951219513,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.5893854748603352,0.835,0.2713864306784661,0.0,0.0,0.0,0.06584362139917696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393188854489164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26181818181818184,0.0
90.0,0.0,0.0,0.5695364238410596,0.3691860465116279,0.37593984962406013,0.37790697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760869565217391,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,0.7339743589743589,0.43646408839779005,0.2400990099009901,0.7670454545454546,0.3494318181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740072202166065,0.0,0.0,0.766798418972332,0.0,0.0654911838790932,0.0,0.0,0.0,0.0,0.03103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13818181818181818,0.0
100.0,0.0,0.0,1.0,0.013966480446927373,0.5894206549118388,0.41002949852507375,0.16147308781869688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3607142857142857,0.0,0.0,0.4624505928853755,0.0,0.07012987012987013,0.0,0.03088803088803089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0
105.0,0.0,0.0,0.7080536912751678,0.5552407932011332,0.7659033078880407,0.7613636363636364,0.12571428571428572,0.0,0.028112449799196786,0.0,0.0,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.13958810068649885,0.0,0.0,0.0,0.0,0.0,0.0,0.016233766233766232,0.0,0.0,0.0,0.0,0.0,0.0,0.0948905109489051,0.0,0.0,0.5870445344129555,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0
110.0,0.0,0.0,1.0,0.5706214689265536,0.43147208121827413,0.6167146974063401,0.0,0.0,0.0,0.0,0.0,0.0,0.2614213197969543,0.0,0.0,0.0,0.0,0.11210762331838565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08959537572254335,0.0,0.0,0.0,0.0,0.0,0.6463414634146342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,0.0,0.9706840390879479,0.05263157894736842,0.7058823529411765,0.3128491620111732,0.16901408450704225,0.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.0,0.0,0.0,0.0,0.2071269487750557,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.18361581920903955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,0.0
120.0,0.0,0.0,0.16333333333333333,0.3732193732193732,0.5906862745098039,0.7390029325513197,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.002531645569620253,0.0,0.0,0.0,0.0,0.010822510822510822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.33858267716535434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046762589928057555,0.0
125.0,0.0,0.0,0.705685618729097,0.27793696275071633,0.48737373737373735,0.4809384164222874,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.09701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09034267912772585,0.19314641744548286,0.0,0.0,0.21753246753246752,0.0,0.0,0.0,0.0603448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003584229390681,0.0
