seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
0.0,0.7630208333333334,0.0,0.027777777777777776,0.0,0.08125,0.026936026936026935,0.04927536231884058,0.5181159420289855,0.0,0.0,0.0,0.0,0.0,0.06521739130434782
5.0,0.02450980392156863,0.03896103896103896,0.019498607242339833,0.0,0.08099688473520249,0.016611295681063124,0.0,0.0036101083032490976,0.1450980392156863,0.05555555555555555,0.3125,0.0,0.0,0.0
10.0,0.2106537530266344,0.01832460732984293,0.0,0.0,0.0,0.0,0.03254437869822485,0.1044776119402985,0.0,0.0,0.06589147286821706,0.0,0.0,0.0
15.0,0.8624078624078624,0.0,0.0,0.0,0.09785932721712538,0.0,0.0,0.0,0.0,0.013422818791946308,0.12307692307692308,0.0,0.0,0.05734767025089606
20.0,0.6610576923076923,0.0,0.0,0.0,0.01529051987767584,0.0,0.0,0.011029411764705883,0.7368421052631579,0.0,0.0,0.0,0.19791666666666666,0.1895910780669145
25.0,0.5447761194029851,0.0,0.0,0.0,0.09850746268656717,0.06229508196721312,0.0,0.0,0.09090909090909091,0.0,0.007782101167315175,0.0,0.005221932114882507,0.3492647058823529
30.0,0.44783715012722647,0.01507537688442211,0.0,0.0,0.3622291021671827,0.0,0.0,0.0,0.12653061224489795,0.0,0.0,0.0,0.0,0.05434782608695652
35.0,0.007389162561576354,0.0,0.0,0.0,0.2188449848024316,0.013559322033898305,0.0,0.0,0.1796875,0.016611295681063124,0.0,0.0,0.0,0.0
40.0,0.2162162162162162,0.0171990171990172,0.0,0.0,0.065625,0.019867549668874173,0.0,0.0,0.0,0.0,0.10196078431372549,0.0,0.0,0.007434944237918215
45.0,0.03759398496240601,0.002631578947368421,0.05157593123209169,0.0,0.0,0.019801980198019802,0.0,0.0,0.4637096774193548,0.0,0.0392156862745098,0.0,0.0,0.007272727272727273
50.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680161943319838,0.020761245674740483,0.11284046692607004,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515151515151516,0.4756554307116105,0.08813559322033898,0.015267175572519083,0.0,0.0,0.0
60.0,0.034912718204488775,0.09043927648578812,0.0,0.0,0.006097560975609756,0.0,0.0,0.01532567049808429,0.0163265306122449,0.08403361344537816,0.007782101167315175,0.0,0.0,0.16117216117216118
65.0,0.19759036144578312,0.09814323607427056,0.0,0.0,0.015151515151515152,0.0,0.0,0.06569343065693431,0.4448818897637795,0.05714285714285714,0.0,0.0,0.0,0.16911764705882354
70.0,0.0,0.0,0.0,0.0,0.07076923076923076,0.0,0.0,0.0,0.1640625,0.0,0.0,0.0,0.0,0.0
75.0,0.12807881773399016,0.06234413965087282,0.0,0.0,0.0,0.042483660130718956,0.0,0.3940520446096654,0.07171314741035857,0.07482993197278912,0.0,0.0,0.0,0.0
80.0,0.004962779156327543,0.01,0.0,0.0,0.0,0.0,0.0,0.18045112781954886,0.012195121951219513,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.1393188854489164,0.0,0.0,0.025925925925925925,0.58,0.0,0.0,0.0,0.0,0.26181818181818184
