task_eng,dyad_01_anno01,dyad_01_anno02,dyad_02_anno01,dyad_02_anno02,dyad_03_anno01,dyad_03_anno02,dyad_04_anno01,dyad_04_anno02,dyad_05_anno01,dyad_05_anno02,dyad_06_anno01,dyad_06_anno02,dyad_07_anno01,dyad_07_anno02,dyad_08_anno01,dyad_08_anno02,dyad_09_anno01,dyad_09_anno02,dyad_10_anno01,dyad_10_anno02,dyad_11_anno01,dyad_11_anno02,triad_01_anno01,triad_01_anno02,triad_02_anno01,triad_02_anno02,triad_03_anno01,triad_03_anno02,triad_04_anno01,triad_04_anno02,triad_05_anno01,triad_05_anno02,triad_06_anno01,triad_06_anno02,triad_07_anno01,triad_07_anno02,triad_08_anno01,triad_08_anno02,triad_09_anno01,triad_09_anno02,triad_10_anno01,triad_10_anno02,triad_11_anno01,triad_11_anno02,triad_12_anno01,triad_12_anno02,triad_13_anno01,triad_13_anno02,triad_14_anno01,triad_14_anno02
.9-1,0.47732972122055245,0.0,0.08501833067182475,0.0,0.39244768825961657,0.0,0.3562734634097069,0.0,0.3297050920099323,0.0,0.9151680593469337,0.0,0.6682502116191891,0.0,0.28058240514785077,0.0,0.10046587785813142,0.0,0.036349083682932215,0.0,0.45551850479601497,0.0,0.39110224767959695,0.0,0.6822855175127902,0.0,0.3285550354274057,0.0,0.3621989664922487,0.0,0.41782260724640197,0.0,0.5855076599311587,0.0,0.14666292048734386,0.0,0.0,0.0,0.30169067320461745,0.0,0.0,0.0,0.0,0.0,0.3055806569788741,0.0,0.41137926677376846,0.0,0.0,0.0
.8-.9,0.20265050978382237,0.0,0.33561998155687006,0.0,0.26464415486781107,0.0,0.26689786367232876,0.0,0.05047790741181673,0.010867716588999626,0.008585300798099564,0.023547062868574047,0.017983312315373055,0.0,0.031028888495044375,0.0,0.008986179606635348,0.0,0.036873482004857586,0.0,0.05094479436828455,0.0,0.019972709960864286,0.0,0.06830480125934671,0.0,0.22868435911914173,0.0,0.19116643374825312,0.0,0.15098696203190917,0.0,0.09234720265377824,0.0,0.13220607391892927,0.0,0.011140025145463583,0.0,0.30649198079476964,0.006027173357850649,0.1361548556430446,0.0,0.06203249321072943,0.0,0.30875564782024667,0.0,0.09355764544486363,0.0,0.2557878730279415,0.0
.2-.3,0.0831945232560268,0.01592502425362889,0.023953577292458558,0.02444839297361733,0.024683623606064402,0.04678298458839744,0.00779448157438427,0.03946061514115924,0.016037960474846083,0.13859314942685125,0.0033549355060534707,0.0013753151763945903,0.01338815278041702,0.05037400452605939,0.005821324862646726,0.30420853158102823,0.04880996471803668,0.0475039472914758,0.0035603886067564583,0.08166813866195628,0.002675888189041209,0.44236548515911245,0.002009266617684545,0.013570046932869503,0.0008116883116883117,0.01544667453758363,0.009216589861751152,0.05163840367206426,0.0033637752283142124,0.06002795020962657,0.0023957917397267408,0.1159702088505408,0.010575877013072712,0.13903800538602842,0.005031799954024163,0.17223059436540575,0.004912137072015438,0.004356597760299406,0.0021452650934722646,0.14031055266115028,0.010799431321084865,0.2972167541557305,0.01743770546476726,0.29734622897708324,0.013359384540236904,0.24882158993772133,0.0013538150508131915,0.45316702467553566,0.018190458087816004,0.11262117468161946
.4-.5,0.07532353425710676,0.2067873551646501,0.043768696160680146,0.19747644002609027,0.07102806665831349,0.2598358601678988,0.07446002592548948,0.13615932391710578,0.1823531412633083,0.1454131092894316,0.002521411156723416,0.07455875304757341,0.06092905142778171,0.1780883445333149,0.156439585009066,0.07758585431691456,0.13428588136683495,0.0,0.12397880326782955,0.04636785162287481,0.08157342225515624,0.20215306080441317,0.10539653026645275,0.1979127618419277,0.009838646202282565,0.19138626524990163,0.06817726453070072,0.35070399446276024,0.034174006305047286,0.4209431570736781,0.07529383170431068,0.12465061370462319,0.05427047850047261,0.15862032066487133,0.08130060534852239,0.06255268064672678,0.05558317008274612,0.0,0.048370620083767496,0.11750434160792726,0.15105533683289588,0.11543088363954505,0.017485349468769354,0.0,0.13779460251556966,0.11930638661619246,0.058990234480766804,0.03657105723930035,0.05363999239688272,0.1316479756700247
.1-.2,0.04422397539858322,0.04103897054785744,0.1519983806032253,0.11117608690762691,0.053611702794136074,0.06756672096228543,0.03680072726048383,0.04520125923805997,0.016871322153814757,0.06991734412735127,0.0037508595719852465,0.0009793911104628145,0.00894846856807228,0.02335584846338556,0.017436708429332932,0.1372442093495658,0.017426560885752715,0.15077678797684255,0.005243983219253698,0.036266283947891366,0.0032316495821497673,0.08303486888147874,0.0032388178314915056,0.00880178734761812,0.0009100747737111373,0.0015003935458480914,0.004426148886176937,0.01664814848545564,0.004322532418993143,0.02491143683577627,0.0030902241280533326,0.13315741046162394,0.007098143425300066,0.03818373134062171,0.0068197491762662515,0.24563868100431663,0.003713341715154528,0.11327154176778456,0.00199203187250996,0.027147818980488302,0.01572069116360455,0.08251312335958005,0.001143456096050312,0.2568011815712993,0.0004640371229698376,0.19789962144339968,0.000956695969241322,0.11074207115651907,0.030260406766774377,0.0685611100551226
.5-.6,0.042887737731324704,0.38410426314729734,0.03319763388137919,0.24171746024605834,0.03859165518105501,0.3841467234682371,0.03185131563441693,0.2550125418763994,0.09403381067383244,0.17112826966903635,0.002646439809122924,0.27885557106836983,0.03225249192392074,0.41646656416812067,0.2701122002426688,0.04303963136153563,0.06473558020311494,0.0,0.09770368734820048,0.09993928019430338,0.24161211971512084,0.07142563089209995,0.01310521659594248,0.21268237093460887,0.028704250295159387,0.3813951200314837,0.01291415456913353,0.12218356678384729,0.10110825831193734,0.22381292859696447,0.12218537872606379,0.02689189423794726,0.07490503112125697,0.23008328726079436,0.08612806824857602,0.07049628361983092,0.032250518990672786,0.0,0.10302380222698948,0.4682041066503218,0.07827537182852143,0.026438101487314087,0.5596264710086236,0.0,0.057882525338869215,0.12382464281353034,0.09790790447481001,0.14693406018159172,0.17243869986694546,0.21199391750617752
.3-.4,0.03450421921619593,0.044242280024162105,0.05105598164683656,0.028541868154112592,0.014675479263250218,0.11478824708683122,0.010016666386087777,0.06279355566404606,0.01602095309364264,0.08490084696758393,0.0024588968305236615,0.04826105982621017,0.008689343030386787,0.050892255601430375,0.017014082970920642,0.14802797507873103,0.05038888130835656,0.004775735365782343,0.005078383749172003,0.13027158313093398,0.002593553167839941,0.12362603433370384,0.002144217360663358,0.12010616125114333,0.0010576544667453757,0.053153286107831564,0.004007212983370066,0.06129214404109215,0.0038675290064675485,0.05984919886899152,0.0024652349785594,0.05472127220013542,0.00304970483850832,0.28973979418950974,0.004955173558785216,0.018901177492273505,0.0037718195374404255,0.010993830589748838,0.0024006537950761056,0.13663295535805495,0.005249343832020997,0.11934055118110236,0.0024774882081090095,0.3844394682929153,0.003443643912565637,0.21531322505800465,0.0017870358670734128,0.12460513727684615,0.012031933092567953,0.34725337388329214
0-.1,0.016895169409309733,0.25705185700426497,0.18890713209329524,0.29767661546074087,0.026766695902769075,0.024527001628868565,0.15033416945842662,0.193633103819801,0.2181536786965543,0.19405421953127658,0.053137177269790996,0.048240221717476925,0.16889802546340282,0.11942232280131981,0.15139534566672574,0.199574647925727,0.5560710317537669,0.7426560885752714,0.64354714064915,0.3122378008390373,0.049339261454859826,0.06586801696101437,0.42062647133796166,0.4320523009101678,0.15928768201495475,0.1314443132624951,0.21169013314875867,0.39403653849656656,0.14129480971107283,0.12380967857258929,0.06692592142497526,0.2073227895349039,0.05792655740043873,0.07608211018173387,0.41127940537917296,0.2773109243697479,0.7754159235110084,0.8513201368381041,0.07365410154254776,0.07028297068137705,0.3020833333333333,0.32756452318460194,0.05474296059840869,0.06141312115870218,0.053193308096226646,0.08711686408596898,0.036859871116807164,0.1207603025325367,0.03147690553126782,0.11149971488310208
.6-.7,0.013252548919111859,0.04286943310574582,0.031173387913002407,0.0,0.045342062398195715,0.10232113770204235,0.030790727428831165,0.1734650931802495,0.029235688288717303,0.0591516718255723,0.004980307987247077,0.22203004855279335,0.014079154214244995,0.11354881061378203,0.04808387070387588,0.04338045834412619,0.00647160874057036,0.0,0.03612828438948995,0.0,0.036000988020254414,4.116751060063398e-05,0.03321287729978558,1.4994526997645859e-05,0.0015249901613537977,0.22567394726485634,0.005009016229212583,0.0034061310358645563,0.05135038512788846,0.054324157431180735,0.09192548740473255,0.0,0.08223502345240856,0.054841183499491714,0.04957727771959848,0.0,0.07999766088710857,0.0,0.085172131984881,0.033685769741546634,0.1583005249343832,0.0,0.13540425937395778,0.0,0.028526071559408964,0.0,0.1558511886496146,3.6101734688351774e-05,0.22661091047329404,0.0
.7-.8,0.009738060807966173,0.0,0.05530689818042779,0.0,0.06819320887106879,0.0,0.03478055924984428,0.09427450716317907,0.044797442089867,0.11881356508724787,0.003375773614786722,0.3018608431098794,0.0065645136213657645,0.0391625062622005,0.02208558847186814,0.013987539365516489,0.012358433558800024,0.0,0.010349966880105983,0.0,0.07650981845127826,0.0,0.001604414388748107,0.0,0.04727469500196773,0.0,0.12732008524434893,0.0,0.10715330364977738,0.0,0.0669085606152671,0.0,0.03208432166360507,0.0,0.07603892620878139,0.0,0.0332154030583901,0.0,0.0750332005312085,0.00015323322096230462,0.1423611111111111,0.0,0.1496498165705846,0.0,0.09100012211503236,0.0,0.14135634217224138,0.0,0.19956282075651016,0.0
