                              -1500     -1250     -1000     -750      -500      -250       0         250       500       750       1000      1250
dyads                      0.568096  0.721656  0.904866  1.452763  2.305836  3.345027  3.186671  2.326721  1.670172  1.089653  0.713698  0.389308
triads                     1.300213  1.522313  2.016738  2.457411  3.527155  4.874355  4.762559  3.756665  2.440679  2.008409  1.653854  1.428813
dyads_1sampleTtest         0.999997  0.999659  0.995482  0.455247  0.032545  0.006653   0.01083  0.018505  0.211679  0.959745  0.999528  0.999999
dyads_1sampleTtest_stars                                                  *        **         *         *                                        
triads_1sampleTtest        0.999999  0.999976  0.996369  0.757407  0.045249  0.003928  0.003281  0.040028  0.809944  0.999562  0.999975  0.999999
triads_1sampleTtest_stars                                                 *        **        **         *

-1500     -1250     -1000     -750      -500      -250       0         250       500       750       1000      1250
0   0.098846  0.098846  0.197691  0.000000  0.494228  0.197691  0.296537  0.296537  0.395383  0.197691  0.098846  0.098846
1   0.971644  1.457466  1.578922  2.064744  3.279299  4.615310  4.493854  3.279299  2.914933  1.457466  0.850189  0.364367
2   0.829894  1.327830  1.742777  2.406692  3.817512  3.900501  4.896374  3.402565  2.489682  1.991745  1.493809  0.912883
3   0.636360  1.090902  1.181811  2.545439  4.454518  6.181781  7.181775  4.454518  3.363616  1.999988  1.454537  1.090902
4   0.914620  0.640234  0.640234  1.189006  1.737778  1.920702  1.920702  1.463392  1.646316  0.823158  1.280468  0.274386
5   0.330270  0.770631  0.550451  0.770631  1.321082  2.421983  1.761442  1.981622  1.871532  0.880721  0.220180  0.110090
6   0.553851  0.738468  1.107703  2.400022  2.215405  4.800044  2.953873  2.769256  1.753862  1.384628  0.646160  0.369234
7   0.147238  0.220857  0.588953  1.398763  4.269907  6.920194  5.374194  3.092002  1.472382  0.809810  0.441715  0.147238
8   0.210525  0.000000  0.105263  0.315788  0.736838  0.947363  0.210525  0.631576  0.315788  0.736838  0.105263  0.210525
9   0.888880  0.592587  1.037027  1.777760  1.481467  2.666640  2.962934  1.777760  1.481467  0.592587  0.592587  0.148147
10  0.666927  1.000391  1.222700  1.111545  1.556164  2.223091  3.001173  2.445400  0.666927  1.111545  0.666927  0.555773

-1500     -1250     -1000     -750      -500      -250       0         250       500       750       1000      1250
0   0.728751  1.376529  2.024308  2.672086  4.129588  8.259176  7.935287  3.805699  2.510142  2.348197  1.943336  0.890695
1   2.163931  2.163931  2.655733  2.950815  4.426222  5.606548  5.803269  3.344257  2.459012  2.459012  1.770489  1.573768
2   0.553352  0.316201  1.027654  0.632403  1.027654  1.739108  1.739108  0.790503  0.790503  0.790503  0.395252  1.027654
3   0.749999  0.656249  1.687497  2.249996  5.249992  7.218739  8.437487  4.968742  2.343746  1.499998  1.124998  0.468749
4   0.963104  0.770483  1.059414  2.022517  2.504069  2.793000  2.215138  2.600379  1.733586  1.059414  1.637276  0.866793
5   0.827563  0.965491  0.413782  0.551709  0.827563  1.103418  0.689636  0.551709  0.551709  1.379272  0.551709  1.103418
6   1.421053  0.947368  1.578947  1.263158  1.578947  1.578947  2.210526  1.736842  1.894737  2.052632  1.736842  0.789474
7   1.496673  2.313041  2.993347  5.170326  4.762142  9.388223  5.850632  6.803060  3.673653  2.585163  2.176979  1.632735
8   1.593865  1.062577  2.390798  2.125154  2.789264  3.320553  4.648774  2.656442  2.789264  1.992332  0.929755  1.859510
9   0.257284  2.058275  3.087412  3.601981  6.689393  6.689393  7.203962  6.432109  3.859265  2.058275  2.315559  2.572844
10  1.476429  1.919357  2.657572  1.771715  2.952858  4.134001  5.167501  2.362286  1.771715  2.657572  2.362286  1.919357
11  1.744935  2.668724  1.950221  3.181940  3.181940  4.311016  3.489870  6.466524  2.360794  2.258151  2.155508  2.052865
12  2.374018  2.242128  1.978348  2.505908  4.484256  5.275595  5.143705  4.616146  3.824806  2.637797  1.714568  1.978348
13  1.852026  1.852026  2.729302  3.704053  4.776278  6.823255  6.140929  5.458604  3.606578  2.339402  2.339402  1.267176
