TSGroupNTP,P1_valid_blink_onsets,P2_valid_blink_onsets,group_name,P3_valid_blinks,P3_valid_blink_onsets
2023-11-06 16:16:00+00:00,1,7,dyad_01,,
2023-11-06 16:17:00+00:00,4,30,dyad_01,,
2023-11-06 16:18:00+00:00,5,30,dyad_01,,
2023-11-06 16:19:00+00:00,1,29,dyad_01,,
2023-11-06 16:20:00+00:00,3,28,dyad_01,,
2023-11-06 16:21:00+00:00,1,26,dyad_01,,
2023-11-06 16:22:00+00:00,2,41,dyad_01,,
2023-11-06 16:23:00+00:00,0,32,dyad_01,,
2023-11-06 16:24:00+00:00,4,33,dyad_01,,
2023-11-06 16:25:00+00:00,3,25,dyad_01,,
2023-11-06 16:26:00+00:00,1,32,dyad_01,,
2023-11-06 17:11:00+00:00,11,9,dyad_02,,
2023-11-06 17:12:00+00:00,41,35,dyad_02,,
2023-11-06 17:13:00+00:00,39,68,dyad_02,,
2023-11-06 17:14:00+00:00,24,19,dyad_02,,
2023-11-06 17:15:00+00:00,36,34,dyad_02,,
2023-11-06 17:16:00+00:00,29,14,dyad_02,,
2023-11-06 17:17:00+00:00,37,34,dyad_02,,
2023-11-06 17:18:00+00:00,19,30,dyad_02,,
2023-11-06 17:19:00+00:00,34,16,dyad_02,,
2023-12-19 11:27:00+00:00,13,17,dyad_03,,
2023-12-19 11:28:00+00:00,33,32,dyad_03,,
2023-12-19 11:29:00+00:00,31,34,dyad_03,,
2023-12-19 11:30:00+00:00,24,45,dyad_03,,
2023-12-19 11:31:00+00:00,24,38,dyad_03,,
2023-12-19 11:32:00+00:00,40,31,dyad_03,,
2023-12-19 11:33:00+00:00,39,35,dyad_03,,
2023-12-19 11:34:00+00:00,34,41,dyad_03,,
2023-12-19 11:35:00+00:00,36,34,dyad_03,,
2023-12-19 11:36:00+00:00,32,31,dyad_03,,
2023-12-19 11:37:00+00:00,26,34,dyad_03,,
2023-12-19 11:38:00+00:00,38,34,dyad_03,,
2023-12-19 11:39:00+00:00,16,8,dyad_03,,
2023-12-19 11:27:00+00:00,20,23,dyad_04,,
2023-12-19 11:28:00+00:00,40,45,dyad_04,,
2023-12-19 11:29:00+00:00,42,42,dyad_04,,
2023-12-19 11:30:00+00:00,44,41,dyad_04,,
2023-12-19 11:31:00+00:00,45,46,dyad_04,,
2023-12-19 11:32:00+00:00,37,44,dyad_04,,
2023-12-19 11:33:00+00:00,40,30,dyad_04,,
2023-12-19 11:34:00+00:00,32,35,dyad_04,,
2023-12-19 11:35:00+00:00,38,44,dyad_04,,
2023-12-19 11:36:00+00:00,36,37,dyad_04,,
2023-12-19 11:37:00+00:00,30,33,dyad_04,,
2023-12-19 11:38:00+00:00,17,10,dyad_04,,
2023-12-19 15:17:00+00:00,1,6,dyad_05,,
2023-12-19 15:18:00+00:00,22,25,dyad_05,,
2023-12-19 15:19:00+00:00,15,28,dyad_05,,
2023-12-19 15:20:00+00:00,19,18,dyad_05,,
2023-12-19 15:21:00+00:00,21,40,dyad_05,,
2023-12-19 15:22:00+00:00,20,27,dyad_05,,
2023-12-19 15:23:00+00:00,11,36,dyad_05,,
2023-12-19 15:24:00+00:00,21,32,dyad_05,,
2023-12-19 15:25:00+00:00,17,38,dyad_05,,
2023-12-19 15:26:00+00:00,18,29,dyad_05,,
2023-12-19 15:27:00+00:00,18,32,dyad_05,,
2023-12-19 15:28:00+00:00,10,22,dyad_05,,
2023-12-19 15:19:00+00:00,0,6,dyad_06,,
2023-12-19 15:20:00+00:00,11,30,dyad_06,,
2023-12-19 15:21:00+00:00,12,42,dyad_06,,
2023-12-19 15:22:00+00:00,14,34,dyad_06,,
2023-12-19 15:23:00+00:00,12,32,dyad_06,,
