TSGroupNTP,P1_valid_blink_onsets,P2_valid_blink_onsets,group_name,P3_valid_blinks,P3_valid_blink_onsets
2023-11-06 16:16:30+00:00,1,7,dyad_01,,
2023-11-06 16:17:00+00:00,2,14,dyad_01,,
2023-11-06 16:17:30+00:00,2,16,dyad_01,,
2023-11-06 16:18:00+00:00,1,12,dyad_01,,
2023-11-06 16:18:30+00:00,4,18,dyad_01,,
2023-11-06 16:19:00+00:00,0,15,dyad_01,,
2023-11-06 16:19:30+00:00,1,14,dyad_01,,
2023-11-06 16:20:00+00:00,2,13,dyad_01,,
2023-11-06 16:20:30+00:00,1,15,dyad_01,,
2023-11-06 16:21:00+00:00,1,14,dyad_01,,
2023-11-06 16:21:30+00:00,0,12,dyad_01,,
2023-11-06 16:22:00+00:00,2,20,dyad_01,,
2023-11-06 16:22:30+00:00,0,21,dyad_01,,
2023-11-06 16:23:00+00:00,0,15,dyad_01,,
2023-11-06 16:23:30+00:00,0,17,dyad_01,,
2023-11-06 16:24:00+00:00,0,17,dyad_01,,
2023-11-06 16:24:30+00:00,4,16,dyad_01,,
2023-11-06 16:25:00+00:00,1,11,dyad_01,,
2023-11-06 16:25:30+00:00,2,14,dyad_01,,
2023-11-06 16:26:00+00:00,0,13,dyad_01,,
2023-11-06 16:26:30+00:00,1,19,dyad_01,,
2023-11-06 17:11:30+00:00,11,9,dyad_02,,
2023-11-06 17:12:00+00:00,24,7,dyad_02,,
2023-11-06 17:12:30+00:00,17,28,dyad_02,,
2023-11-06 17:13:00+00:00,19,35,dyad_02,,
2023-11-06 17:13:30+00:00,20,33,dyad_02,,
2023-11-06 17:14:00+00:00,12,10,dyad_02,,
2023-11-06 17:14:30+00:00,12,9,dyad_02,,
2023-11-06 17:15:00+00:00,18,19,dyad_02,,
2023-11-06 17:15:30+00:00,18,15,dyad_02,,
2023-11-06 17:16:00+00:00,14,10,dyad_02,,
2023-11-06 17:16:30+00:00,15,4,dyad_02,,
2023-11-06 17:17:00+00:00,18,12,dyad_02,,
2023-11-06 17:17:30+00:00,19,22,dyad_02,,
2023-11-06 17:18:00+00:00,8,7,dyad_02,,
2023-11-06 17:18:30+00:00,11,23,dyad_02,,
2023-11-06 17:19:00+00:00,24,13,dyad_02,,
2023-11-06 17:19:30+00:00,10,3,dyad_02,,
2023-12-19 11:27:00+00:00,5,4,dyad_03,,
2023-12-19 11:27:30+00:00,8,13,dyad_03,,
2023-12-19 11:28:00+00:00,18,21,dyad_03,,
2023-12-19 11:28:30+00:00,15,11,dyad_03,,
2023-12-19 11:29:00+00:00,11,16,dyad_03,,
2023-12-19 11:29:30+00:00,20,18,dyad_03,,
2023-12-19 11:30:00+00:00,13,24,dyad_03,,
2023-12-19 11:30:30+00:00,11,21,dyad_03,,
2023-12-19 11:31:00+00:00,9,18,dyad_03,,
2023-12-19 11:31:30+00:00,15,20,dyad_03,,
2023-12-19 11:32:00+00:00,22,14,dyad_03,,
2023-12-19 11:32:30+00:00,18,17,dyad_03,,
2023-12-19 11:33:00+00:00,22,17,dyad_03,,
2023-12-19 11:33:30+00:00,17,18,dyad_03,,
2023-12-19 11:34:00+00:00,19,20,dyad_03,,
2023-12-19 11:34:30+00:00,15,21,dyad_03,,
2023-12-19 11:35:00+00:00,19,15,dyad_03,,
2023-12-19 11:35:30+00:00,17,19,dyad_03,,
2023-12-19 11:36:00+00:00,19,15,dyad_03,,
2023-12-19 11:36:30+00:00,13,16,dyad_03,,
2023-12-19 11:37:00+00:00,12,16,dyad_03,,
2023-12-19 11:37:30+00:00,14,18,dyad_03,,
2023-12-19 11:38:00+00:00,19,15,dyad_03,,
2023-12-19 11:38:30+00:00,19,19,dyad_03,,
2023-12-19 11:39:00+00:00,16,8,dyad_03,,
2023-12-19 11:27:00+00:00,0,0,dyad_04,,
2023-12-19 11:27:30+00:00,20,23,dyad_04,,
2023-12-19 11:28:00+00:00,14,25,dyad_04,,
2023-12-19 11:28:30+00:00,26,20,dyad_04,,
2023-12-19 11:29:00+00:00,22,20,dyad_04,,
2023-12-19 11:29:30+00:00,20,22,dyad_04,,
2023-12-19 11:30:00+00:00,23,23,dyad_04,,
