analysis,target,model,base_only_pca,streams_pca,delta_streams_minus_base
segment,individual_engagement,linear_r2,0.15470128405768302,0.21969255501737617,0.06499127095969315
segment,individual_engagement,logistic_auc,0.7352324706154827,0.7804412020149384,0.04520873139945569
segment,group_task_engagement,linear_r2,0.07986464802453097,0.16439201247975332,0.08452736445522235
segment,group_task_engagement,logistic_auc,0.6103510583376355,0.6928024436413698,0.0824513853037343
frame_1hz,individual_engagement,linear_r2,0.17604196989580168,0.23806258852704953,0.06202061863124786
frame_1hz,individual_engagement,logistic_auc,0.7135806940891496,0.7401709613338465,0.02659026724469693
frame_1hz,group_task_engagement,linear_r2,0.07140253353202974,0.1954180623683478,0.12401552883631806
frame_1hz,group_task_engagement,logistic_auc,0.5964761879409454,0.7066317325258039,0.11015554458485854
window_60s,individual_engagement,linear_r2,0.366392208641952,0.38020530459809543,0.01381309595614344
window_60s,individual_engagement,logistic_auc,0.8122448979591836,0.8440816326530612,0.0318367346938776
window_60s,group_task_engagement,linear_r2,0.4865819547048984,0.738557502600143,0.25197554789524457
window_60s,group_task_engagement,logistic_auc,0.7532163742690059,0.8346978557504873,0.08148148148148138
