analysis,group_split,target,model,tn_true_low_pred_low,fp_true_low_pred_high,fn_true_high_pred_low,tp_true_high_pred_high
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,577,669,807,884
segment_individual_engagement_base_all,all,engagement_target,QDA,577,669,468,1223
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),486,760,385,1306
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),583,663,442,1249
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,546,700,449,1242
segment_individual_engagement_base_all,all,engagement_target,kNN,553,693,549,1142
segment_individual_engagement_base_all,all,engagement_target,Random Forest,526,720,521,1170
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,563,683,420,1271
segment_individual_engagement_paralinguistic_all,all,engagement_target,Baseline Uniform,577,669,807,884
segment_individual_engagement_paralinguistic_all,all,engagement_target,QDA,600,646,488,1203
segment_individual_engagement_paralinguistic_all,all,engagement_target,SVM (rbf),509,737,369,1322
segment_individual_engagement_paralinguistic_all,all,engagement_target,SVM (linear),599,647,459,1232
segment_individual_engagement_paralinguistic_all,all,engagement_target,Naive Bayes,597,649,492,1199
segment_individual_engagement_paralinguistic_all,all,engagement_target,kNN,564,682,576,1115
segment_individual_engagement_paralinguistic_all,all,engagement_target,Random Forest,515,731,566,1125
segment_individual_engagement_paralinguistic_all,all,engagement_target,Logistic Regression,566,680,411,1280
segment_individual_engagement_audio_all,all,engagement_target,Baseline Uniform,577,669,807,884
segment_individual_engagement_audio_all,all,engagement_target,QDA,599,647,575,1116
segment_individual_engagement_audio_all,all,engagement_target,SVM (rbf),439,807,547,1144
segment_individual_engagement_audio_all,all,engagement_target,SVM (linear),672,574,503,1188
segment_individual_engagement_audio_all,all,engagement_target,Naive Bayes,371,875,335,1356
segment_individual_engagement_audio_all,all,engagement_target,kNN,552,694,599,1092
segment_individual_engagement_audio_all,all,engagement_target,Random Forest,568,678,624,1067
segment_individual_engagement_audio_all,all,engagement_target,Logistic Regression,510,736,485,1206
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,305,371,319,322
segment_individual_engagement_base_D,D,engagement_target,QDA,319,357,212,429
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),398,278,267,374
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),447,229,235,406
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,233,443,153,488
segment_individual_engagement_base_D,D,engagement_target,kNN,371,305,297,344
segment_individual_engagement_base_D,D,engagement_target,Random Forest,393,283,303,338
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,418,258,253,388
segment_individual_engagement_paralinguistic_D,D,engagement_target,Baseline Uniform,305,371,319,322
segment_individual_engagement_paralinguistic_D,D,engagement_target,QDA,319,357,185,456
segment_individual_engagement_paralinguistic_D,D,engagement_target,SVM (rbf),391,285,220,421
segment_individual_engagement_paralinguistic_D,D,engagement_target,SVM (linear),452,224,235,406
segment_individual_engagement_paralinguistic_D,D,engagement_target,Naive Bayes,227,449,133,508
segment_individual_engagement_paralinguistic_D,D,engagement_target,kNN,384,292,300,341
segment_individual_engagement_paralinguistic_D,D,engagement_target,Random Forest,371,305,281,360
segment_individual_engagement_paralinguistic_D,D,engagement_target,Logistic Regression,426,250,219,422
segment_individual_engagement_audio_D,D,engagement_target,Baseline Uniform,305,371,319,322
segment_individual_engagement_audio_D,D,engagement_target,QDA,382,294,268,373
segment_individual_engagement_audio_D,D,engagement_target,SVM (rbf),410,266,273,368
segment_individual_engagement_audio_D,D,engagement_target,SVM (linear),460,216,208,433
segment_individual_engagement_audio_D,D,engagement_target,Naive Bayes,423,253,262,379
segment_individual_engagement_audio_D,D,engagement_target,kNN,391,285,337,304
segment_individual_engagement_audio_D,D,engagement_target,Random Forest,407,269,356,285
segment_individual_engagement_audio_D,D,engagement_target,Logistic Regression,440,236,219,422
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,272,298,488,562
segment_individual_engagement_base_T,T,engagement_target,QDA,290,280,356,694
segment_individual_engagement_base_T,T,engagement_target,SVM (rbf),136,434,153,897
segment_individual_engagement_base_T,T,engagement_target,SVM (linear),83,487,138,912
segment_individual_engagement_base_T,T,engagement_target,Naive Bayes,309,261,365,685
segment_individual_engagement_base_T,T,engagement_target,kNN,197,373,285,765
segment_individual_engagement_base_T,T,engagement_target,Random Forest,184,386,239,811
segment_individual_engagement_base_T,T,engagement_target,Logistic Regression,160,410,161,889
segment_individual_engagement_paralinguistic_T,T,engagement_target,Baseline Uniform,272,298,488,562
segment_individual_engagement_paralinguistic_T,T,engagement_target,QDA,319,251,401,649
segment_individual_engagement_paralinguistic_T,T,engagement_target,SVM (rbf),136,434,142,908
segment_individual_engagement_paralinguistic_T,T,engagement_target,SVM (linear),7,563,80,970
segment_individual_engagement_paralinguistic_T,T,engagement_target,Naive Bayes,355,215,455,595
segment_individual_engagement_paralinguistic_T,T,engagement_target,kNN,196,374,273,777
segment_individual_engagement_paralinguistic_T,T,engagement_target,Random Forest,176,394,253,797
segment_individual_engagement_paralinguistic_T,T,engagement_target,Logistic Regression,147,423,194,856
segment_individual_engagement_audio_T,T,engagement_target,Baseline Uniform,272,298,488,562
segment_individual_engagement_audio_T,T,engagement_target,QDA,107,463,127,923
segment_individual_engagement_audio_T,T,engagement_target,SVM (rbf),72,498,117,933
segment_individual_engagement_audio_T,T,engagement_target,SVM (linear),0,570,0,1050
segment_individual_engagement_audio_T,T,engagement_target,Naive Bayes,117,453,108,942
segment_individual_engagement_audio_T,T,engagement_target,kNN,194,376,278,772
segment_individual_engagement_audio_T,T,engagement_target,Random Forest,173,397,272,778
segment_individual_engagement_audio_T,T,engagement_target,Logistic Regression,22,548,65,985
segment_group_task_engagement_base_all,all,task_engagement,Baseline Uniform,640,748,812,850
segment_group_task_engagement_base_all,all,task_engagement,QDA,1002,386,1068,594
segment_group_task_engagement_base_all,all,task_engagement,SVM (rbf),433,955,389,1273
segment_group_task_engagement_base_all,all,task_engagement,SVM (linear),267,1121,238,1424
segment_group_task_engagement_base_all,all,task_engagement,Naive Bayes,926,462,944,718
segment_group_task_engagement_base_all,all,task_engagement,kNN,602,786,674,988
segment_group_task_engagement_base_all,all,task_engagement,Random Forest,628,760,648,1014
segment_group_task_engagement_base_all,all,task_engagement,Logistic Regression,477,911,445,1217
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Baseline Uniform,640,748,812,850
segment_group_task_engagement_paralinguistic_all,all,task_engagement,QDA,1038,350,1084,578
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (rbf),428,960,377,1285
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (linear),266,1122,238,1424
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Naive Bayes,951,437,967,695
segment_group_task_engagement_paralinguistic_all,all,task_engagement,kNN,607,781,631,1031
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Random Forest,626,762,601,1061
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Logistic Regression,465,923,394,1268
segment_group_task_engagement_audio_all,all,task_engagement,Baseline Uniform,640,748,812,850
segment_group_task_engagement_audio_all,all,task_engagement,QDA,398,990,413,1249
segment_group_task_engagement_audio_all,all,task_engagement,SVM (rbf),301,1087,387,1275
segment_group_task_engagement_audio_all,all,task_engagement,SVM (linear),210,1178,249,1413
segment_group_task_engagement_audio_all,all,task_engagement,Naive Bayes,386,1002,422,1240
segment_group_task_engagement_audio_all,all,task_engagement,kNN,650,738,730,932
segment_group_task_engagement_audio_all,all,task_engagement,Random Forest,624,764,758,904
segment_group_task_engagement_audio_all,all,task_engagement,Logistic Regression,238,1150,362,1300
segment_group_task_engagement_base_D,D,task_engagement,Baseline Uniform,246,289,446,448
segment_group_task_engagement_base_D,D,task_engagement,QDA,393,142,580,314
segment_group_task_engagement_base_D,D,task_engagement,SVM (rbf),80,455,105,789
segment_group_task_engagement_base_D,D,task_engagement,SVM (linear),43,492,47,847
