analysis,group_split,target,model,fold,group,accuracy,f1_macro
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,0,dyad_04,0.5034722222222222,0.5034662358487154
segment_individual_engagement_base_all,all,engagement_target,QDA,0,dyad_04,0.6319444444444444,0.6267423093852399
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),0,dyad_04,0.6944444444444444,0.6915287244401168
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),0,dyad_04,0.7222222222222222,0.7222088256571015
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,0,dyad_04,0.5902777777777778,0.5785714285714285
segment_individual_engagement_base_all,all,engagement_target,kNN,0,dyad_04,0.6145833333333334,0.6145415084102008
segment_individual_engagement_base_all,all,engagement_target,Random Forest,0,dyad_04,0.6111111111111112,0.6104347826086957
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,0,dyad_04,0.6909722222222222,0.6896213506411731
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,1,dyad_03,0.43775100401606426,0.4151006711409396
segment_individual_engagement_base_all,all,engagement_target,QDA,1,dyad_03,0.4819277108433735,0.47856365968084935
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),1,dyad_03,0.5100401606425703,0.505050834202294
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),1,dyad_03,0.5983935742971888,0.5983352690669763
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,1,dyad_03,0.4497991967871486,0.4497636982434634
segment_individual_engagement_base_all,all,engagement_target,kNN,1,dyad_03,0.4819277108433735,0.48162672476397966
segment_individual_engagement_base_all,all,engagement_target,Random Forest,1,dyad_03,0.4899598393574297,0.48982818423812213
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,1,dyad_03,0.5662650602409639,0.5659220041322315
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,2,triad_01,0.47368421052631576,0.41538461538461535
segment_individual_engagement_base_all,all,engagement_target,QDA,2,triad_01,0.5526315789473685,0.43509521958802955
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),2,triad_01,0.5219298245614035,0.4108527131782945
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),2,triad_01,0.4956140350877193,0.36628398791540784
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,2,triad_01,0.618421052631579,0.46881611011434543
segment_individual_engagement_base_all,all,engagement_target,kNN,2,triad_01,0.5175438596491229,0.43309222423146476
segment_individual_engagement_base_all,all,engagement_target,Random Forest,2,triad_01,0.5,0.39225589225589225
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,2,triad_01,0.5482456140350878,0.40791165569926635
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,3,dyad_07,0.4878048780487805,0.4806871094598181
segment_individual_engagement_base_all,all,engagement_target,QDA,3,dyad_07,0.624390243902439,0.6234943351222421
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),3,dyad_07,0.6682926829268293,0.6498894916616436
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),3,dyad_07,0.8975609756097561,0.8893003162848105
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,3,dyad_07,0.5902439024390244,0.5897655803316181
segment_individual_engagement_base_all,all,engagement_target,kNN,3,dyad_07,0.6,0.5893589994137189
segment_individual_engagement_base_all,all,engagement_target,Random Forest,3,dyad_07,0.6,0.5939613526570048
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,3,dyad_07,0.7707317073170732,0.7634363721181467
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,4,triad_13,0.543859649122807,0.5065847883989346
segment_individual_engagement_base_all,all,engagement_target,QDA,4,triad_13,0.7426900584795322,0.6633858267716535
