fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,0.1386663671316859,-0.0011566429686291624
0,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6831863023423048,0.5031452595654216
1,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.12456712839767936,-0.11389014217461213
1,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7451978680879413,0.5173784143904064
2,recording_triad_04,individual_engagement,engagement_target,linear_pca,r2,-0.13928016214136507,-0.19614163055209355
2,recording_triad_04,individual_engagement,engagement_target,logistic_pca,auc,0.6875194522253345,0.4875549315004486
3,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-0.7771581083580639,-0.6856472996523209
3,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.3802546507715233,0.5024786088544921
4,recording_triad_03,individual_engagement,engagement_target,linear_pca,r2,-0.268880341763569,-0.21162977471273892
4,recording_triad_03,individual_engagement,engagement_target,logistic_pca,auc,0.5540314735336194,0.507788268955651
5,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,0.07286127290232514,-0.022398410446165196
5,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.6457862353462139,0.5173718740531847
6,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,0.19015719041994972,-0.17684710910637325
6,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.8317826174462875,0.49747370980997263
7,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,0.2723073841022442,-0.023932525715870234
7,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.794160913793435,0.49806862104109373
8,recording_triad_07,individual_engagement,engagement_target,linear_pca,r2,-0.5496075887968508,-1.0398060614491693
8,recording_triad_07,individual_engagement,engagement_target,logistic_pca,auc,0.6430393970983268,0.5083627997037499
9,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.24838498414938892,-0.03020611208673385
9,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.7815376789908913,0.50694578429481
10,recording_triad_08,individual_engagement,engagement_target,linear_pca,r2,0.05559046715911242,-0.25878660813372445
10,recording_triad_08,individual_engagement,engagement_target,logistic_pca,auc,0.7206716955384557,0.49238618702854325
11,recording_dyad_08,individual_engagement,engagement_target,linear_pca,r2,-0.051546255313061895,-0.027640900680744096
11,recording_dyad_08,individual_engagement,engagement_target,logistic_pca,auc,0.6717523033105404,0.5103166115102107
12,recording_triad_12,individual_engagement,engagement_target,linear_pca,r2,0.2335847587917549,-0.003340721011730219
12,recording_triad_12,individual_engagement,engagement_target,logistic_pca,auc,0.7917486973527058,0.4986989933194209
13,recording_dyad_09,individual_engagement,engagement_target,linear_pca,r2,-0.623233354448048,-1.1375260184920442
13,recording_dyad_09,individual_engagement,engagement_target,logistic_pca,auc,0.7992826208252518,0.5024776151127879
14,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-0.4312213488372889,-0.12473820574956851
14,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.636184745487071,0.4903886810863555
15,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,0.12047470762688361,-0.08138061908131955
15,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.7542307477441874,0.49368103503570193
16,recording_triad_10,individual_engagement,engagement_target,linear_pca,r2,-0.33953226566080175,-0.8132287649627818
16,recording_triad_10,individual_engagement,engagement_target,logistic_pca,auc,0.8729874478381463,0.5130331753554502
17,recording_dyad_07,individual_engagement,engagement_target,linear_pca,r2,0.2345679948594115,-0.009727545780806812
17,recording_dyad_07,individual_engagement,engagement_target,logistic_pca,auc,0.852456799894473,0.5048036758563075
18,recording_dyad_06,individual_engagement,engagement_target,linear_pca,r2,-0.3191522758097842,-0.5858667917597224
18,recording_dyad_06,individual_engagement,engagement_target,logistic_pca,auc,0.6659072749724309,0.5093091516604265
19,recording_dyad_01,individual_engagement,engagement_target,linear_pca,r2,0.033763769593469606,-0.19141675049789786
19,recording_dyad_01,individual_engagement,engagement_target,logistic_pca,auc,0.7023597715141867,0.4828401535724318
20,recording_dyad_02,individual_engagement,engagement_target,linear_pca,r2,-0.23606084781467218,-0.056315239501598446
20,recording_dyad_02,individual_engagement,engagement_target,logistic_pca,auc,0.40869141685358057,0.5073912409529039
21,recording_dyad_10,individual_engagement,engagement_target,linear_pca,r2,-5.243910850528401,-6.209833654256071
21,recording_dyad_10,individual_engagement,engagement_target,logistic_pca,auc,0.7424906381961597,0.4276551669189706
22,recording_dyad_11,individual_engagement,engagement_target,linear_pca,r2,0.2533411746772847,-0.026113820435670343
22,recording_dyad_11,individual_engagement,engagement_target,logistic_pca,auc,0.8618286306152793,0.4847525017123573
23,recording_triad_11,individual_engagement,engagement_target,linear_pca,r2,-0.7689977384149149,-0.9603217466958878
23,recording_triad_11,individual_engagement,engagement_target,logistic_pca,auc,0.47543502774891105,0.48490669290468086
24,recording_dyad_05,individual_engagement,engagement_target,linear_pca,r2,-0.1408961499233452,-0.08596421632277829
24,recording_dyad_05,individual_engagement,engagement_target,logistic_pca,auc,0.5632198691017176,0.5011896596073052
0,recording_triad_06,group_task_engagement,task_engagement,linear_pca,r2,0.10556079558422726,-0.0023010690493563413
0,recording_triad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.6593847590695503,0.5104631818579809
1,recording_triad_05,group_task_engagement,task_engagement,linear_pca,r2,0.011589764413158288,-0.006595276582877396
