fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_01,individual_engagement,engagement_target,linear,r2,-0.73672776490128,-0.5037034224788584
0,recording_triad_01,individual_engagement,engagement_target,logistic,auc,0.38566113803785557,0.4943201861650881
1,recording_triad_05,individual_engagement,engagement_target,linear,r2,-0.7020705871189357,-0.06279117206892959
1,recording_triad_05,individual_engagement,engagement_target,logistic,auc,0.5975031544928638,0.49695458516911484
2,recording_triad_06,individual_engagement,engagement_target,linear,r2,-0.30026433072937886,-0.33841498448055995
2,recording_triad_06,individual_engagement,engagement_target,logistic,auc,0.6889895818467248,0.485429748822606
3,recording_triad_13,individual_engagement,engagement_target,linear,r2,-0.10817700608790837,-0.19802151266408696
3,recording_triad_13,individual_engagement,engagement_target,logistic,auc,0.7271007707949118,0.5081074723577206
4,recording_triad_14,individual_engagement,engagement_target,linear,r2,-0.0849512146841589,-0.05259678534734302
4,recording_triad_14,individual_engagement,engagement_target,logistic,auc,0.7149891786801659,0.5310370125820769
5,recording_dyad_03,individual_engagement,engagement_target,linear,r2,-0.8872947947799583,-0.35061657889940445
5,recording_dyad_03,individual_engagement,engagement_target,logistic,auc,0.5577468561713232,0.5016440155457764
6,recording_triad_12,individual_engagement,engagement_target,linear,r2,0.10042379024508896,-0.0008695624705337135
6,recording_triad_12,individual_engagement,engagement_target,logistic,auc,0.704309427679871,0.5071979594652944
7,recording_triad_02,individual_engagement,engagement_target,linear,r2,-0.23528801093074359,-0.011066777567194208
7,recording_triad_02,individual_engagement,engagement_target,logistic,auc,0.558270943767419,0.5079457893873982
8,recording_dyad_04,individual_engagement,engagement_target,linear,r2,-0.1047987169465121,-0.029106570418733657
8,recording_dyad_04,individual_engagement,engagement_target,logistic,auc,0.6297212821904281,0.5093744395715474
9,recording_triad_07,individual_engagement,engagement_target,linear,r2,-0.5878281080548033,-0.7477856672389072
9,recording_triad_07,individual_engagement,engagement_target,logistic,auc,0.6056697303724652,0.4481011183597391
10,recording_triad_09,individual_engagement,engagement_target,linear,r2,-0.10547724872493203,-0.07395149528235723
10,recording_triad_09,individual_engagement,engagement_target,logistic,auc,0.6151107594936709,0.49855369857594933
11,recording_dyad_07,individual_engagement,engagement_target,linear,r2,0.07139920212559869,-0.000135882908716356
11,recording_dyad_07,individual_engagement,engagement_target,logistic,auc,0.6760925077945846,0.4952991360248462
12,recording_triad_10,individual_engagement,engagement_target,linear,r2,-0.7975600754008989,-1.3221854729137892
12,recording_triad_10,individual_engagement,engagement_target,logistic,auc,0.7203140992298528,0.47627896441215456
13,recording_triad_08,individual_engagement,engagement_target,linear,r2,-0.16190609244932896,-0.04040005338197039
13,recording_triad_08,individual_engagement,engagement_target,logistic,auc,0.6118701696276221,0.48471845829569404
14,recording_dyad_11,individual_engagement,engagement_target,linear,r2,0.15368839413161461,-0.018827177213197155
14,recording_dyad_11,individual_engagement,engagement_target,logistic,auc,0.7788062547375495,0.47441918619644124
15,recording_dyad_06,individual_engagement,engagement_target,linear,r2,-1.4053542158554615,-1.4043663192136755
15,recording_dyad_06,individual_engagement,engagement_target,logistic,auc,0.7025111137810885,0.47903400216268166
16,recording_dyad_02,individual_engagement,engagement_target,linear,r2,-73.18484326346163,-0.15046440967598484
16,recording_dyad_02,individual_engagement,engagement_target,logistic,auc,0.5516730233883519,0.4996766839832534
17,recording_dyad_10,individual_engagement,engagement_target,linear,r2,-7.159115745512301,-6.319202729096292
17,recording_dyad_10,individual_engagement,engagement_target,logistic,auc,0.6633039092055485,0.5366600612502251
18,recording_dyad_05,individual_engagement,engagement_target,linear,r2,-0.437906690018004,-0.02077910057125698
18,recording_dyad_05,individual_engagement,engagement_target,logistic,auc,0.5456161883182276,0.533673212487412
19,recording_triad_11,individual_engagement,engagement_target,linear,r2,-1.3737442514974325,-0.588641796751628
19,recording_triad_11,individual_engagement,engagement_target,logistic,auc,0.3649568810636004,0.503808839381962
0,recording_triad_01,group_task_engagement,task_engagement,linear,r2,-0.06588554322726559,-0.13589897574377385
0,recording_triad_01,group_task_engagement,task_engagement,logistic,auc,0.5940790891686636,0.510478871096573
1,recording_triad_05,group_task_engagement,task_engagement,linear,r2,-0.3167207149610656,-0.20661680263852333
1,recording_triad_05,group_task_engagement,task_engagement,logistic,auc,0.5742208444559258,0.5061568931370016
2,recording_triad_06,group_task_engagement,task_engagement,linear,r2,-0.5771146315181246,-0.39157609167961294
2,recording_triad_06,group_task_engagement,task_engagement,logistic,auc,0.5928333524124134,0.5117765621678196
3,recording_triad_13,group_task_engagement,task_engagement,linear,r2,-0.5434080494299933,-0.40765444739660306
3,recording_triad_13,group_task_engagement,task_engagement,logistic,auc,0.5387192390537733,0.49698347343741067
4,recording_triad_14,group_task_engagement,task_engagement,linear,r2,-0.46032061278049397,-0.011025735072160758
4,recording_triad_14,group_task_engagement,task_engagement,logistic,auc,0.5458255516358856,0.4976210239231612
5,recording_dyad_03,group_task_engagement,task_engagement,linear,r2,-0.39393366356700454,-0.23991322124209402
5,recording_dyad_03,group_task_engagement,task_engagement,logistic,auc,0.5562296195652174,0.5221240942028986
6,recording_triad_12,group_task_engagement,task_engagement,linear,r2,-0.3506438312991298,-0.20825472849555937
6,recording_triad_12,group_task_engagement,task_engagement,logistic,auc,0.5055052968506089,0.5137887188893985
7,recording_triad_02,group_task_engagement,task_engagement,linear,r2,-0.0675801914568912,-0.17057030739240653
7,recording_triad_02,group_task_engagement,task_engagement,logistic,auc,0.6631627098485888,0.5030602442706189
8,recording_dyad_04,group_task_engagement,task_engagement,linear,r2,-0.2961274820621207,-0.024650378188587174
8,recording_dyad_04,group_task_engagement,task_engagement,logistic,auc,0.5694694333504686,0.4725424097433667
9,recording_triad_09,group_task_engagement,task_engagement,linear,r2,-0.5482439157181211,-0.20511797325997794
9,recording_triad_09,group_task_engagement,task_engagement,logistic,auc,0.6174635532493205,0.5133123301210772
10,recording_triad_07,group_task_engagement,task_engagement,linear,r2,-0.11699935367008063,-0.2663754411402326
10,recording_triad_07,group_task_engagement,task_engagement,logistic,auc,0.5764798309238881,0.5002240701090475
11,recording_dyad_05,group_task_engagement,task_engagement,linear,r2,-0.10210277245320554,-0.041997951061586214
11,recording_dyad_05,group_task_engagement,task_engagement,logistic,auc,0.6431094527363184,0.4851592039800995
12,recording_dyad_07,group_task_engagement,task_engagement,linear,r2,-0.26483238454811286,-0.07879584630317416
12,recording_dyad_07,group_task_engagement,task_engagement,logistic,auc,0.5926855564165627,0.49254854396190606
13,recording_triad_10,group_task_engagement,task_engagement,linear,r2,-0.7325886006894837,-0.3886895914585988
13,recording_triad_10,group_task_engagement,task_engagement,logistic,auc,0.614706281372948,0.5304741554741554
14,recording_triad_08,group_task_engagement,task_engagement,linear,r2,-2.82160586633692,-4.04856646572102
14,recording_triad_08,group_task_engagement,task_engagement,logistic,auc,0.6345199938949939,0.502632783882784
15,recording_dyad_11,group_task_engagement,task_engagement,linear,r2,-0.4056243172110878,-0.1880889165000199
15,recording_dyad_11,group_task_engagement,task_engagement,logistic,auc,0.5606778450679081,0.5270362130762576
16,recording_dyad_06,group_task_engagement,task_engagement,linear,r2,-1.33522468861135,-1.5608463401665005
16,recording_dyad_06,group_task_engagement,task_engagement,logistic,auc,0.6796938259109311,0.45660425101214575
17,recording_dyad_02,group_task_engagement,task_engagement,linear,r2,-74.55642216639558,-0.09804589237948647
17,recording_dyad_02,group_task_engagement,task_engagement,logistic,auc,0.6274337615415495,0.5014719657433427
18,recording_dyad_10,group_task_engagement,task_engagement,linear,r2,-11.966387802295099,-17.98596395037557
18,recording_dyad_10,group_task_engagement,task_engagement,logistic,auc,,
19,recording_triad_11,group_task_engagement,task_engagement,linear,r2,-1.4096218761887465,-0.0964238005421203
19,recording_triad_11,group_task_engagement,task_engagement,logistic,auc,0.4847651775486827,0.49153780068728525
