fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-0.6210265124259309,-0.5037034224788584
0,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.39225497897737654,0.4943201861650881
1,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,-0.16236825696419088,-0.06279117206892959
1,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6288617186532206,0.49695458516911484
2,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.14465959141518125,-0.33841498448055995
2,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7898160512956433,0.485429748822606
3,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,0.16353042154619535,-0.19802151266408696
3,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.8583274829550898,0.5081074723577206
4,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,0.27495858584792665,-0.05259678534734302
4,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.8049037085946958,0.5310370125820769
5,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-0.4965884991996077,-0.35061657889940445
5,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.6404315486799269,0.5016440155457764
6,recording_triad_12,individual_engagement,engagement_target,linear_pca,r2,0.2651629125875441,-0.0008695624705337135
6,recording_triad_12,individual_engagement,engagement_target,logistic_pca,auc,0.7747399253050341,0.5071979594652944
7,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,-0.06323870924919972,-0.011066777567194208
7,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.5659216350620252,0.5079457893873982
8,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,0.1580941874120113,-0.029106570418733657
8,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.7337298158417548,0.5093744395715474
9,recording_triad_07,individual_engagement,engagement_target,linear_pca,r2,-0.5250531825939666,-0.7477856672389072
9,recording_triad_07,individual_engagement,engagement_target,logistic_pca,auc,0.6267434199955009,0.4481011183597391
10,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.1676049313974799,-0.07395149528235723
10,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.693495352056962,0.49855369857594933
