fold,session,analysis,target,model,metric,score,baseline_score
0,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,0.12155128998332154,-3.697995871054793e-05
0,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.7031978680879414,0.5244360902255639
1,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-0.7535292168123937,-0.8728523058826092
1,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.6549274933412252,0.4551642497780409
2,recording_triad_03,individual_engagement,engagement_target,linear_pca,r2,-0.23841921101614805,-0.01868795963732106
2,recording_triad_03,individual_engagement,engagement_target,logistic_pca,auc,0.5230769230769231,0.4946886446886447
3,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-1.0547297535011957,-0.9343478580653464
3,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.5020998023715415,0.5037055335968379
4,recording_dyad_08,individual_engagement,engagement_target,linear_pca,r2,0.06690653911292066,-0.20733436111136205
4,recording_dyad_08,individual_engagement,engagement_target,logistic_pca,auc,0.7370771463659708,0.48492798928212566
5,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.04488119025037429,-0.09669765577483469
5,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7016158315177925,0.5241013071895425
6,recording_dyad_07,individual_engagement,engagement_target,linear_pca,r2,0.1375257282287139,-0.0035101212866537335
6,recording_dyad_07,individual_engagement,engagement_target,logistic_pca,auc,0.7842810829755542,0.5195391220537984
7,recording_dyad_06,individual_engagement,engagement_target,linear_pca,r2,0.025586159023064825,-0.16570555282628896
7,recording_dyad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7414444444444445,0.4716666666666667
8,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,0.32158741979461913,-0.03081436200573373
8,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.8700280112044818,0.41799719887955183
9,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,-0.15726567634844124,-0.45959903612164
9,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.7786547700754975,0.4917638984214139
10,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.10922285928791042,-0.05819330319084148
10,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.7103550295857989,0.49519230769230765
11,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,-0.0861261577968977,-0.00273985826292944
11,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6607551487414188,0.5034324942791762
12,recording_triad_08,individual_engagement,engagement_target,linear_pca,r2,0.025379691452753428,-0.003601690013236958
12,recording_triad_08,individual_engagement,engagement_target,logistic_pca,auc,0.6250823994726434,0.4701713909030982
13,recording_dyad_01,individual_engagement,engagement_target,linear_pca,r2,-0.22770094423703524,-0.29478228392358496
13,recording_dyad_01,individual_engagement,engagement_target,logistic_pca,auc,0.7520408163265306,0.5146938775510205
14,recording_dyad_11,individual_engagement,engagement_target,linear_pca,r2,-0.11178337536012939,-0.060947931612995276
14,recording_dyad_11,individual_engagement,engagement_target,logistic_pca,auc,0.7118967988533206,0.4589106545628285
15,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,-0.1894069800829996,-0.12019736659791813
15,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.6556615309366592,0.479457079970653
16,recording_triad_10,individual_engagement,engagement_target,linear_pca,r2,-0.4960304082968585,-0.8286366408363197
16,recording_triad_10,individual_engagement,engagement_target,logistic_pca,auc,0.8191763191763192,0.4083011583011583
17,recording_dyad_10,individual_engagement,engagement_target,linear_pca,r2,-7.141650271229327,-7.950241326636791
17,recording_dyad_10,individual_engagement,engagement_target,logistic_pca,auc,,
18,recording_triad_04,individual_engagement,engagement_target,linear_pca,r2,-0.26814515182695353,-0.1681954645665662
18,recording_triad_04,individual_engagement,engagement_target,logistic_pca,auc,0.5980922098569157,0.38155802861685206
19,recording_dyad_05,individual_engagement,engagement_target,linear_pca,r2,-0.08622240958100558,-3.009340998616494e-08
19,recording_dyad_05,individual_engagement,engagement_target,logistic_pca,auc,0.5982142857142857,0.4720982142857143
