fold,session,analysis,target,model,metric,score,baseline_score
0,recording_dyad_04,individual_engagement,engagement_target,linear,r2,-0.9706298333884935,-3.697995871054793e-05
0,recording_dyad_04,individual_engagement,engagement_target,logistic,auc,0.6374797753878366,0.5244360902255639
1,recording_dyad_03,individual_engagement,engagement_target,linear,r2,-1.3259416572413412,-0.8728523058826092
1,recording_dyad_03,individual_engagement,engagement_target,logistic,auc,0.6089079609351878,0.4551642497780409
2,recording_triad_03,individual_engagement,engagement_target,linear,r2,-1.9070301254098183,-0.01868795963732106
2,recording_triad_03,individual_engagement,engagement_target,logistic,auc,0.6001465201465201,0.4946886446886447
3,recording_triad_01,individual_engagement,engagement_target,linear,r2,-1.6421741415895013,-0.9343478580653464
3,recording_triad_01,individual_engagement,engagement_target,logistic,auc,0.584486166007905,0.5037055335968379
4,recording_dyad_08,individual_engagement,engagement_target,linear,r2,-1.2589721399468021,-0.20733436111136205
4,recording_dyad_08,individual_engagement,engagement_target,logistic,auc,0.630903204197834,0.48492798928212566
5,recording_triad_06,individual_engagement,engagement_target,linear,r2,-0.9284558651031065,-0.09669765577483469
5,recording_triad_06,individual_engagement,engagement_target,logistic,auc,0.5984023238925199,0.5241013071895425
6,recording_dyad_07,individual_engagement,engagement_target,linear,r2,-0.2894591328544267,-0.0035101212866537335
6,recording_dyad_07,individual_engagement,engagement_target,logistic,auc,0.6499605712783667,0.5195391220537984
7,recording_dyad_06,individual_engagement,engagement_target,linear,r2,-1.5627578949546246,-0.16570555282628896
7,recording_dyad_06,individual_engagement,engagement_target,logistic,auc,0.5715555555555555,0.4716666666666667
8,recording_triad_14,individual_engagement,engagement_target,linear,r2,-1.144724947945234,-0.03081436200573373
8,recording_triad_14,individual_engagement,engagement_target,logistic,auc,0.5908963585434174,0.41799719887955183
9,recording_triad_13,individual_engagement,engagement_target,linear,r2,-0.891505055142096,-0.45959903612164
9,recording_triad_13,individual_engagement,engagement_target,logistic,auc,0.6256005490734385,0.4917638984214139
10,recording_triad_09,individual_engagement,engagement_target,linear,r2,-1.7449884880988682,-0.05819330319084148
10,recording_triad_09,individual_engagement,engagement_target,logistic,auc,0.7156804733727811,0.49519230769230765
11,recording_triad_05,individual_engagement,engagement_target,linear,r2,-0.7913875728562021,-0.00273985826292944
11,recording_triad_05,individual_engagement,engagement_target,logistic,auc,0.6151315789473684,0.5034324942791762
12,recording_triad_08,individual_engagement,engagement_target,linear,r2,-1.3898190894102394,-0.003601690013236958
12,recording_triad_08,individual_engagement,engagement_target,logistic,auc,0.49192485168094924,0.4701713909030982
13,recording_dyad_01,individual_engagement,engagement_target,linear,r2,-8.142922761524705,-0.29478228392358496
13,recording_dyad_01,individual_engagement,engagement_target,logistic,auc,0.4940816326530612,0.5146938775510205
14,recording_dyad_11,individual_engagement,engagement_target,linear,r2,-0.9457744466389517,-0.060947931612995276
14,recording_dyad_11,individual_engagement,engagement_target,logistic,auc,0.7116579073100813,0.4589106545628285
15,recording_triad_02,individual_engagement,engagement_target,linear,r2,-1.823478250588498,-0.12019736659791813
15,recording_triad_02,individual_engagement,engagement_target,logistic,auc,0.5896307165566153,0.479457079970653
16,recording_triad_10,individual_engagement,engagement_target,linear,r2,-1.412151401915811,-0.8286366408363197
16,recording_triad_10,individual_engagement,engagement_target,logistic,auc,0.6537966537966539,0.4083011583011583
17,recording_dyad_10,individual_engagement,engagement_target,linear,r2,-9.576025639333135,-7.950241326636791
17,recording_dyad_10,individual_engagement,engagement_target,logistic,auc,,
18,recording_triad_04,individual_engagement,engagement_target,linear,r2,-2.18180019391488,-0.1681954645665662
18,recording_triad_04,individual_engagement,engagement_target,logistic,auc,0.6031796502384739,0.38155802861685206
19,recording_dyad_05,individual_engagement,engagement_target,linear,r2,-0.9847292452552789,-3.009340998616494e-08
19,recording_dyad_05,individual_engagement,engagement_target,logistic,auc,0.6128826530612246,0.4720982142857143
20,recording_triad_11,individual_engagement,engagement_target,linear,r2,-4.432993951250346,-1.2685418087403408
20,recording_triad_11,individual_engagement,engagement_target,logistic,auc,0.5403508771929825,0.3
21,recording_triad_12,individual_engagement,engagement_target,linear,r2,-0.6930446348932475,-0.00012354320587593115
21,recording_triad_12,individual_engagement,engagement_target,logistic,auc,0.6626984126984127,0.5539682539682539
22,recording_triad_07,individual_engagement,engagement_target,linear,r2,-1.3540663674462263,-0.6038582967917998
22,recording_triad_07,individual_engagement,engagement_target,logistic,auc,0.5761843790012804,0.5419334186939821
23,recording_dyad_09,individual_engagement,engagement_target,linear,r2,-1.1309925802808452,-1.271092410691013
23,recording_dyad_09,individual_engagement,engagement_target,logistic,auc,0.5991228070175438,0.4969298245614035
24,recording_dyad_02,individual_engagement,engagement_target,linear,r2,-4.580667372041569,-0.08336476878430221
24,recording_dyad_02,individual_engagement,engagement_target,logistic,auc,0.34488888888888886,0.5488888888888889
0,recording_dyad_04,group_task_engagement,task_engagement,linear,r2,-0.8977252742821724,-0.0822315691105533
0,recording_dyad_04,group_task_engagement,task_engagement,logistic,auc,0.5479853479853479,0.47571951857666145
1,recording_dyad_03,group_task_engagement,task_engagement,linear,r2,-1.4351455260874477,-0.5464122495763599
1,recording_dyad_03,group_task_engagement,task_engagement,logistic,auc,0.5322635135135135,0.44307432432432436
2,recording_triad_03,group_task_engagement,task_engagement,linear,r2,-0.3278701440517182,-0.009657314756238211
2,recording_triad_03,group_task_engagement,task_engagement,logistic,auc,0.7075610473668725,0.4602824360105914
3,recording_triad_01,group_task_engagement,task_engagement,linear,r2,-0.7658337638207147,-0.2219370155464444
3,recording_triad_01,group_task_engagement,task_engagement,logistic,auc,0.5826954502451192,0.5504859379031564
4,recording_dyad_05,group_task_engagement,task_engagement,linear,r2,-0.543062365543334,-0.02237431876717566
4,recording_dyad_05,group_task_engagement,task_engagement,logistic,auc,0.6510989010989011,0.5175241425241425
5,recording_dyad_08,group_task_engagement,task_engagement,linear,r2,-1.0989173290913925,-0.029944961122618574
5,recording_dyad_08,group_task_engagement,task_engagement,logistic,auc,0.49882903981264637,0.47062417269117196
6,recording_triad_06,group_task_engagement,task_engagement,linear,r2,-0.39348449561151333,-2.0199189744607438e-05
6,recording_triad_06,group_task_engagement,task_engagement,logistic,auc,0.6418572891771936,0.5308979173779448
7,recording_dyad_07,group_task_engagement,task_engagement,linear,r2,-0.6937479139208913,-0.05536374284584222
7,recording_dyad_07,group_task_engagement,task_engagement,logistic,auc,0.6120018752930145,0.4738396624472574
8,recording_dyad_06,group_task_engagement,task_engagement,linear,r2,-0.2985220000161526,-0.0651019006549125
8,recording_dyad_06,group_task_engagement,task_engagement,logistic,auc,0.7157396449704142,0.5115384615384615
9,recording_triad_14,group_task_engagement,task_engagement,linear,r2,-3.6243101346997095,-0.11508331835918573
9,recording_triad_14,group_task_engagement,task_engagement,logistic,auc,0.6586275816122585,0.4562958027981346
10,recording_triad_13,group_task_engagement,task_engagement,linear,r2,-1.575715460038467,-0.4098821932047023
