fold,session,analysis,target,model,metric,score,baseline_score
0,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,-0.30312152563021955,-3.697995871054793e-05
0,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.6457599695441134,0.5244360902255639
1,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-0.8136904701803276,-0.8728523058826092
1,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.5332938739271974,0.4551642497780409
2,recording_triad_03,individual_engagement,engagement_target,linear_pca,r2,-0.4282417488861492,-0.01868795963732106
2,recording_triad_03,individual_engagement,engagement_target,logistic_pca,auc,0.48322344322344324,0.4946886446886447
3,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-0.7703577675065347,-0.9343478580653464
3,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.620306324110672,0.5037055335968379
4,recording_dyad_08,individual_engagement,engagement_target,linear_pca,r2,-0.16735421060800948,-0.20733436111136205
4,recording_dyad_08,individual_engagement,engagement_target,logistic_pca,auc,0.6109188344311711,0.48492798928212566
5,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.21744716228433236,-0.09669765577483469
5,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7044299201161947,0.5241013071895425
6,recording_dyad_07,individual_engagement,engagement_target,linear_pca,r2,-0.15536387065087687,-0.0035101212866537335
6,recording_dyad_07,individual_engagement,engagement_target,logistic_pca,auc,0.6921931131166214,0.5195391220537984
7,recording_dyad_06,individual_engagement,engagement_target,linear_pca,r2,-0.552534916515879,-0.16570555282628896
7,recording_dyad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7395555555555556,0.4716666666666667
8,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,-0.18176817227914066,-0.03081436200573373
8,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.6710084033613445,0.41799719887955183
9,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,-0.2775233876057044,-0.45959903612164
9,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.6537405628002746,0.4917638984214139
10,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.009617381670163794,-0.05819330319084148
10,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.7464497041420117,0.49519230769230765
11,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,-0.03651956846129645,-0.00273985826292944
11,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.7176773455377574,0.5034324942791762
12,recording_triad_08,individual_engagement,engagement_target,linear_pca,r2,-0.2644308411129077,-0.003601690013236958
12,recording_triad_08,individual_engagement,engagement_target,logistic_pca,auc,0.49620962425840476,0.4701713909030982
13,recording_dyad_01,individual_engagement,engagement_target,linear_pca,r2,-3.326298669827234,-0.29478228392358496
13,recording_dyad_01,individual_engagement,engagement_target,logistic_pca,auc,0.720204081632653,0.5146938775510205
14,recording_dyad_11,individual_engagement,engagement_target,linear_pca,r2,-0.31356460087762206,-0.060947931612995276
14,recording_dyad_11,individual_engagement,engagement_target,logistic_pca,auc,0.7161968466316292,0.4589106545628285
15,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,-0.3256282685054226,-0.12019736659791813
15,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.6419662509170946,0.479457079970653
16,recording_triad_10,individual_engagement,engagement_target,linear_pca,r2,-0.7719685001410193,-0.8286366408363197
16,recording_triad_10,individual_engagement,engagement_target,logistic_pca,auc,0.5881595881595881,0.4083011583011583
17,recording_dyad_10,individual_engagement,engagement_target,linear_pca,r2,-7.348355969663983,-7.950241326636791
17,recording_dyad_10,individual_engagement,engagement_target,logistic_pca,auc,,
18,recording_triad_04,individual_engagement,engagement_target,linear_pca,r2,-0.7835763449911219,-0.1681954645665662
18,recording_triad_04,individual_engagement,engagement_target,logistic_pca,auc,0.6162162162162163,0.38155802861685206
19,recording_dyad_05,individual_engagement,engagement_target,linear_pca,r2,-0.11606358296697539,-3.009340998616494e-08
19,recording_dyad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6651785714285714,0.4720982142857143
20,recording_triad_11,individual_engagement,engagement_target,linear_pca,r2,-1.7312138936968404,-1.2685418087403408
20,recording_triad_11,individual_engagement,engagement_target,logistic_pca,auc,0.5431578947368422,0.3
21,recording_triad_12,individual_engagement,engagement_target,linear_pca,r2,-0.029585442033099207,-0.00012354320587593115
21,recording_triad_12,individual_engagement,engagement_target,logistic_pca,auc,0.6607142857142857,0.5539682539682539
22,recording_triad_07,individual_engagement,engagement_target,linear_pca,r2,-0.6188189994817817,-0.6038582967917998
22,recording_triad_07,individual_engagement,engagement_target,logistic_pca,auc,0.6209987195902689,0.5419334186939821
23,recording_dyad_09,individual_engagement,engagement_target,linear_pca,r2,-0.22183078304146364,-1.271092410691013
23,recording_dyad_09,individual_engagement,engagement_target,logistic_pca,auc,0.6166666666666667,0.4969298245614035
24,recording_dyad_02,individual_engagement,engagement_target,linear_pca,r2,-1.5898123685762213,-0.08336476878430221
24,recording_dyad_02,individual_engagement,engagement_target,logistic_pca,auc,0.43022222222222223,0.5488888888888889
0,recording_dyad_04,group_task_engagement,task_engagement,linear_pca,r2,-0.1744955035697433,-0.0822315691105533
0,recording_dyad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.5809000523286239,0.47571951857666145
1,recording_dyad_03,group_task_engagement,task_engagement,linear_pca,r2,-0.4152165400040433,-0.5464122495763599
1,recording_dyad_03,group_task_engagement,task_engagement,logistic_pca,auc,0.5799831081081082,0.44307432432432436
2,recording_triad_03,group_task_engagement,task_engagement,linear_pca,r2,0.2946277933027829,-0.009657314756238211
2,recording_triad_03,group_task_engagement,task_engagement,logistic_pca,auc,0.7648573109738158,0.4602824360105914
3,recording_triad_01,group_task_engagement,task_engagement,linear_pca,r2,0.125465885924401,-0.2219370155464444
3,recording_triad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.6767867893695708,0.5504859379031564
4,recording_dyad_05,group_task_engagement,task_engagement,linear_pca,r2,0.050721354748257896,-0.02237431876717566
4,recording_dyad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.6851481851481851,0.5175241425241425
5,recording_dyad_08,group_task_engagement,task_engagement,linear_pca,r2,-0.2471126090157858,-0.029944961122618574
5,recording_dyad_08,group_task_engagement,task_engagement,logistic_pca,auc,0.5929131453008858,0.47062417269117196
6,recording_triad_06,group_task_engagement,task_engagement,linear_pca,r2,0.2610123663329077,-2.0199189744607438e-05
6,recording_triad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.6871799248890407,0.5308979173779448
7,recording_dyad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.21323853920964098,-0.05536374284584222
7,recording_dyad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.6310360993905298,0.4738396624472574
8,recording_dyad_06,group_task_engagement,task_engagement,linear_pca,r2,0.24439201649838893,-0.0651019006549125
8,recording_dyad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.8411834319526628,0.5115384615384615
9,recording_triad_14,group_task_engagement,task_engagement,linear_pca,r2,-0.34903541548453143,-0.11508331835918573
9,recording_triad_14,group_task_engagement,task_engagement,logistic_pca,auc,0.6257161892071951,0.4562958027981346
10,recording_triad_13,group_task_engagement,task_engagement,linear_pca,r2,-0.28958089038316714,-0.4098821932047023
10,recording_triad_13,group_task_engagement,task_engagement,logistic_pca,auc,0.6209816303099884,0.5287743972445466
11,recording_triad_09,group_task_engagement,task_engagement,linear_pca,r2,-0.4626552709719629,-0.5702683592933548
11,recording_triad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.7121967431040213,0.4654370222665337
12,recording_triad_05,group_task_engagement,task_engagement,linear_pca,r2,0.22571915962205036,-0.03853984383968512
12,recording_triad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.7352769679300292,0.4571428571428572
13,recording_triad_08,group_task_engagement,task_engagement,linear_pca,r2,-1.1040066725726891,-3.2407079269458663
13,recording_triad_08,group_task_engagement,task_engagement,logistic_pca,auc,0.835304054054054,0.46621621621621623
14,recording_dyad_01,group_task_engagement,task_engagement,linear_pca,r2,-1.9306358904495546,-0.3508904312256298
14,recording_dyad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.7262107051826678,0.5544817332200509
15,recording_dyad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.16924275952824375,-0.2795091045566185
15,recording_dyad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.6172043010752688,0.4766666666666667
16,recording_triad_02,group_task_engagement,task_engagement,linear_pca,r2,-0.5045353477926284,-0.486578797905451
16,recording_triad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.4512820512820513,0.4974358974358975
17,recording_triad_10,group_task_engagement,task_engagement,linear_pca,r2,-0.0559879646406809,-0.250075752220303
17,recording_triad_10,group_task_engagement,task_engagement,logistic_pca,auc,0.6528765352294764,0.5670652876535229
18,recording_dyad_10,group_task_engagement,task_engagement,linear_pca,r2,-10.486379909089562,-14.225809809623051
18,recording_dyad_10,group_task_engagement,task_engagement,logistic_pca,auc,,
19,recording_triad_04,group_task_engagement,task_engagement,linear_pca,r2,-0.5146620522918472,-0.29017279506212734
19,recording_triad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.5295731707317073,0.438109756097561
20,recording_triad_11,group_task_engagement,task_engagement,linear_pca,r2,0.023454668139836543,-0.0621312086123349
20,recording_triad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.6857758620689656,0.4193965517241379
21,recording_triad_12,group_task_engagement,task_engagement,linear_pca,r2,-0.3232705336813204,-0.024056785932835556
21,recording_triad_12,group_task_engagement,task_engagement,logistic_pca,auc,0.6049808429118774,0.4599616858237548
22,recording_triad_07,group_task_engagement,task_engagement,linear_pca,r2,0.15272120897719466,-0.03139745244543013
22,recording_triad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.644976076555024,0.6107655502392345
23,recording_dyad_09,group_task_engagement,task_engagement,linear_pca,r2,0.03049756758312916,-0.4126890408331172
23,recording_dyad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.8662280701754386,0.5588450292397661
24,recording_dyad_02,group_task_engagement,task_engagement,linear_pca,r2,0.01179168543088005,-0.004556568303660802
24,recording_dyad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.67734375,0.434375
