fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-0.7448893338793443,-0.751385354882365
0,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.42899408284023666,0.7115384615384616
1,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,-0.06455693334754553,-0.12987492174862947
1,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.7015873015873015,0.33333333333333337
2,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,0.0874265357141516,-0.20144445485485063
2,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.8678571428571429,0.5107142857142857
3,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,0.6607755515328937,-0.18620752472267554
3,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.985,0.6775
4,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.3435548612125644,-0.8763169001730118
4,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.8857142857142857,0.5964285714285714
5,recording_triad_12,individual_engagement,engagement_target,linear_pca,r2,0.4900491887841312,-0.013336404474674213
5,recording_triad_12,individual_engagement,engagement_target,logistic_pca,auc,0.8222222222222222,0.41666666666666663
6,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-1.052596023069206,-0.3630851256561476
6,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.5390625,0.8125
7,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,0.6173971761008883,-0.020277885505068705
7,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.8819444444444444,0.5
8,recording_dyad_07,individual_engagement,engagement_target,linear_pca,r2,0.4370554358452369,-4.070856837268266e-05
8,recording_dyad_07,individual_engagement,engagement_target,logistic_pca,auc,0.9375,0.25
9,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,-0.04742739904168758,-0.0068867147381173055
9,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.7714285714285714,0.5999999999999999
10,recording_triad_07,individual_engagement,engagement_target,linear_pca,r2,0.019970743360191667,-1.1034693272903056
10,recording_triad_07,individual_engagement,engagement_target,logistic_pca,auc,0.8375,0.45000000000000007
11,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.28279580899840695,-0.10577593558848464
11,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.8046875,0.34375
12,recording_triad_10,individual_engagement,engagement_target,linear_pca,r2,-0.29199873523530706,-1.4459773155700693
12,recording_triad_10,individual_engagement,engagement_target,logistic_pca,auc,0.9318181818181819,0.7272727272727273
13,recording_triad_08,individual_engagement,engagement_target,linear_pca,r2,0.43402138054343997,-0.03700815503908084
13,recording_triad_08,individual_engagement,engagement_target,logistic_pca,auc,0.824074074074074,0.5277777777777778
14,recording_dyad_11,individual_engagement,engagement_target,linear_pca,r2,0.31990747982708934,-0.013494355632404975
14,recording_dyad_11,individual_engagement,engagement_target,logistic_pca,auc,0.8645833333333334,0.45833333333333337
15,recording_dyad_06,individual_engagement,engagement_target,linear_pca,r2,-2.273057215419271,-3.01426595377892
15,recording_dyad_06,individual_engagement,engagement_target,logistic_pca,auc,1.0,0.21052631578947367
16,recording_dyad_02,individual_engagement,engagement_target,linear_pca,r2,-1.5365510787124976,-0.2970643566461615
16,recording_dyad_02,individual_engagement,engagement_target,logistic_pca,auc,0.34615384615384615,0.4807692307692307
17,recording_dyad_10,individual_engagement,engagement_target,linear_pca,r2,-6.811449959346895,-10.657561131452443
17,recording_dyad_10,individual_engagement,engagement_target,logistic_pca,auc,,
18,recording_triad_11,individual_engagement,engagement_target,linear_pca,r2,-0.24875149985287393,-0.758897665597065
18,recording_triad_11,individual_engagement,engagement_target,logistic_pca,auc,0.6399999999999999,0.75
19,recording_dyad_05,individual_engagement,engagement_target,linear_pca,r2,0.4359799627909049,-0.009919482166699911
19,recording_dyad_05,individual_engagement,engagement_target,logistic_pca,auc,0.75,0.2708333333333333
0,recording_triad_01,group_task_engagement,task_engagement,linear_pca,r2,0.07498215624013427,-0.13889780876312408
0,recording_triad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.4074074074074074,0.5666666666666667
1,recording_triad_13,group_task_engagement,task_engagement,linear_pca,r2,0.6670917787053212,-0.0854099093630809
1,recording_triad_13,group_task_engagement,task_engagement,logistic_pca,auc,0.8784722222222223,0.45833333333333337
2,recording_triad_05,group_task_engagement,task_engagement,linear_pca,r2,-0.07068925729027487,-0.3251040067237594
2,recording_triad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.48958333333333326,0.5208333333333333
3,recording_triad_14,group_task_engagement,task_engagement,linear_pca,r2,0.46677944731858967,-0.0014203150350124982
3,recording_triad_14,group_task_engagement,task_engagement,logistic_pca,auc,0.5674603174603176,0.5714285714285714
4,recording_triad_06,group_task_engagement,task_engagement,linear_pca,r2,-0.06781128637119416,-0.733766774657548
