fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_01,individual_engagement,engagement_target,linear,r2,-0.9869541591209605,-0.751385354882365
0,recording_triad_01,individual_engagement,engagement_target,logistic,auc,0.36390532544378695,0.7115384615384616
1,recording_triad_05,individual_engagement,engagement_target,linear,r2,-2.9735701907850838,-0.12987492174862947
1,recording_triad_05,individual_engagement,engagement_target,logistic,auc,0.7428571428571429,0.33333333333333337
2,recording_triad_13,individual_engagement,engagement_target,linear,r2,-1.22825383123984,-0.20144445485485063
2,recording_triad_13,individual_engagement,engagement_target,logistic,auc,0.7,0.5107142857142857
3,recording_triad_14,individual_engagement,engagement_target,linear,r2,-2.2625591919631574,-0.18620752472267554
3,recording_triad_14,individual_engagement,engagement_target,logistic,auc,0.85,0.6775
4,recording_triad_06,individual_engagement,engagement_target,linear,r2,0.4953621861718146,-0.8763169001730118
4,recording_triad_06,individual_engagement,engagement_target,logistic,auc,0.8714285714285714,0.5964285714285714
5,recording_triad_12,individual_engagement,engagement_target,linear,r2,-1.978858507865981,-0.013336404474674213
5,recording_triad_12,individual_engagement,engagement_target,logistic,auc,0.6611111111111111,0.41666666666666663
6,recording_dyad_03,individual_engagement,engagement_target,linear,r2,-1.9319447378525099,-0.3630851256561476
6,recording_dyad_03,individual_engagement,engagement_target,logistic,auc,0.40625,0.8125
7,recording_dyad_04,individual_engagement,engagement_target,linear,r2,-0.4960759669327799,-0.020277885505068705
7,recording_dyad_04,individual_engagement,engagement_target,logistic,auc,0.8263888888888888,0.5
8,recording_dyad_07,individual_engagement,engagement_target,linear,r2,0.23295597753549713,-4.070856837268266e-05
8,recording_dyad_07,individual_engagement,engagement_target,logistic,auc,0.5069444444444444,0.25
9,recording_triad_02,individual_engagement,engagement_target,linear,r2,-0.9398375021068153,-0.0068867147381173055
9,recording_triad_02,individual_engagement,engagement_target,logistic,auc,0.8,0.5999999999999999
10,recording_triad_07,individual_engagement,engagement_target,linear,r2,-1.4733410128825795,-1.1034693272903056
10,recording_triad_07,individual_engagement,engagement_target,logistic,auc,0.6875,0.45000000000000007
11,recording_triad_09,individual_engagement,engagement_target,linear,r2,-0.02855692780001795,-0.10577593558848464
11,recording_triad_09,individual_engagement,engagement_target,logistic,auc,0.890625,0.34375
12,recording_triad_10,individual_engagement,engagement_target,linear,r2,-0.2546262560971988,-1.4459773155700693
12,recording_triad_10,individual_engagement,engagement_target,logistic,auc,0.9545454545454545,0.7272727272727273
13,recording_triad_08,individual_engagement,engagement_target,linear,r2,0.23993844622150295,-0.03700815503908084
13,recording_triad_08,individual_engagement,engagement_target,logistic,auc,0.6574074074074074,0.5277777777777778
14,recording_dyad_11,individual_engagement,engagement_target,linear,r2,0.1477809593271565,-0.013494355632404975
14,recording_dyad_11,individual_engagement,engagement_target,logistic,auc,0.8645833333333333,0.45833333333333337
15,recording_dyad_06,individual_engagement,engagement_target,linear,r2,-0.4043617206668586,-3.01426595377892
15,recording_dyad_06,individual_engagement,engagement_target,logistic,auc,0.9473684210526315,0.21052631578947367
16,recording_dyad_02,individual_engagement,engagement_target,linear,r2,-33.33717648522616,-0.2970643566461615
16,recording_dyad_02,individual_engagement,engagement_target,logistic,auc,0.4423076923076923,0.4807692307692307
17,recording_dyad_10,individual_engagement,engagement_target,linear,r2,-9.519294167021258,-10.657561131452443
17,recording_dyad_10,individual_engagement,engagement_target,logistic,auc,,
18,recording_triad_11,individual_engagement,engagement_target,linear,r2,-2.418674733122539,-0.758897665597065
18,recording_triad_11,individual_engagement,engagement_target,logistic,auc,0.52,0.75
19,recording_dyad_05,individual_engagement,engagement_target,linear,r2,0.12911347338174006,-0.009919482166699911
19,recording_dyad_05,individual_engagement,engagement_target,logistic,auc,0.6458333333333334,0.2708333333333333
0,recording_triad_01,group_task_engagement,task_engagement,linear,r2,0.19939253600947593,-0.13889780876312408
0,recording_triad_01,group_task_engagement,task_engagement,logistic,auc,0.5777777777777777,0.5666666666666667
1,recording_triad_13,group_task_engagement,task_engagement,linear,r2,0.48633195638699134,-0.0854099093630809
1,recording_triad_13,group_task_engagement,task_engagement,logistic,auc,0.7152777777777778,0.45833333333333337
2,recording_triad_05,group_task_engagement,task_engagement,linear,r2,-0.15499247442061037,-0.3251040067237594
2,recording_triad_05,group_task_engagement,task_engagement,logistic,auc,0.638888888888889,0.5208333333333333
3,recording_triad_14,group_task_engagement,task_engagement,linear,r2,-0.09387453817684843,-0.0014203150350124982
3,recording_triad_14,group_task_engagement,task_engagement,logistic,auc,0.5277777777777778,0.5714285714285714
4,recording_triad_06,group_task_engagement,task_engagement,linear,r2,-0.5701148596380239,-0.733766774657548
4,recording_triad_06,group_task_engagement,task_engagement,logistic,auc,0.7901234567901234,0.6203703703703705
5,recording_triad_12,group_task_engagement,task_engagement,linear,r2,-1.400647522581814,-0.3893212930224865
5,recording_triad_12,group_task_engagement,task_engagement,logistic,auc,0.5666666666666667,0.26666666666666666
6,recording_dyad_03,group_task_engagement,task_engagement,linear,r2,-2.9137251897885306,-1.1886237211560622
6,recording_dyad_03,group_task_engagement,task_engagement,logistic,auc,0.7499999999999999,0.33333333333333337
7,recording_dyad_04,group_task_engagement,task_engagement,linear,r2,-1.4247966030425148,-0.03579745788307109
7,recording_dyad_04,group_task_engagement,task_engagement,logistic,auc,0.5642857142857143,0.3428571428571428
8,recording_dyad_05,group_task_engagement,task_engagement,linear,r2,-0.093622105766205,-0.11533726923874466
8,recording_dyad_05,group_task_engagement,task_engagement,logistic,auc,0.7578125,0.4375
9,recording_dyad_07,group_task_engagement,task_engagement,linear,r2,-4.951210009289108,-0.4366049478915537
9,recording_dyad_07,group_task_engagement,task_engagement,logistic,auc,0.6015625,0.4375
10,recording_triad_02,group_task_engagement,task_engagement,linear,r2,-0.057857494394846665,-0.20940298715829986
10,recording_triad_02,group_task_engagement,task_engagement,logistic,auc,0.5407407407407407,0.38888888888888884
11,recording_triad_07,group_task_engagement,task_engagement,linear,r2,-0.4056973589663839,-0.6216787686935985
11,recording_triad_07,group_task_engagement,task_engagement,logistic,auc,0.7592592592592593,0.33333333333333337
12,recording_triad_09,group_task_engagement,task_engagement,linear,r2,-0.7982005674225343,-0.2844072868502654
12,recording_triad_09,group_task_engagement,task_engagement,logistic,auc,1.0,0.5476190476190477
13,recording_triad_10,group_task_engagement,task_engagement,linear,r2,0.4142141960535546,-0.5402764583797601
13,recording_triad_10,group_task_engagement,task_engagement,logistic,auc,0.8571428571428572,0.16666666666666669
14,recording_triad_08,group_task_engagement,task_engagement,linear,r2,-1.142561062876171,-6.280868641045849
14,recording_triad_08,group_task_engagement,task_engagement,logistic,auc,,
15,recording_dyad_11,group_task_engagement,task_engagement,linear,r2,-1.8193178980958398,-0.7185023567097055
15,recording_dyad_11,group_task_engagement,task_engagement,logistic,auc,0.8333333333333333,0.5625
16,recording_dyad_06,group_task_engagement,task_engagement,linear,r2,-14.43745595138663,-8.394052157428124
16,recording_dyad_06,group_task_engagement,task_engagement,logistic,auc,,
17,recording_dyad_02,group_task_engagement,task_engagement,linear,r2,-363.44541583800356,-0.31639918508757003
17,recording_dyad_02,group_task_engagement,task_engagement,logistic,auc,0.10714285714285715,0.6607142857142857
18,recording_dyad_10,group_task_engagement,task_engagement,linear,r2,-54.59357890656151,-47.28197060639713
18,recording_dyad_10,group_task_engagement,task_engagement,logistic,auc,,
19,recording_triad_11,group_task_engagement,task_engagement,linear,r2,-9.604421633086032,-6.7316333558054e-05
19,recording_triad_11,group_task_engagement,task_engagement,logistic,auc,0.7222222222222221,0.6249999999999999
