fold,session,analysis,target,model,metric,score,baseline_score
0,recording_triad_01,individual_engagement,engagement_target,linear_pca,r2,-0.3418521916323414,-0.751385354882365
0,recording_triad_01,individual_engagement,engagement_target,logistic_pca,auc,0.47928994082840237,0.7115384615384616
1,recording_triad_05,individual_engagement,engagement_target,linear_pca,r2,-1.027996791877099,-0.12987492174862947
1,recording_triad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6158730158730159,0.33333333333333337
2,recording_triad_13,individual_engagement,engagement_target,linear_pca,r2,0.05367319500305989,-0.20144445485485063
2,recording_triad_13,individual_engagement,engagement_target,logistic_pca,auc,0.8392857142857143,0.5107142857142857
3,recording_triad_14,individual_engagement,engagement_target,linear_pca,r2,0.26669842261158905,-0.18620752472267554
3,recording_triad_14,individual_engagement,engagement_target,logistic_pca,auc,0.98,0.6775
4,recording_triad_06,individual_engagement,engagement_target,linear_pca,r2,0.2422506339041609,-0.8763169001730118
4,recording_triad_06,individual_engagement,engagement_target,logistic_pca,auc,0.7785714285714285,0.5964285714285714
5,recording_triad_12,individual_engagement,engagement_target,linear_pca,r2,-0.12529063756665137,-0.013336404474674213
5,recording_triad_12,individual_engagement,engagement_target,logistic_pca,auc,0.75,0.41666666666666663
6,recording_dyad_03,individual_engagement,engagement_target,linear_pca,r2,-1.4471224409926133,-0.3630851256561476
6,recording_dyad_03,individual_engagement,engagement_target,logistic_pca,auc,0.5625,0.8125
7,recording_dyad_04,individual_engagement,engagement_target,linear_pca,r2,0.5282172783856971,-0.020277885505068705
7,recording_dyad_04,individual_engagement,engagement_target,logistic_pca,auc,0.7708333333333334,0.5
8,recording_dyad_07,individual_engagement,engagement_target,linear_pca,r2,0.24662435524925674,-4.070856837268266e-05
8,recording_dyad_07,individual_engagement,engagement_target,logistic_pca,auc,0.6805555555555557,0.25
9,recording_triad_02,individual_engagement,engagement_target,linear_pca,r2,0.05307906171818033,-0.0068867147381173055
9,recording_triad_02,individual_engagement,engagement_target,logistic_pca,auc,0.7714285714285715,0.5999999999999999
10,recording_triad_07,individual_engagement,engagement_target,linear_pca,r2,-0.5106376125240935,-1.1034693272903056
10,recording_triad_07,individual_engagement,engagement_target,logistic_pca,auc,0.7875,0.45000000000000007
11,recording_triad_09,individual_engagement,engagement_target,linear_pca,r2,0.4438618848362822,-0.10577593558848464
11,recording_triad_09,individual_engagement,engagement_target,logistic_pca,auc,0.9296875,0.34375
12,recording_triad_10,individual_engagement,engagement_target,linear_pca,r2,-0.6211370364396254,-1.4459773155700693
12,recording_triad_10,individual_engagement,engagement_target,logistic_pca,auc,1.0,0.7272727272727273
13,recording_triad_08,individual_engagement,engagement_target,linear_pca,r2,0.21113426249302614,-0.03700815503908084
13,recording_triad_08,individual_engagement,engagement_target,logistic_pca,auc,0.7870370370370371,0.5277777777777778
14,recording_dyad_11,individual_engagement,engagement_target,linear_pca,r2,0.21547117287122186,-0.013494355632404975
14,recording_dyad_11,individual_engagement,engagement_target,logistic_pca,auc,0.8020833333333333,0.45833333333333337
15,recording_dyad_06,individual_engagement,engagement_target,linear_pca,r2,-0.26319558362876316,-3.01426595377892
15,recording_dyad_06,individual_engagement,engagement_target,logistic_pca,auc,0.8947368421052632,0.21052631578947367
16,recording_dyad_02,individual_engagement,engagement_target,linear_pca,r2,-31.752971299151817,-0.2970643566461615
16,recording_dyad_02,individual_engagement,engagement_target,logistic_pca,auc,0.5192307692307692,0.4807692307692307
17,recording_dyad_10,individual_engagement,engagement_target,linear_pca,r2,-6.086929877410438,-10.657561131452443
17,recording_dyad_10,individual_engagement,engagement_target,logistic_pca,auc,,
18,recording_triad_11,individual_engagement,engagement_target,linear_pca,r2,-0.18490513344905213,-0.758897665597065
18,recording_triad_11,individual_engagement,engagement_target,logistic_pca,auc,0.42,0.75
19,recording_dyad_05,individual_engagement,engagement_target,linear_pca,r2,0.3849256008167544,-0.009919482166699911
19,recording_dyad_05,individual_engagement,engagement_target,logistic_pca,auc,0.6666666666666666,0.2708333333333333
0,recording_triad_01,group_task_engagement,task_engagement,linear_pca,r2,0.2636621404699522,-0.13889780876312408
0,recording_triad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.5999999999999999,0.5666666666666667
1,recording_triad_13,group_task_engagement,task_engagement,linear_pca,r2,0.55996107120048,-0.0854099093630809
1,recording_triad_13,group_task_engagement,task_engagement,logistic_pca,auc,0.7743055555555556,0.45833333333333337
2,recording_triad_05,group_task_engagement,task_engagement,linear_pca,r2,-0.03570267979700503,-0.3251040067237594
2,recording_triad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.6909722222222221,0.5208333333333333
3,recording_triad_14,group_task_engagement,task_engagement,linear_pca,r2,0.30266089361926785,-0.0014203150350124982
3,recording_triad_14,group_task_engagement,task_engagement,logistic_pca,auc,0.4206349206349206,0.5714285714285714
4,recording_triad_06,group_task_engagement,task_engagement,linear_pca,r2,-0.1076770067525139,-0.733766774657548
4,recording_triad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.7654320987654322,0.6203703703703705
