analysis,target,model,feature,coef
individual_engagement,engagement_target,linear_pca,sentiment_role,-0.0007954801106285159
individual_engagement,engagement_target,linear_pca,speaking_role,0.07859353098130545
individual_engagement,engagement_target,linear_pca,arousal,0.019581883473514597
individual_engagement,engagement_target,linear_pca,dominance,-0.04303948382251071
individual_engagement,engagement_target,linear_pca,valence,0.016202808926826566
individual_engagement,engagement_target,linear_pca,role_p_green,0.029872667817610308
individual_engagement,engagement_target,linear_pca,role_p_red,0.019198041412368257
individual_engagement,engagement_target,logistic_pca,sentiment_role,-0.01818687531872951
individual_engagement,engagement_target,logistic_pca,speaking_role,0.6259682933113965
individual_engagement,engagement_target,logistic_pca,arousal,0.21444333505547133
individual_engagement,engagement_target,logistic_pca,dominance,-0.3748225961802702
individual_engagement,engagement_target,logistic_pca,valence,0.1687529939744293
individual_engagement,engagement_target,logistic_pca,role_p_green,0.3955007124318844
individual_engagement,engagement_target,logistic_pca,role_p_red,0.14504657758417783
group_task_engagement,task_engagement,linear_pca,sentiment_role,-0.006124768152174937
group_task_engagement,task_engagement,linear_pca,speaking_role,0.06625522813232199
group_task_engagement,task_engagement,linear_pca,arousal,0.0065815593036556
group_task_engagement,task_engagement,linear_pca,dominance,-0.10680711179095476
group_task_engagement,task_engagement,linear_pca,valence,0.09929122581361861
group_task_engagement,task_engagement,linear_pca,role_p_green,-0.0020762251290040927
group_task_engagement,task_engagement,linear_pca,role_p_red,0.0016433324629041555
group_task_engagement,task_engagement,logistic_pca,sentiment_role,-0.04431136019366038
group_task_engagement,task_engagement,logistic_pca,speaking_role,0.28346377996345806
group_task_engagement,task_engagement,logistic_pca,arousal,0.11190754536741615
group_task_engagement,task_engagement,logistic_pca,dominance,-0.5200920187123605
group_task_engagement,task_engagement,logistic_pca,valence,0.39262791344585357
group_task_engagement,task_engagement,logistic_pca,role_p_green,-0.013889810480418685
group_task_engagement,task_engagement,logistic_pca,role_p_red,0.030911082009143873
