analysis,target,model,feature,coef
individual_engagement,engagement_target,linear_pca,sentiment_role,0.005500797684295964
individual_engagement,engagement_target,linear_pca,speaking_role,0.016796655332680935
individual_engagement,engagement_target,linear_pca,arousal,-0.01180595894363
individual_engagement,engagement_target,linear_pca,dominance,0.021971317623972083
individual_engagement,engagement_target,linear_pca,valence,-0.04097296719038638
individual_engagement,engagement_target,linear_pca,role_p_green,0.030177806398921567
individual_engagement,engagement_target,linear_pca,role_p_red,0.016644754345754072
individual_engagement,engagement_target,linear_pca,opensmile_pc001,-0.003956417440083523
individual_engagement,engagement_target,linear_pca,opensmile_pc002,0.034151563577319105
individual_engagement,engagement_target,linear_pca,opensmile_pc003,0.01534715283501685
individual_engagement,engagement_target,linear_pca,opensmile_pc004,-0.006312621713345529
individual_engagement,engagement_target,linear_pca,opensmile_pc005,0.007688696639937813
individual_engagement,engagement_target,linear_pca,opensmile_pc006,0.008219305256172219
individual_engagement,engagement_target,linear_pca,opensmile_pc007,-0.004955808201361882
individual_engagement,engagement_target,linear_pca,opensmile_pc008,0.002043509448068856
individual_engagement,engagement_target,linear_pca,opensmile_pc009,0.001832507116934647
individual_engagement,engagement_target,linear_pca,opensmile_pc010,0.002594305292762318
individual_engagement,engagement_target,linear_pca,opensmile_pc011,0.0010688699331915937
individual_engagement,engagement_target,linear_pca,opensmile_pc012,0.0004964956893679011
individual_engagement,engagement_target,linear_pca,opensmile_pc013,0.0027043836140441995
individual_engagement,engagement_target,linear_pca,opensmile_pc014,0.0017831164561712043
individual_engagement,engagement_target,linear_pca,opensmile_pc015,0.0004721166417386093
individual_engagement,engagement_target,linear_pca,opensmile_pc016,-0.00016833358730415773
individual_engagement,engagement_target,linear_pca,opensmile_pc017,-0.0008890073268498484
individual_engagement,engagement_target,linear_pca,opensmile_pc018,-0.0016233421523222404
individual_engagement,engagement_target,linear_pca,opensmile_pc019,-0.0021250887284890423
individual_engagement,engagement_target,linear_pca,opensmile_pc020,-0.0009965817088539645
individual_engagement,engagement_target,linear_pca,opensmile_pc021,0.0009231895846442463
individual_engagement,engagement_target,linear_pca,opensmile_pc022,0.0011751510997447098
individual_engagement,engagement_target,linear_pca,opensmile_pc023,0.0014097515634911987
individual_engagement,engagement_target,linear_pca,opensmile_pc024,0.0010341600401346073
individual_engagement,engagement_target,linear_pca,opensmile_pc025,0.0025953402653825434
individual_engagement,engagement_target,linear_pca,opensmile_pc026,0.0012433798117436035
individual_engagement,engagement_target,linear_pca,opensmile_pc027,-0.0009825817783895691
individual_engagement,engagement_target,linear_pca,opensmile_pc028,-0.0016152149489147935
individual_engagement,engagement_target,linear_pca,opensmile_pc029,-0.002243123746454324
individual_engagement,engagement_target,linear_pca,opensmile_pc030,-0.002227224668011166
individual_engagement,engagement_target,linear_pca,opensmile_pc031,-0.00026570118454820985
individual_engagement,engagement_target,linear_pca,opensmile_pc032,-0.000869690374128915
individual_engagement,engagement_target,linear_pca,opensmile_pc033,-0.00039113786015827214
individual_engagement,engagement_target,linear_pca,opensmile_pc034,0.00206749212462443
individual_engagement,engagement_target,linear_pca,opensmile_pc035,-0.00011042935724236492
individual_engagement,engagement_target,linear_pca,opensmile_pc036,-0.0016016341497474445
individual_engagement,engagement_target,linear_pca,opensmile_pc037,-0.0005897412380282069
individual_engagement,engagement_target,linear_pca,opensmile_pc038,0.0007973521106426377
individual_engagement,engagement_target,linear_pca,opensmile_pc039,-0.002024073862964012
individual_engagement,engagement_target,linear_pca,opensmile_pc040,0.00044811948180349773
individual_engagement,engagement_target,linear_pca,opensmile_pc041,0.0017538145498545254
individual_engagement,engagement_target,linear_pca,opensmile_pc042,0.0016934217855598904
individual_engagement,engagement_target,linear_pca,opensmile_pc043,0.0029765013621495264
individual_engagement,engagement_target,linear_pca,opensmile_pc044,-0.003390914870864769
individual_engagement,engagement_target,linear_pca,opensmile_pc045,0.00015084764048009785
individual_engagement,engagement_target,linear_pca,opensmile_pc046,-0.0025821601628684358
individual_engagement,engagement_target,linear_pca,opensmile_pc047,0.0007723157281940043
individual_engagement,engagement_target,linear_pca,opensmile_pc048,0.0011841118046951918
individual_engagement,engagement_target,linear_pca,opensmile_pc049,0.0033554571616572636
individual_engagement,engagement_target,linear_pca,opensmile_pc050,7.157629991639376e-05
individual_engagement,engagement_target,linear_pca,opensmile_pc051,-0.002162367972489327
individual_engagement,engagement_target,linear_pca,opensmile_pc052,-0.0014602424787610278
individual_engagement,engagement_target,linear_pca,opensmile_pc053,-0.00039140085322756773
individual_engagement,engagement_target,linear_pca,opensmile_pc054,-0.0012056150879485728
individual_engagement,engagement_target,linear_pca,opensmile_pc055,-0.0010184629960185766
individual_engagement,engagement_target,linear_pca,opensmile_pc056,-0.0014660544137442878
individual_engagement,engagement_target,linear_pca,opensmile_pc057,0.0011335651939602515
individual_engagement,engagement_target,linear_pca,opensmile_pc058,-0.0011849903633879182
individual_engagement,engagement_target,linear_pca,opensmile_pc059,-0.006092230240884908
individual_engagement,engagement_target,linear_pca,opensmile_pc060,-0.0021327064925557504
individual_engagement,engagement_target,linear_pca,opensmile_pc061,-0.0012425874313640379
individual_engagement,engagement_target,linear_pca,opensmile_pc062,0.0027640857836293904
individual_engagement,engagement_target,linear_pca,opensmile_pc063,-0.0031708857050784683
individual_engagement,engagement_target,linear_pca,opensmile_pc064,-0.0022570872526106937
individual_engagement,engagement_target,linear_pca,opensmile_pc065,0.002607541988119569
individual_engagement,engagement_target,linear_pca,opensmile_pc066,0.002405273794038617
individual_engagement,engagement_target,linear_pca,emow2v_pc001,-0.0314072240453686
individual_engagement,engagement_target,linear_pca,emow2v_pc002,0.026872210899012153
individual_engagement,engagement_target,linear_pca,emow2v_pc003,0.016665326796595985
individual_engagement,engagement_target,linear_pca,emow2v_pc004,0.014062375902683479
individual_engagement,engagement_target,linear_pca,emow2v_pc005,0.02003280894599371
individual_engagement,engagement_target,linear_pca,emow2v_pc006,-0.0023579824564022066
individual_engagement,engagement_target,linear_pca,emow2v_pc007,0.007170925183111152
individual_engagement,engagement_target,linear_pca,emow2v_pc008,0.01091763119203371
individual_engagement,engagement_target,linear_pca,emow2v_pc009,0.0060279266034130126
individual_engagement,engagement_target,linear_pca,emow2v_pc010,0.0038776900740280684
individual_engagement,engagement_target,linear_pca,emow2v_pc011,-0.005344550476336986
individual_engagement,engagement_target,linear_pca,emow2v_pc012,0.005044902560396482
individual_engagement,engagement_target,linear_pca,emow2v_pc013,0.010041004811845106
individual_engagement,engagement_target,linear_pca,emow2v_pc014,0.009343882737336042
individual_engagement,engagement_target,linear_pca,emow2v_pc015,-0.002940132466604829
individual_engagement,engagement_target,linear_pca,emow2v_pc016,0.004568676784918152
individual_engagement,engagement_target,linear_pca,emow2v_pc017,0.008946647836706657
individual_engagement,engagement_target,linear_pca,emow2v_pc018,-0.0024668825154568635
individual_engagement,engagement_target,linear_pca,emow2v_pc019,-0.008305735260451984
individual_engagement,engagement_target,linear_pca,emow2v_pc020,0.0010200964209894703
individual_engagement,engagement_target,linear_pca,emow2v_pc021,0.0020487134949217396
individual_engagement,engagement_target,linear_pca,emow2v_pc022,0.002725976782899941
individual_engagement,engagement_target,linear_pca,emow2v_pc023,0.004957386440169838
individual_engagement,engagement_target,linear_pca,emow2v_pc024,-0.006996642493241283
individual_engagement,engagement_target,linear_pca,emow2v_pc025,-0.00374037642729478
individual_engagement,engagement_target,linear_pca,emow2v_pc026,-0.0006318327583286032
individual_engagement,engagement_target,linear_pca,emow2v_pc027,0.0037655824663347178
individual_engagement,engagement_target,linear_pca,emow2v_pc028,-0.0017434573792983348
individual_engagement,engagement_target,linear_pca,emow2v_pc029,0.0019497009158442543
individual_engagement,engagement_target,linear_pca,emow2v_pc030,0.0024330814132416394
individual_engagement,engagement_target,linear_pca,emow2v_pc031,-0.0010787218358934928
individual_engagement,engagement_target,linear_pca,emow2v_pc032,0.00010868877403380817
individual_engagement,engagement_target,linear_pca,emow2v_pc033,0.0019714822107797835
individual_engagement,engagement_target,linear_pca,emow2v_pc034,-0.0017993007545085494
individual_engagement,engagement_target,linear_pca,emow2v_pc035,0.006112189543398138
individual_engagement,engagement_target,linear_pca,emow2v_pc036,0.0033957240068589623
individual_engagement,engagement_target,linear_pca,emow2v_pc037,0.005528296926931682
individual_engagement,engagement_target,linear_pca,emow2v_pc038,0.005857495333929828
individual_engagement,engagement_target,linear_pca,emow2v_pc039,-0.004135204101898288
individual_engagement,engagement_target,linear_pca,emow2v_pc040,-0.0030416334065869162
individual_engagement,engagement_target,linear_pca,emow2v_pc041,0.0020445869056397886
individual_engagement,engagement_target,linear_pca,emow2v_pc042,0.00184875056319115
individual_engagement,engagement_target,linear_pca,emow2v_pc043,0.000278881506388125
individual_engagement,engagement_target,linear_pca,emow2v_pc044,0.0010659977252533352
individual_engagement,engagement_target,linear_pca,emow2v_pc045,-0.0018818238000555586
individual_engagement,engagement_target,linear_pca,emow2v_pc046,0.0003346290374078624
individual_engagement,engagement_target,linear_pca,emow2v_pc047,0.00010774741831507042
individual_engagement,engagement_target,linear_pca,emow2v_pc048,-0.0038001403768752402
individual_engagement,engagement_target,linear_pca,emow2v_pc049,0.004889168860739466
individual_engagement,engagement_target,linear_pca,emow2v_pc050,-0.003634146956214081
individual_engagement,engagement_target,linear_pca,emow2v_pc051,0.0001977389200957497
individual_engagement,engagement_target,linear_pca,emow2v_pc052,0.0019054959975678882
individual_engagement,engagement_target,linear_pca,emow2v_pc053,-0.0016896910892967262
individual_engagement,engagement_target,linear_pca,emow2v_pc054,0.0012941685567299827
individual_engagement,engagement_target,linear_pca,emow2v_pc055,0.0008663452816367791
individual_engagement,engagement_target,linear_pca,emow2v_pc056,0.00034755357614047095
individual_engagement,engagement_target,linear_pca,emow2v_pc057,-0.0010391427316624436
individual_engagement,engagement_target,linear_pca,emow2v_pc058,-0.00439104632107202
individual_engagement,engagement_target,linear_pca,emow2v_pc059,-0.0006994223335863853
individual_engagement,engagement_target,linear_pca,emow2v_pc060,0.002850904247399107
individual_engagement,engagement_target,linear_pca,emow2v_pc061,-0.00022729593457692995
individual_engagement,engagement_target,linear_pca,emow2v_pc062,0.004568810888337354
individual_engagement,engagement_target,linear_pca,emow2v_pc063,-0.0019176311723246963
individual_engagement,engagement_target,linear_pca,emow2v_pc064,-0.0017564601527344378
individual_engagement,engagement_target,linear_pca,emow2v_pc065,-0.0004950859742720348
individual_engagement,engagement_target,linear_pca,emow2v_pc066,0.001152803263770283
individual_engagement,engagement_target,linear_pca,emow2v_pc067,0.001485748429806492
individual_engagement,engagement_target,linear_pca,emow2v_pc068,0.0031000304192838352
individual_engagement,engagement_target,linear_pca,emow2v_pc069,0.0026057727395784416
individual_engagement,engagement_target,linear_pca,emow2v_pc070,0.004707864120445495
individual_engagement,engagement_target,linear_pca,emow2v_pc071,0.002201817978254981
individual_engagement,engagement_target,linear_pca,emow2v_pc072,0.0035696490759693847
individual_engagement,engagement_target,linear_pca,emow2v_pc073,0.00396608817181817
individual_engagement,engagement_target,linear_pca,emow2v_pc074,-0.00036749798449026627
individual_engagement,engagement_target,linear_pca,emow2v_pc075,-0.004714566608207944
individual_engagement,engagement_target,linear_pca,emow2v_pc076,-0.0037559583697672452
individual_engagement,engagement_target,linear_pca,emow2v_pc077,-0.0009433733453385034
individual_engagement,engagement_target,linear_pca,emow2v_pc078,0.0022431671845681857
individual_engagement,engagement_target,linear_pca,emow2v_pc079,-0.0031001641920914646
individual_engagement,engagement_target,linear_pca,emow2v_pc080,-0.001590318922920781
individual_engagement,engagement_target,linear_pca,emow2v_pc081,0.000686163054100645
individual_engagement,engagement_target,linear_pca,emow2v_pc082,0.0024574374499127466
individual_engagement,engagement_target,linear_pca,emow2v_pc083,-0.0007110995588295268
individual_engagement,engagement_target,linear_pca,emow2v_pc084,0.0031360644126005623
individual_engagement,engagement_target,linear_pca,emow2v_pc085,-0.0008625983737243783
individual_engagement,engagement_target,linear_pca,emow2v_pc086,-0.0007140278430498923
individual_engagement,engagement_target,linear_pca,emow2v_pc087,0.0016998328995946692
individual_engagement,engagement_target,linear_pca,emow2v_pc088,0.0013698850877494249
individual_engagement,engagement_target,linear_pca,emow2v_pc089,0.005631463803453408
individual_engagement,engagement_target,linear_pca,emow2v_pc090,-0.002522052479042321
individual_engagement,engagement_target,linear_pca,emow2v_pc091,-0.0003129344951988359
individual_engagement,engagement_target,linear_pca,emow2v_pc092,0.0005977067058136067
individual_engagement,engagement_target,linear_pca,emow2v_pc093,0.0016069863385631729
individual_engagement,engagement_target,linear_pca,emow2v_pc094,7.251941642210086e-05
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc001,0.057754837999367696
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc002,-0.007869813399721311
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc003,0.015545129995042997
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc004,-0.001870175884865572
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc005,0.0028511774115237316
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc006,-0.011918264330569077
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc007,0.0027747458972989135
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc008,-0.004369214867168656
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc009,0.0002309369124740252
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc010,0.0015414309860670215
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc011,-0.002826974172383022
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc012,0.0011867280139516124
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc013,0.0014505843349156534
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc014,0.0017179217590779796
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc015,-0.002181294826712555
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc016,0.0033856409198278264
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc017,-0.00044423651461594364
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc018,0.00789270406446326
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc019,-0.0030344207770846474
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc020,0.0016875898440399317
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc021,0.0030110326575648895
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc022,0.0055323849959303265
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc023,0.0013331824693838493
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc024,0.0027726325862253882
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc025,-0.005927248950043073
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc026,-0.004348644838313658
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc027,-0.003221923088797474
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc028,-0.0018192488271860504
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc029,-8.779536412266173e-06
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc030,0.0006060159002544791
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc031,0.003133179847603965
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc032,0.0019469979950348696
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc033,4.063314240604838e-05
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc034,0.0007287571758828726
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc035,-0.002832676205658888
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc036,-0.002969303582063733
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc037,0.0009007719591825878
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc038,-0.006199582402304927
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc039,-0.0001430962974843829
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc040,-0.0037760455147672605
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc041,-0.0008445383189257059
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc042,0.00029842654190843053
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc043,0.0033272988632488294
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc044,-0.002453091423650097
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc045,0.001652792186596132
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc046,0.0075660486305901995
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc047,-7.749637354334844e-05
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc048,0.0030622057903282665
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc049,-0.0004792418810577699
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc050,0.0032686288119581734
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc051,0.003070091978069571
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc052,0.0006112792949029066
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc053,-0.0009484375501411215
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc054,0.00021574495511817493
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc055,-0.0029925277293724197
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc056,-0.0014975470328507056
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc057,-0.0028312917320889486
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc058,-0.002749737567489031
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc059,-0.002493126199783994
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc060,-0.0016998676545120711
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc061,0.0010985471635206702
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc062,0.0007595499869747054
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc063,0.0005745929949603675
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc064,0.0033154502585710567
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc065,-0.002966342247667364
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc066,-0.00015466472770986784
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc067,-0.007038291479830236
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc068,0.001589235789493315
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc069,0.00026276928134106003
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc070,0.00246639447387258
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc071,-0.002240728330801734
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc072,0.004556364613331848
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc073,-0.00023229546484267473
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc074,0.001019801841721776
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc075,0.0006799574168182822
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc076,-0.0016338492993179644
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc077,-0.000474334373316231
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc078,0.005242380577402338
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc079,0.00447027086469439
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc080,0.0022202676818989238
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc081,0.003857574139395427
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc082,-0.0007654371790688946
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc083,-0.00285961582287519
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc084,0.002949544146200735
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc085,-0.0023202747431900037
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc086,0.00022879824830347457
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc087,-0.005382690529933768
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc088,-0.0043412203126484685
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc089,0.0017308212255550991
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc090,-0.0012542066008000609
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc091,-0.002444028679031702
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc092,-0.0008215575786695049
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc093,-0.0017856453725547715
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc094,-0.0010948024577499508
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc095,0.003847272528939942
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc096,-0.0028492396818676252
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc097,-0.0012815069127773803
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc098,-0.00020114326032979836
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc099,0.0010806750942452456
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc100,-0.003044254966739059
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc101,0.006300795042537418
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc102,-0.00019702096117291457
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc103,0.0005470297420919485
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc104,-0.0029307003724608374
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc105,-0.0016895844973792904
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc106,-0.0014326255901222936
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc107,0.0032797229406780234
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc108,0.0037391297736382263
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc109,-0.00016157497516790427
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc110,-0.0007551813153505226
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc111,-0.0015152066663115618
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc112,0.0022322478982646794
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc113,0.0012890234073009309
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc114,-0.0006009768354070061
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc115,-0.00011958857822304449
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc116,-0.0009729497981753847
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc117,-0.001781986999431011
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc118,-0.0001629148163210132
individual_engagement,engagement_target,logistic_pca,sentiment_role,0.30365162850374017
individual_engagement,engagement_target,logistic_pca,speaking_role,0.11047493559496309
individual_engagement,engagement_target,logistic_pca,arousal,-0.031109417976226312
individual_engagement,engagement_target,logistic_pca,dominance,0.09300078071697923
individual_engagement,engagement_target,logistic_pca,valence,-0.28094850764645535
individual_engagement,engagement_target,logistic_pca,role_p_green,0.4264907740654834
individual_engagement,engagement_target,logistic_pca,role_p_red,0.12179028433268263
individual_engagement,engagement_target,logistic_pca,opensmile_pc001,-0.038744752121231636
individual_engagement,engagement_target,logistic_pca,opensmile_pc002,0.3014129496937698
individual_engagement,engagement_target,logistic_pca,opensmile_pc003,0.008538369525144989
individual_engagement,engagement_target,logistic_pca,opensmile_pc004,-0.06324894007733137
individual_engagement,engagement_target,logistic_pca,opensmile_pc005,0.04099514707445298
individual_engagement,engagement_target,logistic_pca,opensmile_pc006,0.08170283657579745
individual_engagement,engagement_target,logistic_pca,opensmile_pc007,-0.06915756221838966
individual_engagement,engagement_target,logistic_pca,opensmile_pc008,0.02041680758791109
individual_engagement,engagement_target,logistic_pca,opensmile_pc009,0.017423296902144496
