analysis,target,model,feature,coef
individual_engagement,engagement_target,linear,segment_duration_s,-0.02608749291165121
individual_engagement,engagement_target,linear,word_count,0.04103973136299925
individual_engagement,engagement_target,linear,avg_word_length,0.008647387457942933
individual_engagement,engagement_target,linear,words_per_second,-0.014430468481611902
individual_engagement,engagement_target,linear,question,-0.004947784262003846
individual_engagement,engagement_target,linear,statement,0.004947784262003846
individual_engagement,engagement_target,linear,sentiment_p_blue_mean,0.015625424072459815
individual_engagement,engagement_target,linear,sentiment_p_green_mean,-0.003916283163672929
individual_engagement,engagement_target,linear,sentiment_p_red_mean,-0.011170840469944123
individual_engagement,engagement_target,linear,arousal_mean,0.0003604809850769053
individual_engagement,engagement_target,linear,dominance_mean,0.006748255456558772
individual_engagement,engagement_target,linear,valence_mean,-0.001966617065980643
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean_mean,0.004538485510756529
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm_mean,0.0011845155496349874
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0_mean,0.002571696068181667
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0_mean,-0.01944940497420919
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0_mean,0.0016429515468643439
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2_mean,-0.010737329433607851
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope_mean,-0.010648889883326906
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope_mean,0.029086349919886692
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope_mean,0.007033706511727411
individual_engagement,engagement_target,linear,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope_mean,0.00461197641057437
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_amean_mean,0.00221177138864544
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_stddevNorm_mean,0.0064954129769880225
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_percentile20.0_mean,-0.0008545711905486239
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_percentile50.0_mean,0.0065091136582837855
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_percentile80.0_mean,0.004659677405544384
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_pctlrange0-2_mean,-0.01945279416124024
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_meanRisingSlope_mean,0.010184496624983323
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_stddevRisingSlope_mean,-0.0036245924605788054
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_meanFallingSlope_mean,0.0002239833143200809
individual_engagement,engagement_target,linear,opensmile_loudness_sma3_stddevFallingSlope_mean,-0.0009117626496530432
individual_engagement,engagement_target,linear,opensmile_spectralFlux_sma3_amean_mean,0.0001655917476243718
individual_engagement,engagement_target,linear,opensmile_spectralFlux_sma3_stddevNorm_mean,-0.005698024134597121
individual_engagement,engagement_target,linear,opensmile_mfcc1_sma3_amean_mean,0.001560133476593284
individual_engagement,engagement_target,linear,opensmile_mfcc1_sma3_stddevNorm_mean,-0.0038533453357205566
individual_engagement,engagement_target,linear,opensmile_mfcc2_sma3_amean_mean,-0.004504289683125457
individual_engagement,engagement_target,linear,opensmile_mfcc2_sma3_stddevNorm_mean,-0.00529017395898166
individual_engagement,engagement_target,linear,opensmile_mfcc3_sma3_amean_mean,0.00214694820708633
individual_engagement,engagement_target,linear,opensmile_mfcc3_sma3_stddevNorm_mean,0.005350060358114833
individual_engagement,engagement_target,linear,opensmile_mfcc4_sma3_amean_mean,-0.0002055604426974278
individual_engagement,engagement_target,linear,opensmile_mfcc4_sma3_stddevNorm_mean,0.0024857542688827977
individual_engagement,engagement_target,linear,opensmile_jitterLocal_sma3nz_amean_mean,-0.0029167016022790954
individual_engagement,engagement_target,linear,opensmile_jitterLocal_sma3nz_stddevNorm_mean,0.024108876722931237
individual_engagement,engagement_target,linear,opensmile_shimmerLocaldB_sma3nz_amean_mean,0.005564843310035622
individual_engagement,engagement_target,linear,opensmile_shimmerLocaldB_sma3nz_stddevNorm_mean,0.024628216922103097
individual_engagement,engagement_target,linear,opensmile_HNRdBACF_sma3nz_amean_mean,0.0022382900041292703
individual_engagement,engagement_target,linear,opensmile_HNRdBACF_sma3nz_stddevNorm_mean,0.00578509789973447
individual_engagement,engagement_target,linear,opensmile_logRelF0-H1-H2_sma3nz_amean_mean,-0.0029834395171972478
individual_engagement,engagement_target,linear,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm_mean,0.016619868908391996
individual_engagement,engagement_target,linear,opensmile_logRelF0-H1-A3_sma3nz_amean_mean,0.0010251168304207525
individual_engagement,engagement_target,linear,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm_mean,-0.019659205025834903
individual_engagement,engagement_target,linear,opensmile_F1frequency_sma3nz_amean_mean,-0.0032557316532428326
individual_engagement,engagement_target,linear,opensmile_F1frequency_sma3nz_stddevNorm_mean,-0.0025680836454212014
individual_engagement,engagement_target,linear,opensmile_F1bandwidth_sma3nz_amean_mean,0.007422459354893635
individual_engagement,engagement_target,linear,opensmile_F1bandwidth_sma3nz_stddevNorm_mean,0.001716328906060674
individual_engagement,engagement_target,linear,opensmile_F1amplitudeLogRelF0_sma3nz_amean_mean,0.000714333849897407
individual_engagement,engagement_target,linear,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm_mean,0.0036006930251124888
individual_engagement,engagement_target,linear,opensmile_F2frequency_sma3nz_amean_mean,-0.0037516316746734057
individual_engagement,engagement_target,linear,opensmile_F2frequency_sma3nz_stddevNorm_mean,-0.0026019186982148175
