analysis,target,model,feature,coef
individual_engagement,engagement_target,linear_pca,segment_duration_s,-0.03598614021440351
individual_engagement,engagement_target,linear_pca,word_count,0.05882111229286448
individual_engagement,engagement_target,linear_pca,avg_word_length,0.016844419567762232
individual_engagement,engagement_target,linear_pca,words_per_second,-0.007247922401353128
individual_engagement,engagement_target,linear_pca,question,-0.0017203020210986744
individual_engagement,engagement_target,linear_pca,statement,0.0017203020211000075
individual_engagement,engagement_target,linear_pca,sentiment_p_blue_mean,0.005094212922347022
individual_engagement,engagement_target,linear_pca,sentiment_p_green_mean,-0.012397556740761125
individual_engagement,engagement_target,linear_pca,sentiment_p_red_mean,0.012274992543540702
individual_engagement,engagement_target,linear_pca,arousal_mean,0.03994381627238768
individual_engagement,engagement_target,linear_pca,dominance_mean,-0.027117167388282168
individual_engagement,engagement_target,linear_pca,valence_mean,-0.014072183000121724
individual_engagement,engagement_target,linear_pca,role_p_green,0.028158469576010457
individual_engagement,engagement_target,linear_pca,role_p_red,0.0061145247186488
individual_engagement,engagement_target,linear_pca,opensmile_pc001,0.0036299968812133704
individual_engagement,engagement_target,linear_pca,opensmile_pc002,0.02353834232295992
individual_engagement,engagement_target,linear_pca,opensmile_pc003,0.01729349649199754
individual_engagement,engagement_target,linear_pca,opensmile_pc004,0.007696662924337524
individual_engagement,engagement_target,linear_pca,opensmile_pc005,0.0121246889476922
individual_engagement,engagement_target,linear_pca,opensmile_pc006,0.0037350205877505257
individual_engagement,engagement_target,linear_pca,opensmile_pc007,-0.0006787772371879203
individual_engagement,engagement_target,linear_pca,opensmile_pc008,0.0011687843556382172
individual_engagement,engagement_target,linear_pca,opensmile_pc009,-0.006095385363074014
individual_engagement,engagement_target,linear_pca,opensmile_pc010,0.004034894961437174
individual_engagement,engagement_target,linear_pca,opensmile_pc011,0.0015830046029539772
individual_engagement,engagement_target,linear_pca,opensmile_pc012,0.0010834200563402873
individual_engagement,engagement_target,linear_pca,opensmile_pc013,-0.00039110990407030554
individual_engagement,engagement_target,linear_pca,opensmile_pc014,-0.0023812277847633226
individual_engagement,engagement_target,linear_pca,opensmile_pc015,0.001089188762095262
individual_engagement,engagement_target,linear_pca,opensmile_pc016,0.00047414795910607463
individual_engagement,engagement_target,linear_pca,opensmile_pc017,0.0007995892676757577
individual_engagement,engagement_target,linear_pca,opensmile_pc018,-0.00048445615168947324
individual_engagement,engagement_target,linear_pca,opensmile_pc019,0.004395686665349403
individual_engagement,engagement_target,linear_pca,opensmile_pc020,-0.006054438203667124
individual_engagement,engagement_target,linear_pca,opensmile_pc021,-0.0035144785726687875
individual_engagement,engagement_target,linear_pca,opensmile_pc022,-0.0038587116073429636
individual_engagement,engagement_target,linear_pca,opensmile_pc023,0.005823587872044986
individual_engagement,engagement_target,linear_pca,opensmile_pc024,0.0006306693925332404
individual_engagement,engagement_target,linear_pca,opensmile_pc025,0.0005275455757825382
individual_engagement,engagement_target,linear_pca,opensmile_pc026,0.005976067152052552
individual_engagement,engagement_target,linear_pca,opensmile_pc027,0.005505832917570159
individual_engagement,engagement_target,linear_pca,opensmile_pc028,-0.003510125061669302
individual_engagement,engagement_target,linear_pca,opensmile_pc029,0.0026292182518589603
individual_engagement,engagement_target,linear_pca,opensmile_pc030,-0.004623337677025626
individual_engagement,engagement_target,linear_pca,opensmile_pc031,-0.0037576020138904145
individual_engagement,engagement_target,linear_pca,opensmile_pc032,0.003638540200669444
individual_engagement,engagement_target,linear_pca,opensmile_pc033,-0.008596736645986649
individual_engagement,engagement_target,linear_pca,opensmile_pc034,0.0007427895785735856
individual_engagement,engagement_target,linear_pca,opensmile_pc035,0.003875132078007678
individual_engagement,engagement_target,linear_pca,opensmile_pc036,0.0005862689270461724
individual_engagement,engagement_target,linear_pca,opensmile_pc037,0.0005209688714940142
individual_engagement,engagement_target,linear_pca,opensmile_pc038,0.006870487292257928
individual_engagement,engagement_target,linear_pca,opensmile_pc039,-0.0022288715579756313
individual_engagement,engagement_target,linear_pca,opensmile_pc040,-0.004202735176713944
individual_engagement,engagement_target,linear_pca,opensmile_pc041,-0.004503921014543731
individual_engagement,engagement_target,linear_pca,opensmile_pc042,-0.0012131146147424704
