analysis,target,model,feature,coef
individual_engagement,engagement_target,linear_pca,sentiment_role,0.001890077077160115
individual_engagement,engagement_target,linear_pca,speaking_role,0.07023335140542125
individual_engagement,engagement_target,linear_pca,arousal,0.03995879129931697
individual_engagement,engagement_target,linear_pca,dominance,-0.08371419493076927
individual_engagement,engagement_target,linear_pca,valence,-0.0040625480629072515
individual_engagement,engagement_target,linear_pca,role_p_green,0.03986243780043356
individual_engagement,engagement_target,linear_pca,role_p_red,0.027546511102863297
individual_engagement,engagement_target,logistic_pca,sentiment_role,0.07945319243487442
individual_engagement,engagement_target,logistic_pca,speaking_role,0.9392572456915145
individual_engagement,engagement_target,logistic_pca,arousal,0.4169343913217811
individual_engagement,engagement_target,logistic_pca,dominance,-1.0706057183420783
individual_engagement,engagement_target,logistic_pca,valence,-0.008031700471079149
individual_engagement,engagement_target,logistic_pca,role_p_green,0.6341399677536539
individual_engagement,engagement_target,logistic_pca,role_p_red,0.4728779004712578
group_task_engagement,task_engagement,linear_pca,sentiment_role,-0.01526536256909529
group_task_engagement,task_engagement,linear_pca,speaking_role,0.021110054025090412
group_task_engagement,task_engagement,linear_pca,arousal,-0.00801784821781793
group_task_engagement,task_engagement,linear_pca,dominance,-0.09286861413147049
group_task_engagement,task_engagement,linear_pca,valence,0.11063486486909185
group_task_engagement,task_engagement,linear_pca,role_p_green,-0.004206826617477872
group_task_engagement,task_engagement,linear_pca,role_p_red,-0.009080997963649057
group_task_engagement,task_engagement,logistic_pca,sentiment_role,0.11855950895294483
group_task_engagement,task_engagement,logistic_pca,speaking_role,0.2828395795036393
group_task_engagement,task_engagement,logistic_pca,arousal,0.5022036198817186
group_task_engagement,task_engagement,logistic_pca,dominance,-1.5058937668275212
group_task_engagement,task_engagement,logistic_pca,valence,0.7632591139642217
group_task_engagement,task_engagement,logistic_pca,role_p_green,-0.057411507319154266
group_task_engagement,task_engagement,logistic_pca,role_p_red,-0.10129197587502962
