analysis,target,model,feature,coef
individual_engagement,engagement_target,linear_pca,sentiment_role,-0.010543221258385818
individual_engagement,engagement_target,linear_pca,speaking_role,0.053471412708056124
individual_engagement,engagement_target,linear_pca,arousal,-0.004960507357484356
individual_engagement,engagement_target,linear_pca,dominance,-0.037642093459295194
individual_engagement,engagement_target,linear_pca,valence,0.007760387528084205
individual_engagement,engagement_target,linear_pca,role_p_green,0.0334248861878213
individual_engagement,engagement_target,linear_pca,role_p_red,0.01843958603717931
individual_engagement,engagement_target,linear_pca,opensmile_pc001,0.00804436301431889
individual_engagement,engagement_target,linear_pca,opensmile_pc002,0.01662449171287943
individual_engagement,engagement_target,linear_pca,opensmile_pc003,-0.004779041785164696
individual_engagement,engagement_target,linear_pca,opensmile_pc004,0.02198927480048359
individual_engagement,engagement_target,linear_pca,opensmile_pc005,0.0014192858170780638
individual_engagement,engagement_target,linear_pca,opensmile_pc006,0.014395576136882044
individual_engagement,engagement_target,linear_pca,opensmile_pc007,-0.0036239597090459473
individual_engagement,engagement_target,linear_pca,opensmile_pc008,0.019832692790460803
individual_engagement,engagement_target,linear_pca,opensmile_pc009,-0.002142129640952148
individual_engagement,engagement_target,linear_pca,opensmile_pc010,0.006875357760840129
individual_engagement,engagement_target,linear_pca,opensmile_pc011,0.011878728776270485
individual_engagement,engagement_target,linear_pca,opensmile_pc012,0.011370666551839714
individual_engagement,engagement_target,linear_pca,opensmile_pc013,-0.003959773124340929
individual_engagement,engagement_target,linear_pca,opensmile_pc014,-0.008728504480055767
individual_engagement,engagement_target,linear_pca,opensmile_pc015,0.006359889290319022
individual_engagement,engagement_target,linear_pca,opensmile_pc016,0.009862349403826246
individual_engagement,engagement_target,linear_pca,opensmile_pc017,-0.0057505278459278105
individual_engagement,engagement_target,linear_pca,opensmile_pc018,0.003122175714056388
individual_engagement,engagement_target,linear_pca,opensmile_pc019,-0.0036323947870398115
individual_engagement,engagement_target,linear_pca,opensmile_pc020,0.007122446119511726
individual_engagement,engagement_target,linear_pca,opensmile_pc021,0.008750616431144437
individual_engagement,engagement_target,linear_pca,opensmile_pc022,0.002476230620494244
individual_engagement,engagement_target,linear_pca,opensmile_pc023,0.0019049378878137739
individual_engagement,engagement_target,linear_pca,opensmile_pc024,0.006135910049597354
individual_engagement,engagement_target,linear_pca,opensmile_pc025,0.0013829184814683985
individual_engagement,engagement_target,linear_pca,opensmile_pc026,0.007842550809923668
individual_engagement,engagement_target,linear_pca,opensmile_pc027,-0.009779742270445969
individual_engagement,engagement_target,linear_pca,opensmile_pc028,-0.015631183093806275
individual_engagement,engagement_target,linear_pca,opensmile_pc029,0.0063532558646994365
individual_engagement,engagement_target,linear_pca,opensmile_pc030,-0.0016711077480973243
individual_engagement,engagement_target,linear_pca,opensmile_pc031,-0.01574192254964695
individual_engagement,engagement_target,linear_pca,opensmile_pc032,0.002626852089667849
individual_engagement,engagement_target,linear_pca,opensmile_pc033,-0.00286344851671642
individual_engagement,engagement_target,linear_pca,opensmile_pc034,-0.007955008062959358
individual_engagement,engagement_target,linear_pca,opensmile_pc035,-0.008654292164543938
individual_engagement,engagement_target,linear_pca,opensmile_pc036,0.0028347670294099473
individual_engagement,engagement_target,linear_pca,opensmile_pc037,-0.0037610512626668926
individual_engagement,engagement_target,linear_pca,opensmile_pc038,-0.0048479455926589915
individual_engagement,engagement_target,linear_pca,opensmile_pc039,-0.010197386656538803
individual_engagement,engagement_target,linear_pca,opensmile_pc040,0.0006839246218398753
individual_engagement,engagement_target,linear_pca,opensmile_pc041,0.0012718302958034332
individual_engagement,engagement_target,linear_pca,opensmile_pc042,-0.004975525606103454
individual_engagement,engagement_target,linear_pca,opensmile_pc043,-0.011158194023715852
individual_engagement,engagement_target,linear_pca,emow2v_pc001,0.012197027198188909
individual_engagement,engagement_target,linear_pca,emow2v_pc002,-0.020829523573147105
individual_engagement,engagement_target,linear_pca,emow2v_pc003,0.018839723960280608
individual_engagement,engagement_target,linear_pca,emow2v_pc004,0.0036606416041085918
individual_engagement,engagement_target,linear_pca,emow2v_pc005,0.023038604283524482
individual_engagement,engagement_target,linear_pca,emow2v_pc006,0.007578135781514118
individual_engagement,engagement_target,linear_pca,emow2v_pc007,-0.015568562690598156
individual_engagement,engagement_target,linear_pca,emow2v_pc008,0.01764587512946329
individual_engagement,engagement_target,linear_pca,emow2v_pc009,0.009361630489304325
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc001,0.00991163345888582
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc002,-0.002910874576832228
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc003,0.012665854418818701
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc004,0.013463485039132736
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc005,-0.00560225756758093
individual_engagement,engagement_target,linear_pca,sentiment_emb_pc006,0.015788542571101124
