from,to,name,conf
15880,16840,Okay.,0.56980383
49720,54160,"Ja auf jeden Fall. Ich glaube auch, man hat ja vor allem in der Berufsschule .",0.634324
54840,59720," immer sowas wie eine mündliche Abschlussprüfung oder irgendwelche praktischen Dinge, die man üben muss.",0.634324
60192,65757,"Und da kannst du ja dann auch sowas in VR machen, dass du ein bisschen Realität hast.",0.63352895
65797,69480,Also zum Beispiel bei meiner Ausbildung musste man ein Kundenberatungsgespräch führen.,0.61332965
69520,70441,Und wenn man das jetzt,0.6411961
71080,72320,üben würde,1.0
72760,73480,ähm,1.0
73960,81320," gut ist die Frage, wie viel kann man da falsch machen, aber für den Übungszweck ist es eigentlich ganz gut und vor allem bei ",0.64109427
81800,85440," natürlich Berufen, die dann noch mehr Verantwortung haben, macht es immer mehr Sinn, dass man sowas  ",1.0
86000,86440, ähm,1.0
87040,89320, in so einem virtuellen Raum theoretisch ,1.0
90320,91120, erprobt.,1.0
97760,98240,ja,1.0
110920,111400,ja,1.0
131120,131600,ja,1.0
138120,138440,ja,1.0
138800,142440,"man hat ja jetzt hier auch gemerkt, dass das mit dem Text ",0.63151246
143080,148280,"dann doch besser auf dem eigenen Tablet war, sich durchzulesen, als jetzt an der Leinwand.",1.0
149173,153280,"Und dass dann die interaktiven Sachen, dass man irgendwie an der Leinwand was zusammenstellen muss,",0.63873404
154076,157920, Das erinnert halt auch total an so einen klassischen Zoom-Unterricht oder,0.62293553
158400,159120, ähm,1.0
159720,163840,"  an digitale Lehre, wenn du da was machst, aber du hast eben trotzdem deinen Avatar mit dabei.",1.0
164800,167240,"Also da macht es auf jeden Fall Sinn. Und dann glaube ich, ist das auch..",0.61407256
167720,168320, wit also,1.0
169200,170800," unterhaltsam für die Schüler,",0.6396126
172000,179400," dass man nicht einfach vor seinem Bildschirm sitzt, sondern sich bewegen kann und auch die anderen sieht, wie sie sich bewegen",1.0
180560,181640,  und wahrnimmt.,1.0
202036,202440,"Ja, ",0.55635554
203200,203800,das stimmt.,1.0
208960,209360,mhhm,0.55635554
210818,211720,Und sonst?,0.5432123
215384,220000," Ja, ich glaube, vor allem in Berufsschulen lässt sich es halt richtig gut in den Unterricht einbinden,  weil wenn man  jetzt",0.6423302
221000,228080," mehr Richtung Handwerk geht oder alles, was irgendwie Praxis erfordert, da kann man das halt super umsetzen.",1.0
230640,236280," Und auch also auch wenn die Berufsschule an sich ja theoretisch ist, aber du könntest halt dann Aspekte aus der Praxis ",0.6214909
236840,243040," direkt üben, die du vielleicht bei dem Arbeitgeber dann umsetzen kannst oder die nicht deinen Arbeitgeber betreffen.",1.0
243120,244600,"Das gibt es ja auch,",0.6188261
245160,249520," dass du in einer Firma bist und dann nur einen kleinen Teil von dem, was du in der Schule lernst, anwendest.",1.0
250160,252680,Und dann kannst du die anderen Sachen auch praxisorientiert üben ,0.6261487
253320,255160,oder einfach besser Fallbeispiele machen.,1.0
260240,260720,ja,1.0
264400,264760,Was?,0.53982466
267840,268240,Ach so.,0.51600015
272240,272680,Hm.,0.55407816
292760,293040, ja,1.0
294160,294600,stimmt.,1.0
315560,315960,Ja.,0.59392226
316880,317440,das stimmt.,0.59392226
324000,324360,Nee.,0.46683726
351480,351960,mhh,1.0
359720,360280,mhh,1.0
425840,426240, Ja.,0.58415127
466920,467280,mhh,1.0
499040,500280, Also für die Lehrkraft.,0.60917675
500680,501240,jetzt,1.0
502320,502680,ja,1.0
503000,503480,also,1.0
503640,506120,"Wir hatten den Punkt mit der Anonymität,",0.62506205
507200,510840, ähm also dass man seinen eigenen Avatar erstellen kann.,1.0
510920,513280,Aber natürlich ist es dann auch wieder ähm ,0.645062
513640,519280,"der negative Aspekt, dass wahrscheinlich die Schüler oder auch die Lehrkraft ständig die Avatare ändern können.",1.0
519919,525240," Und es geht einfach natürlich viel schneller, sich zu verändern als in der Realität.",0.6334127
525579,531120,"Und dann ist halt dieser Persönlichkeitsaspekt ein bisschen verloren gegangen, weil man ",0.642687
531840,537880,"ähm sich die Leute nicht so gut einprägen kann, die Merkmale dann nicht mehr so gut identifizieren kann.",1.0
537963,539400,Und vor allem am Anfang oder wenn man,0.5954127
540604,552520," in Kursen ist, wo man sich nicht so oft sieht oder die Anwesenheit vielleicht auch nicht verpflichtend ist, dass man die Leute so kennenlernt, dann ist es schwierig, weil man muss als Lehrkraft vor allem ja auch die Schüler bewerten.",0.6244248
553312,559715,"Und da muss man sich ja erst mal daran erinnern, was hat der Schüler vor einem halben Jahr mal für einen guten Beitrag gebracht.",0.62953204
559755,564920,Aber wenn der Schüler da ganz anders ausgesehen hat oder vielleicht ähm,0.6107491
566147,573033," ja, eine Schülerin war und kein Schüler quasi, dann macht das für das Erinnerungsvermögen einfach schwierig.",0.6184825
573053,576520,Und man ist ja doch nicht in der Realität und hat nur so einen,0.631332
577160,586280," sehr abgespeckten, cleanen Raum, wo es auch keine anderen visuellen Dinge sind, an die man sich dann festhalten kann in der Erinnerung.",1.0
609040,609320,Ja.,0.54911363
613840,614240,mhh,0.5260964
619840,620240,mhh,0.5260964
642791,643031,Danke.,0.54820985
