score,conf
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
0.42101425,1.0
0.42101425,1.0
0.42101425,1.0
0.40277588,1.0
0.40277588,1.0
0.40277588,1.0
0.40277588,1.0
0.40277588,1.0
0.40642354,1.0
0.40642354,1.0
0.40642354,1.0
0.40642354,1.0
0.40642354,1.0
0.40642354,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40459973,1.0
0.40095204,1.0
0.40095204,1.0
0.40095204,1.0
0.40095204,1.0
0.40095204,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.39000902,1.0
0.37906602,1.0
0.37906602,1.0
0.37906602,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.36994684,1.0
0.368123,1.0
0.368123,1.0
0.368123,1.0
0.3535323,1.0
0.3535323,1.0
0.3535323,1.0
0.3535323,1.0
0.33894163,1.0
0.33894163,1.0
