score,conf
0.51363313,0.51363313
0.4594129,0.4594129
0.43590802,0.43590802
0.46627823,0.46627823
0.46497467,0.46497467
0.34856018,0.34856018
0.43883982,0.43883982
0.4285697,0.4285697
0.47036594,0.47036594
0.4648293,0.4648293
0.4060957,0.4060957
0.40906155,0.40906155
0.34534585,0.34534585
0.34732205,0.34732205
0.39739892,0.39739892
0.3917052,0.3917052
0.36178795,0.36178795
0.38960767,0.38960767
0.5125018,0.5125018
0.49249685,0.49249685
0.44608378,0.44608378
0.5015121,0.5015121
0.44914305,0.44914305
0.39298186,0.39298186
0.39266494,0.39266494
0.52220315,0.52220315
0.45120966,0.45120966
0.49872994,0.49872994
0.4634516,0.4634516
0.5180896,0.5180896
0.5055615,0.5055615
0.46035758,0.46035758
0.49537113,0.49537113
0.46307522,0.46307522
0.43234414,0.43234414
0.50567645,0.50567645
0.4061246,0.4061246
0.4035959,0.4035959
0.5410938,0.5410938
0.50291204,0.50291204
0.53349775,0.53349775
0.41656107,0.41656107
0.545258,0.545258
0.36298642,0.36298642
0.5064686,0.5064686
0.4089182,0.4089182
0.42689407,0.42689407
0.45993477,0.45993477
0.4644951,0.4644951
0.43024522,0.43024522
0.4131225,0.4131225
0.45316622,0.45316622
0.43460777,0.43460777
0.43553245,0.43553245
0.45676458,0.45676458
0.4291528,0.4291528
0.42072397,0.42072397
0.57206047,0.57206047
0.43823528,0.43823528
0.359472,0.359472
0.41867396,0.41867396
0.46688116,0.46688116
0.5249097,0.5249097
0.4996071,0.4996071
0.49420425,0.49420425
0.5218883,0.5218883
0.5100707,0.5100707
0.48686266,0.48686266
0.54691124,0.54691124
0.43686596,0.43686596
0.4105651,0.4105651
0.43355116,0.43355116
0.41895467,0.41895467
0.42508978,0.42508978
0.42975524,0.42975524
0.38472494,0.38472494
0.34674466,0.34674466
0.5300606,0.5300606
0.47142866,0.47142866
0.44604725,0.44604725
0.40799072,0.40799072
0.48339173,0.48339173
0.5154896,0.5154896
0.4126591,0.4126591
0.4226769,0.4226769
0.4023382,0.4023382
0.3642876,0.3642876
0.46951196,0.46951196
0.37066332,0.37066332
0.44359317,0.44359317
0.44433922,0.44433922
0.37333423,0.37333423
0.39529645,0.39529645
0.4897936,0.4897936
0.45846158,0.45846158
0.516292,0.516292
0.51297235,0.51297235
0.41220152,0.41220152
0.4196505,0.4196505
0.47147715,0.47147715
0.37152,0.37152
0.3726906,0.3726906
0.5820575,0.5820575
0.43507802,0.43507802
0.4163045,0.4163045
0.42383024,0.42383024
0.5096444,0.5096444
0.4473632,0.4473632
0.50370675,0.50370675
0.4803014,0.4803014
0.4902773,0.4902773
0.43508777,0.43508777
0.3854088,0.3854088
0.40046573,0.40046573
0.51725966,0.51725966
0.5302337,0.5302337
0.537618,0.537618
0.37059456,0.37059456
0.3527468,0.3527468
0.37410277,0.37410277
0.38835832,0.38835832
0.5374065,0.5374065
0.49949047,0.49949047
0.45695528,0.45695528
0.4867729,0.4867729
0.47026372,0.47026372
0.46093768,0.46093768
0.4635887,0.4635887
0.53165895,0.53165895
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.560959,0.560959
0.4373584,0.4373584
0.42512932,0.42512932
0.46053207,0.46053207
0.37058824,0.37058824
0.44807786,0.44807786
0.43539312,0.43539312
0.45562208,0.45562208
0.5118543,0.5118543
0.44694695,0.44694695
0.49731994,0.49731994
0.5184402,0.5184402
0.46231797,0.46231797
0.4778958,0.4778958
0.52778316,0.52778316
0.5290353,0.5290353
0.5015394,0.5015394
0.47189793,0.47189793
0.44361278,0.44361278
0.430758,0.430758
0.53353655,0.53353655
0.41604242,0.41604242
0.41572565,0.41572565
0.49295044,0.49295044
