from,to,name,conf
170040,170840,Geh mal in dein Tablet.,0.27124885
177040,178760,"Ja, ich hab Informatik und Biologie.",0.06091412
178920,180920,"Also, ich hab Mittel und Zweck.",0.20150486
182800,184000,Ich kann das überall einbauen.,0.4053662
184120,185800,"Mit Biologie is voll geil, bestimmt.",0.31742147
187040,189280,So irgendwie Tiere anschauen in der Wildbahn oder so.,0.29884845
190040,191680,"Biologie, Biologie.",0.31749645
204840,205680,Toll.,0.08
205720,206600,ehm,0.08
210680,214840," Keine Ahnung, in der Oberstufe muss man zum Beispiel das Tierverhalten oder sowas zeigen.",0.30930376
217000,221080,"Ja, genau, da könnte ich zum Beispiel irgendwelche Löwen oder so zeigen in der Wildbahn.",0.22619149
225800,227560,Was könnte man denn in den Sport zeigen?,0.17070943
241040,243480,Aber wann wirst du Sport an den Feuerbrillen anziehen?,0.07175564
243600,244880,Oder gibt es Sporttheorie?,0.20426376
246240,247520,Sporttheorie oder was?,0.117567696
247720,249880,Oder wann wirst du an den Feuerbrillen Sport machen?,0.15905178
272840,273760,Geschichte is nice.,0.15923363
286400,287200,"Musik, ja.",0.19442222
288320,289960,"Ja, die Epochen kann man anschauen, vielleicht.",0.22033249
298360,299680,"Geografie, Physik.",0.22948202
299840,300880,Die meisten Naturwissenschaften.,0.26791963
301200,302320,"Ja, genau.",0.057861906
308080,309320,"Nein, also wenig.",0.15277502
313920,315160,"Ne, nicht unbedingt.",0.31923574
315760,316160,Ja.,0.083
354760,355440,das wollte ich gerade machen?,0.15907063
358040,358440,Was?,0.083
372680,372880, Warte.,0.023
387760,388800,"ne komplett daneben, alter. was machst du?",0.0
391920,393000,Wir können von den gar nichts machen.,0.08910268
393360,394320,Wir können bei den gar nichts machen.,0.25301132
397080,397960,ne ne,0.007
399200,400240, Das sind deren Bildschirme.,0.113478765
424160,424720,Oder?,0.36
426720,427240,"Ja, ja.",0.0925689
435400,437440,"Ja, Schottland gegen Deutschland.",0.2660751
438520,439040,nö,0.0925689
440960,442440,Rumänien sitter i Würzburg.,0.16463028
445240,446280,Die sind auch bei uns.,0.43165073
447040,449320,Deswegen ist alles voll mit rumänsichen Flaggen.,0.3589871
528520,529960," Siehst du meine Pointer schon, ne?",0.0
