score,conf
0.44242945,0.44242945
0.44506875,0.44506875
0.41588548,0.41588548
0.42669412,0.42669412
0.459281,0.459281
0.512404,0.512404
0.49884173,0.49884173
0.4825992,0.4825992
0.47029757,0.47029757
0.49759844,0.49759844
0.4895513,0.4895513
0.46319205,0.46319205
0.44093883,0.44093883
0.4818328,0.4818328
0.48465332,0.48465332
0.52699804,0.52699804
0.5295711,0.5295711
0.48031294,0.48031294
0.4643273,0.4643273
0.493493,0.493493
0.4804431,0.4804431
0.51048875,0.51048875
0.4615352,0.4615352
0.4501103,0.4501103
0.4168221,0.4168221
0.4662217,0.4662217
0.48795244,0.48795244
0.50638103,0.50638103
0.5353884,0.5353884
0.51064515,0.51064515
0.4330886,0.4330886
0.45984218,0.45984218
0.4699935,0.4699935
0.46690166,0.46690166
0.46100092,0.46100092
0.49081126,0.49081126
0.47844967,0.47844967
0.504754,0.504754
0.49518958,0.49518958
0.48600367,0.48600367
0.48270348,0.48270348
0.51642984,0.51642984
0.5368147,0.5368147
0.48806766,0.48806766
0.5099266,0.5099266
0.45048735,0.45048735
0.48172316,0.48172316
0.4629043,0.4629043
0.39679974,0.39679974
0.484296,0.484296
0.5265435,0.5265435
0.47401127,0.47401127
0.5061111,0.5061111
0.42243588,0.42243588
0.45002827,0.45002827
0.48566294,0.48566294
0.5238701,0.5238701
0.45226923,0.45226923
0.5234839,0.5234839
0.47550905,0.47550905
0.49007887,0.49007887
0.4856183,0.4856183
0.4458538,0.4458538
0.5226524,0.5226524
0.51112926,0.51112926
0.46134448,0.46134448
0.4152183,0.4152183
0.3952203,0.3952203
0.46010742,0.46010742
0.47992343,0.47992343
0.47807655,0.47807655
0.44558582,0.44558582
0.5134889,0.5134889
0.4694933,0.4694933
0.56531966,0.56531966
0.5168103,0.5168103
0.5212734,0.5212734
0.4268115,0.4268115
0.4614708,0.4614708
0.4910702,0.4910702
0.5073177,0.5073177
0.52365303,0.52365303
0.5066944,0.5066944
0.47665703,0.47665703
0.55772656,0.55772656
0.52909803,0.52909803
0.52801585,0.52801585
0.47243813,0.47243813
0.5005295,0.5005295
0.4795312,0.4795312
0.57699686,0.57699686
0.49123245,0.49123245
0.477021,0.477021
0.4839833,0.4839833
0.49836653,0.49836653
0.4984183,0.4984183
0.48708367,0.48708367
0.53181225,0.53181225
0.47876462,0.47876462
0.4909204,0.4909204
0.5283704,0.5283704
0.57105714,0.57105714
0.498504,0.498504
0.42581037,0.42581037
0.4388259,0.4388259
0.45507818,0.45507818
0.4772218,0.4772218
0.5153582,0.5153582
0.49453077,0.49453077
0.44337448,0.44337448
0.51350254,0.51350254
0.47970352,0.47970352
0.52195436,0.52195436
0.4882842,0.4882842
0.48072913,0.48072913
0.52023417,0.52023417
0.49265346,0.49265346
0.50299424,0.50299424
0.45073515,0.45073515
0.5083816,0.5083816
0.46810704,0.46810704
0.44938648,0.44938648
0.5004955,0.5004955
0.49852523,0.49852523
0.49890736,0.49890736
0.51727974,0.51727974
0.44197282,0.44197282
0.5092429,0.5092429
0.49368155,0.49368155
0.5035523,0.5035523
0.48446926,0.48446926
0.4259326,0.4259326
0.51789194,0.51789194
0.5194243,0.5194243
0.54301965,0.54301965
0.5070749,0.5070749
0.4738627,0.4738627
0.52337813,0.52337813
0.5245272,0.5245272
0.4992982,0.4992982
0.4754197,0.4754197
0.48252508,0.48252508
0.44980997,0.44980997
0.4763046,0.4763046
0.5082555,0.5082555
0.5865713,0.5865713
0.55004466,0.55004466
0.49381092,0.49381092
0.4602473,0.4602473
0.4246094,0.4246094
0.4626901,0.4626901
0.44185552,0.44185552
0.4392929,0.4392929
0.51690066,0.51690066
0.48588336,0.48588336
0.47142294,0.47142294
0.47200125,0.47200125
0.4276276,0.4276276
0.5176563,0.5176563
0.5221934,0.5221934
0.49672312,0.49672312
0.4820688,0.4820688
0.50220865,0.50220865
0.47946155,0.47946155
0.5210823,0.5210823
0.5485449,0.5485449
0.4850619,0.4850619
0.4393591,0.4393591
0.48085827,0.48085827
0.46892345,0.46892345
0.53041035,0.53041035
0.51710135,0.51710135
0.4440822,0.4440822
0.4561985,0.4561985
0.45613232,0.45613232
0.42688274,0.42688274
