score,conf
0.4391716,0.4391716
0.5062476,0.5062476
0.49908075,0.49908075
0.4754928,0.4754928
0.48729143,0.48729143
0.45634937,0.45634937
0.42480013,0.42480013
0.48711538,0.48711538
0.46951488,0.46951488
0.54568416,0.54568416
0.4939805,0.4939805
0.5192779,0.5192779
0.52032256,0.52032256
0.47040653,0.47040653
0.44696736,0.44696736
0.45187965,0.45187965
0.47291034,0.47291034
0.4714735,0.4714735
0.547697,0.547697
0.51279664,0.51279664
0.5046325,0.5046325
0.5096943,0.5096943
0.45533648,0.45533648
0.47647074,0.47647074
0.50450635,0.50450635
0.47140083,0.47140083
0.46447968,0.46447968
0.45416766,0.45416766
0.44914356,0.44914356
0.4768956,0.4768956
0.5327423,0.5327423
0.3789409,0.3789409
0.45399135,0.45399135
0.49170965,0.49170965
0.5041409,0.5041409
0.49044308,0.49044308
0.46479017,0.46479017
0.5067785,0.5067785
0.47564557,0.47564557
0.50152695,0.50152695
0.4493036,0.4493036
0.45614067,0.45614067
0.4172096,0.4172096
0.4611749,0.4611749
0.47193617,0.47193617
0.49619687,0.49619687
0.45754573,0.45754573
0.4907178,0.4907178
0.53658086,0.53658086
0.48795664,0.48795664
0.48415592,0.48415592
0.45387983,0.45387983
0.5048944,0.5048944
0.45287833,0.45287833
0.5056728,0.5056728
0.50031644,0.50031644
0.51539433,0.51539433
0.48068887,0.48068887
0.58132565,0.58132565
0.4693316,0.4693316
0.5246529,0.5246529
0.45509875,0.45509875
0.47499982,0.47499982
0.47165322,0.47165322
0.43246937,0.43246937
0.48871997,0.48871997
0.46259612,0.46259612
0.49506888,0.49506888
0.5153923,0.5153923
0.5032365,0.5032365
0.48262826,0.48262826
0.42761627,0.42761627
0.47115517,0.47115517
0.4886306,0.4886306
0.51711094,0.51711094
0.49480814,0.49480814
0.49822545,0.49822545
0.50386095,0.50386095
0.5319319,0.5319319
0.49600124,0.49600124
0.48653522,0.48653522
0.46983203,0.46983203
0.44208565,0.44208565
0.47198907,0.47198907
0.4588497,0.4588497
0.5424711,0.5424711
0.49166414,0.49166414
0.4617411,0.4617411
0.41490594,0.41490594
0.47830534,0.47830534
0.4763222,0.4763222
0.5248356,0.5248356
0.543361,0.543361
0.5543039,0.5543039
0.5305794,0.5305794
0.5743242,0.5743242
0.5359954,0.5359954
0.46154812,0.46154812
0.5029591,0.5029591
0.49038342,0.49038342
0.4963594,0.4963594
0.46305785,0.46305785
0.46186188,0.46186188
0.41845745,0.41845745
0.40220922,0.40220922
0.44853595,0.44853595
0.45421502,0.45421502
