from,to,name,conf
74680,74800,ja,1.0
77800,83920," Ich frage mich halt auch, wie so eine Projektion von dem Raum, in dem wir eigentlich drin sind ",0.8451858
84880,85600,ehm,1.0
87320,89160,jetzt ehm,1.0
90360,95200,"für was für, für welche Unterrichtsinhalte mhh das jetzt gut sein kann.",1.0
98640,101320,"Ich glaube, es kommt halt ganz darauf an mhhh",0.7234773
102040,119360," auch so ein bisschen, ja wofür man mhh  jetzt  wirklich eben in diese virtuelle Realität mhh jetzt einbezieht, weil mhh",0.72432035
121320,124680," ja ne, mir geht es ja ähnlich wie dir.",0.50091416
125880,133840,"also man braucht halt auch irgendwie erstmal diese Gewöhnungszeit, um auch erstmal okay, so dass man sich erstmal ein bisschen zurechtfindet..",0.78001463
134640,135440,in dem Ganzen,1.0
138600,139280, Ich mache Gymnasium.,0.3475713
176400,176520,ja,1.0
185800,185920,mhh,1.0
207040,207360,Ja.,0.587
219680,219800,Ja.,0.528
222240,222760,"Ja, eben.",0.21424285
231520,257200,"JA voll.Du kannst eben nur eine gewisse Phase der Stunde für das Ganze aufbringen und dann hast du halt eben wieder diese ganzen logistischen Sachen oder Zeitsachen von wegen, okay, du musst es wieder abbauen, die Schüler müssen erstmal wieder irgendwie im anderen Unterrichtsgeschehen wieder ankommen, haben gerade so viel erlebt.",0.83110565
258480,259120,Also,0.278
259800,268280, Dieses Reflektieren und dieses Benutzen von alternativen Medienangeboten finde ich eigentlich voll gut.,0.90445447
269160,287320,"Die Frage ist halt, wie, weil ich habe halt, ich mache zum Beispiel Englisch und Geschichte und ich dachte immer, eigentlich, wenn du halt irgendwie in so einen alternativen Raum irgendwie dich begeben würdest, der vielleicht irgendwas für Geschichte zum Beispiel darstellen könnte,",0.81496954
288040,293120," In denen, wo du halt keinen Zugang mehr heute hast, könnte das eigentlich voll wertvoll sein.",0.8613103
294680,308880,"Aber dann habe ich mich halt gefragt, wie der Mehrwert des Ganzen ist jetzt verglichen zu einer Sache, die jetzt irgendwie zum Beispiel auf einem Smartboard wäre oder auf dem Fernseher oder so.",0.7799867
311840,323520," Also weil es ist halt erstmal dieser Effekt, den du halt hast, in einem alternativen Raum, in einem Raum zu stehen, in einem virtuellen, wo du halt theoretisch ganz viele Sachen machen kannst, die du halt in der Realität nicht machen kannst.",0.7241458
324400,333320," Aber der Mehrwert für den Unterricht, der ist mir halt nicht immer so klar direkt. so, ja genau",0.5994445
342200,342320, ja,1.0
382440,382800,Ja.,0.246
393920,394040,mhh,1.0
421000,423880, Ich glaube halt an sich..,1.0
424440,432160,"kann halt so ein positives Element sein, dass du halt so soziale Strukturen halt so ein bisschen brechen kannst.",0.7173358
432760,442560,"Und keine Ahnung, wenn wir das jetzt mal auf eine Klasse zum Beispiel übertragen, alle haben ja irgendwie eine gewisse Einstellung zu anderen.",0.83394265
442720,445800,Also jeder hat irgendwie innerhalb der Klasse so,0.9097861
446560,454200," sein, ja keine Ahnung, so eine individuelle Beziehung zu jetzt anderen Schülerinnen und Schülern.",0.84714496
455760,457640," Und ich weiß nicht, also ",0.7210278
459320,466280,"ich könnte mir vorstellen, dass irgendwie dieses ganze Social-VR-Ding, das so ein bisschen aufbricht und ",1.0
467880,477600,"weil du halt irgendwie, keine Ahnung, nur die Avatare siehst und es nochmal so ein anderes Umfeld ist irgendwie, in dem man sich dann findet.",1.0
483080,483960, War letzte Woche nicht da.,0.37404743
487160,487760,Aber... ,0.44462922
510280,511640," Ja, ich weiß ja nicht.",0.6098701
511760,514960,"Ich kann mir halt vorstellen, dass das mhh..",0.8088452
516880,523240," Ich weiß halt auch nicht, wie bereit SchülerInnen sind, an der Schule sich für sowas zu öffnen.",0.73213315
524200,534120,"Ich könnte mir vorstellen, dass das halt viele Leute, ähm, vielleicht im Privaten viel eher irgendwie ausprobieren würden.",0.6663962
544600,544720,ja,1.0
