from,to,name,conf
223000,231640," Ja, ist die Frage, es gibt ja auch noch andere Anwendungen, so irgendein Tablet oder sowas platzieren, würde ich vielleicht schon anwenden.",0.72120565
231720,237000,"So wie wir auch mal eine Anwendung gemacht haben, dass man mit so einem Tablet irgendwas platziert oder so.",0.3290208
237000,239080,Aber so VR-Brillen finde ich auch schwierig.,0.66496396
239360,250240,"Also ich habe Sonderpädagogik mit Verhaltensstörungen und gerade dann irgendwie im Autismus-Spektrum oder sowas, würde ich jetzt auch nicht unbedingt ausprobieren, wie die reagieren, wenn die so eine Brille aufhaben.",0.6751545
253520,254160,Wie war das?,0.3257512
259160,259680,Ja.,0.837
263760,265680,"Ne, also es ist bei uns auch voll.",0.40601325
267200,268120,Ja.,0.78798413
273120,273720,Ja.,0.69
282760,282880, ja,1.0
296600,307200,"Also wie gesagt, was ich schon machen würde, ist irgendwie so im Geometrieunterricht oder sowas, wenn man da um so Körper mit Tablet rumlaufen kann oder sowas, dass man die sich nochmal anschaut.",0.7967399
307200,311840,"Ich glaube, das wäre schon ganz cool, einfach um das nochmal zu veranschaulichen.",0.6156299
311880,313640,Aber VR-Brille finde ich schwierig.,0.61178064
334440,334880,Ja.,0.397
357160,358080,"Ja, das ist voll krass.",0.17955057
363040,368720,"Also ich glaube, man kann da schon echt coole Sachen mitmachen, aber halt hauptsächlich so mit Älteren.",0.6192327
370440,381360," Also jetzt zum Beispiel so, keine Ahnung, wirklich im Geschichtsunterricht, finde ich, da hat man ja unglaublich viele Möglichkeiten, irgendwie sich, keine Ahnung, eine alte Stadt oder sowas im VR anzugucken.",0.0
383920,385840," Ja, das würde ich...",1.0
389480,389600,jaa,1.0
424000,426720,"Doch, also ich glaube, da gibt es schon coole Sachen, aber...",0.6999617
429920,430560,ne nicht so,1.0
431720,432760,Ja.,0.958
433080,438720,"Und ich finde auch halt immer so, die Sache, es kostet halt extrem viel, das so zu machen.",0.7940552
438880,444120,"Und ich habe auch selber einfach nicht die Skills dazu, Kinder dazu anzuleiten, muss ich ganz ehrlich sagen.",0.7076485
453320,454000,Ja.,0.881
465480,466000,"Ja, ja",0.312
469200,479640," Also wie gesagt, es gibt bestimmt sehr coole Möglichkeiten, aber braucht halt die Zeit, das Equipment und die passende Lerngruppe.",0.74640167
539440,539880,joa,1.0
559480,562160,"Hat jetzt noch irgendjemand eine Idee, wie man es anwenden könnte.",0.42434037
582920,583040,mhh,1.0
591200,592360,"Ja, doch, glaube schon.",0.3662478
626760,628640," Ich glaube, wir sind fertig.",0.59360695
