score,conf
0.5237081,0.5237081
0.5745569,0.5745569
0.5446195,0.5446195
0.5309376,0.5309376
0.46794954,0.46794954
0.5365296,0.5365296
0.5827501,0.5827501
0.5864936,0.5864936
0.4868131,0.4868131
0.59252745,0.59252745
0.50222677,0.50222677
0.43337864,0.43337864
0.37638882,0.37638882
0.4685155,0.4685155
0.47546053,0.47546053
0.5870326,0.5870326
0.57648903,0.57648903
0.46727306,0.46727306
0.51871926,0.51871926
0.5122826,0.5122826
0.5205858,0.5205858
0.50150627,0.50150627
0.555888,0.555888
0.40946555,0.40946555
0.44141278,0.44141278
0.49439198,0.49439198
0.42274743,0.42274743
0.43502748,0.43502748
0.5745349,0.5745349
0.5368099,0.5368099
0.44306818,0.44306818
0.43942365,0.43942365
0.4250357,0.4250357
0.43990886,0.43990886
0.42205307,0.42205307
0.42081362,0.42081362
0.43151516,0.43151516
0.46943817,0.46943817
0.58240426,0.58240426
0.46401405,0.46401405
0.45175788,0.45175788
0.43221027,0.43221027
0.58571976,0.58571976
0.56728745,0.56728745
0.62150264,0.62150264
0.41908148,0.41908148
0.44183922,0.44183922
0.45920402,0.45920402
0.4464703,0.4464703
0.4557688,0.4557688
0.4911616,0.4911616
0.36865526,0.36865526
0.39343494,0.39343494
0.4333173,0.4333173
0.40501273,0.40501273
0.43330875,0.43330875
0.42410937,0.42410937
0.45348755,0.45348755
0.4752912,0.4752912
0.5084672,0.5084672
0.5525432,0.5525432
0.56192654,0.56192654
0.54250896,0.54250896
0.6096353,0.6096353
0.53051645,0.53051645
0.5714718,0.5714718
0.605332,0.605332
0.55694187,0.55694187
0.54141253,0.54141253
0.42347667,0.42347667
0.40542185,0.40542185
0.4603774,0.4603774
0.43639365,0.43639365
0.46274978,0.46274978
0.48652953,0.48652953
0.5418219,0.5418219
0.48263964,0.48263964
0.47951585,0.47951585
0.439327,0.439327
0.45318365,0.45318365
0.45589656,0.45589656
0.43511927,0.43511927
0.47405642,0.47405642
0.5137686,0.5137686
0.52834994,0.52834994
0.47585964,0.47585964
0.501826,0.501826
0.41476172,0.41476172
0.48386398,0.48386398
0.46454787,0.46454787
0.5516591,0.5516591
0.5708878,0.5708878
0.5755344,0.5755344
0.5417736,0.5417736
0.43937212,0.43937212
0.5155495,0.5155495
0.54444015,0.54444015
0.5693057,0.5693057
0.552541,0.552541
0.6366472,0.6366472
0.57609326,0.57609326
0.5325796,0.5325796
0.4006,0.4006
0.5403152,0.5403152
0.6065701,0.6065701
0.60492486,0.60492486
0.5774847,0.5774847
0.52558243,0.52558243
0.47020984,0.47020984
0.3726758,0.3726758
0.43747708,0.43747708
0.4461468,0.4461468
0.4190984,0.4190984
0.5602346,0.5602346
0.5699611,0.5699611
0.43441564,0.43441564
0.40768078,0.40768078
0.43118754,0.43118754
0.43303978,0.43303978
0.41315207,0.41315207
0.5622608,0.5622608
0.50022185,0.50022185
0.40721235,0.40721235
0.47311834,0.47311834
0.5238107,0.5238107
0.4684635,0.4684635
0.4758581,0.4758581
0.5270046,0.5270046
0.4950456,0.4950456
0.46395636,0.46395636
0.44471374,0.44471374
0.5698956,0.5698956
0.58817095,0.58817095
0.40436274,0.40436274
0.46651772,0.46651772
0.466092,0.466092
0.45471528,0.45471528
0.475002,0.475002
0.5126656,0.5126656
0.60548747,0.60548747
0.60429615,0.60429615
0.44016558,0.44016558
0.49840334,0.49840334
0.43062207,0.43062207
0.4615251,0.4615251
0.4663735,0.4663735
0.5976512,0.5976512
0.37235925,0.37235925
0.43632475,0.43632475
0.48099753,0.48099753
0.48446634,0.48446634
0.40632558,0.40632558
0.50545603,0.50545603
0.5433141,0.5433141
0.41399187,0.41399187
0.41506097,0.41506097
0.49421415,0.49421415
0.50831026,0.50831026
0.5641046,0.5641046
0.4267267,0.4267267
0.44715464,0.44715464
0.56643814,0.56643814
0.552632,0.552632
0.64158565,0.64158565
0.5745984,0.5745984
0.54364264,0.54364264
0.4341518,0.4341518
0.34801012,0.34801012
0.40692,0.40692
0.41150427,0.41150427
0.42613533,0.42613533
0.3968252,0.3968252
0.46078223,0.46078223
0.5868157,0.5868157
0.5485963,0.5485963
0.5637773,0.5637773
0.59702265,0.59702265
0.47309157,0.47309157
0.5718351,0.5718351
0.5795332,0.5795332
0.5087422,0.5087422
0.575166,0.575166
0.56947666,0.56947666
0.4728864,0.4728864
0.5740138,0.5740138
0.5030967,0.5030967
0.55278873,0.55278873
0.5798012,0.5798012
0.5434134,0.5434134
0.5838832,0.5838832
0.5527062,0.5527062
0.57031757,0.57031757
0.56733054,0.56733054
0.5802862,0.5802862
0.5752332,0.5752332
0.5127074,0.5127074
0.5473047,0.5473047
0.5356503,0.5356503
0.44808382,0.44808382
0.4444514,0.4444514
0.57620186,0.57620186
0.41806015,0.41806015
0.35423258,0.35423258
0.3923654,0.3923654
0.38093048,0.38093048
0.43481308,0.43481308
0.55871046,0.55871046
0.54940826,0.54940826
0.5306642,0.5306642
0.54533756,0.54533756
0.52010626,0.52010626
0.45983365,0.45983365
0.58205825,0.58205825
0.5739404,0.5739404
0.54788613,0.54788613
0.52782017,0.52782017
0.49124473,0.49124473
0.6126483,0.6126483
0.4956067,0.4956067
0.4474857,0.4474857
0.4973225,0.4973225
0.5008457,0.5008457
0.51793456,0.51793456
0.49753997,0.49753997
0.4802886,0.4802886
0.5052771,0.5052771
0.53532964,0.53532964
0.5226178,0.5226178
0.5242821,0.5242821
0.5562365,0.5562365
0.52762485,0.52762485
0.46937147,0.46937147
0.5082056,0.5082056
0.44534394,0.44534394
0.45342198,0.45342198
0.47299042,0.47299042
0.4770868,0.4770868
0.5871221,0.5871221
0.5570215,0.5570215
0.55337983,0.55337983
0.5654997,0.5654997
0.5241372,0.5241372
