score,conf
0.42189422,0.42189422
0.40727115,0.40727115
0.4966834,0.4966834
0.5316892,0.5316892
0.46234494,0.46234494
0.4738512,0.4738512
0.52971524,0.52971524
0.4040727,0.4040727
0.47765633,0.47765633
0.34821063,0.34821063
0.43045986,0.43045986
0.44349596,0.44349596
0.344595,0.344595
0.3758355,0.3758355
0.3791214,0.3791214
0.47542813,0.47542813
0.5746994,0.5746994
0.47129273,0.47129273
0.60424346,0.60424346
0.52420205,0.52420205
0.4651956,0.4651956
0.44641882,0.44641882
0.3980302,0.3980302
0.47499794,0.47499794
0.4650072,0.4650072
0.46515858,0.46515858
0.5338411,0.5338411
0.6083238,0.6083238
0.45006344,0.45006344
0.4813397,0.4813397
0.44755122,0.44755122
0.60742414,0.60742414
0.39676335,0.39676335
0.46058434,0.46058434
0.48351398,0.48351398
0.45169926,0.45169926
0.45724612,0.45724612
0.38982213,0.38982213
0.5113473,0.5113473
0.34921777,0.34921777
0.5616713,0.5616713
0.54752034,0.54752034
0.58984727,0.58984727
0.5038891,0.5038891
0.44857422,0.44857422
0.4274937,0.4274937
0.43955338,0.43955338
0.5670387,0.5670387
0.6072039,0.6072039
0.54475707,0.54475707
0.49287012,0.49287012
0.5650444,0.5650444
0.5112727,0.5112727
0.43704662,0.43704662
0.44942647,0.44942647
0.44652802,0.44652802
0.45349678,0.45349678
0.54368997,0.54368997
0.6022944,0.6022944
0.49460763,0.49460763
0.4700389,0.4700389
0.5040981,0.5040981
0.46299347,0.46299347
0.5184556,0.5184556
0.45178404,0.45178404
0.43332675,0.43332675
0.43286797,0.43286797
0.4204244,0.4204244
0.44703895,0.44703895
0.44131085,0.44131085
0.44850892,0.44850892
0.4145346,0.4145346
0.42468482,0.42468482
0.4373776,0.4373776
0.42901325,0.42901325
0.3828589,0.3828589
0.3952682,0.3952682
0.42205155,0.42205155
0.4837915,0.4837915
0.48918015,0.48918015
0.47995588,0.47995588
0.53494084,0.53494084
0.44819045,0.44819045
0.44691733,0.44691733
0.4749898,0.4749898
0.4272966,0.4272966
0.56903636,0.56903636
0.54483813,0.54483813
0.5489363,0.5489363
0.48981923,0.48981923
0.44048658,0.44048658
0.40194678,0.40194678
0.36441404,0.36441404
0.42574558,0.42574558
0.36959597,0.36959597
0.43072256,0.43072256
0.40249053,0.40249053
0.364009,0.364009
0.4227421,0.4227421
0.44549337,0.44549337
0.5271514,0.5271514
0.4786267,0.4786267
0.51115537,0.51115537
0.47501522,0.47501522
0.4749785,0.4749785
0.5411227,0.5411227
0.54979455,0.54979455
0.65926677,0.65926677
0.5458421,0.5458421
0.5003054,0.5003054
0.53697366,0.53697366
0.4640596,0.4640596
0.5168608,0.5168608
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.52778316,0.52778316
0.53131384,0.53131384
0.5146294,0.5146294
0.35392615,0.35392615
0.40753612,0.40753612
0.4817213,0.4817213
0.47250742,0.47250742
0.56641006,0.56641006
0.5136626,0.5136626
0.51550746,0.51550746
0.44747734,0.44747734
0.46253946,0.46253946
0.66109455,0.66109455
0.54045326,0.54045326
0.4400052,0.4400052
0.5302212,0.5302212
0.41904786,0.41904786
0.39301178,0.39301178
0.44061613,0.44061613
0.45405036,0.45405036
0.42109466,0.42109466
0.4145696,0.4145696
0.45168653,0.45168653
0.45438376,0.45438376
