from,to,name,conf
360,1600, Ihr seid beide,0.6704972
2040,4080," ihr seid beide dings gewesen, oder?",1.0
4960,6320,Oder habt ihr nicht beide dieselbe Schulform?,0.39879182
7880,9280,Ne? Was habt ihr nochmal für Schulformen?,0.33275
11880,13720,"Stimmt, dann haben wir beide dieselbe.",0.53413475
17120,17840,Sonderschule,1.0
24680,25920,"Ich muss sagen, also ne, ",0.5154687
26320,28560,  du hast ja auch bei Lehrplan Plus bei Grundschullehramt geguckt.,1.0
29440,30360,Ich habe fast nichts gefunden.,0.708268
30440,31920,Also entweder bin ich doof gewesen ,0.7673443
32759,34720,oder ich habe fast nichts dazu gefunden.,1.0
34840,36040,"Das heißt, da gibt es auf jeden Fall absolut ",0.82390124
36520,37400,Bedarf noch nach oben.,1.0
42360,42560,mhh,1.0
52000,52920,Wann hast du dein FSJ gemacht?,0.5332178
53080,53760,Wie lange ist das schon her?,0.641731
54760,55720,Wie lange ist dein FSJ schon her?,0.30759734
59360,59880,achso okay.,1.0
61840,64440,"Ich habe eins, also meine Wissenschaft in der Grundschule ist schon",0.6648189
64920,65760," vier Jahre jetzt bei mir, ",1.0
66560,68120,äh aber ,1.0
68440,71400,"da war es auch, ich würde sagen, fast noch schlimmer.",1.0
71960,72600,ehm,1.0
73760,77800," Ich hatte den Eindruck, da wurde auch überhaupt gar kein Wert drauf gelegt auf Medienerziehung.",0.7878179
78280,81000,"Den Kindern wurde einfach alles Mögliche erlaubt, auch von den Eltern her.",0.8787839
81840,83120,Mit Handynutzung und allem.,0.90207684
83440,87680,Die hatten Zugang zu allen möglichen Spielen schon ab 18 und sowas.,0.6939329
109320,111480," Ja, also ich muss wirklich sagen, das Erschreckendste waren halt",0.0
112000,119080,"  wirklich, ich glaube, das hatte hier eine gesagt, vorhin, dass die Eltern einfach das alles, also die Eltern sind eigentlich so das Schlimme, dass die das einfach machen lassen.",1.0
120600,123040," Und das war irgendwie früher, ich fand, bei uns war das irgendwie ganz anders.",0.53935754
123680,127160,Also in meiner Erziehung zumindest oder bei meinen Freunden auch und so.,0.78239506
128320,136160,"Uns wurde es jetzt nicht einfach so, dann, gut, es war vielleicht eine andere Zeit auch einfach, aber uns wurden nicht einfach die Geräte in die Hand gedrückt und so was und wir mussten, hatten dann Zugang zu allem und so.",0.6288502
137200,138840,Sondern auch mit beschränkter Zeit und allem.,0.8614518
139240,140720,"Und ich habe wirklich jetzt das Gefühl, die Kinder, ",0.65528005
142000,149400,"wirklich einfach, weil die die Eltern nerven oder so, keine Ahnung, dann hier nimmt die Geräte, spielt durch, dann geht der mir nicht auf den Sack, so in die Richtung.",1.0
150160,151720, So ist es mein Gefühl.,0.67624265
152600,152920,Weiß nicht,1.0
153840,154960,", das ist schon hart.",0.6636636
155040,159120,"Als ich dann gesehen habe, dass dann wirklich ein Erstklässler schon, ich weiß nicht, ob ihr Fortnite kennt oder GTA.",0.44428438
159560,161400,"Das sind halt so die typischen Spiele, die die Kinder spielen.",0.62527186
161880,166840,"GTA ist ja ab 18 und so, wo die sich gegenseitig erschießen und sowas.",0.67066973
168240,169280,Und das halt in der ersten Klasse.,0.5757034
169360,172400,"Hätte ich das damals in der sechsten äh in der ersten Klasse schon gespielt, als ich sechs war.",0.6019095
173760,174760,Das finde ich schon ein Ding.,0.5937633
179560,181360, Wie ist denn dein Eindruck bei der Sonderstunde?,0.4186474
195520,197520,"Du musst ein bisschen lauter reden, sorry, ich verstehe gerade irgendwie.",0.52365035
206920,207040,okay,1.0
214400,214560,okay,1.0
234400,234600,okay,1.0
