name,long_name,duration_recording,duration_interaction,group_formation,type
dyad_01,DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_TS,1163.282,607.000,F,dyad
dyad_02,DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS,661.563,494.000,F,dyad
dyad_03,DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS,730.781,723.000,F,dyad
dyad_04,DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS,730.951,660.000,F,dyad
dyad_05,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS,688.301,656.000,F,dyad
dyad_06,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS,688.276,545.000,F,dyad
dyad_07,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS,688.328,650.000,F,dyad
dyad_08,DYAD_2024_05_07_Seminar_Wue_Session_2_Group_1_TS,900.612,815.000,F,dyad
dyad_09,DYAD_2024_06_14_Seminar_Wue_Session_1_Group_2_TS,795.971,570.000,Line,dyad
dyad_10,DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS,583.840,405.000,F,dyad
dyad_11,DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2_TS,579.558,539.789,F,dyad
triad_01,TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS,967.079,741.000,F,triad
triad_02,TRIAD_2023_10_30_Seminar_Munich_No_VAD,699.878,451.728,F,triad
triad_03,TRIAD_2023_12_19_Seminar_Wue_Session_2_Group_1_TS,730.819,610.000,F,triad
triad_04,TRIAD_2023_12_19_Seminar_Wue_Session_3_Group_1_TS,1500,759.000,F,triad
triad_05,TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS,1500,640.000,F,triad
triad_06,TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS,1500,623.000,F,triad
triad_07,TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS,1500,435.000,Line,triad
triad_08,TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS,1500,380.000,F,triad
triad_09,TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS,1500,441.000,F,triad
triad_10,TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_TS,466.616,406.386,F,triad
triad_11,TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_TS,465.475,233.205,Line,triad
triad_14,TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1_TS,1149.5,584.549,Line,triad
triad_12,TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1_TS,541.952,454.925,Line,triad
triad_13,TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1_TS,662.705,615.542,F,triad
