                                                   names  durations
0    DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_TS    607.000
1    DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS    494.000
2       DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS    723.000
3       DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS    660.000
4       DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS    656.000
5       DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS    545.000
6       DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS    650.000
7       DYAD_2024_05_07_Seminar_Wue_Session_2_Group_1_TS    815.000
8       DYAD_2024_06_14_Seminar_Wue_Session_1_Group_2_TS    570.000
9       DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS    405.000
10      DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2_TS    539.789
11  TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS    741.000
12     TRIAD_2023_12_19_Seminar_Wue_Session_2_Group_1_TS    610.000
13     TRIAD_2023_12_19_Seminar_Wue_Session_3_Group_1_TS    759.000
14     TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS    640.000
15     TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS    623.000
16     TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS    435.000
17     TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS    380.000
18     TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS    441.000
19                TRIAD_2023_10_30_Seminar_Munich_No_VAD    451.728
20     TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_TS    233.205
21     TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_TS    406.386
22     TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1_TS    584.549
23     TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1_TS    454.925
24     TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1_TS    615.542
