name,long_name,duration_recording,duration_interaction,group_formation,type,offset_recording_interaction_start,freq_task_eng
dyad_02,DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS,661.563,494.0,F,dyad,125.596,90
dyad_03,DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS,730.781,723.0,F,dyad,7.05,90
dyad_04,DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS,730.951,660.0,F,dyad,16.115,90
dyad_05,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS,688.301,656.0,F,dyad,21.529,90
dyad_06,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS,688.276,545.0,F,dyad,141.695,90
dyad_07,DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS,688.328,650.0,F,dyad,31.639,90
dyad_10,DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS,583.84,405.0,F,dyad,177.376,60
dyad_11,DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2_TS,579.558,539.789,F,dyad,38.296,60
triad_01,TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS,967.079,741.0,F,triad,19.18,90
triad_02,TRIAD_2023_10_30_Seminar_Munich_No_VAD,699.878,451.728,F,triad,7.239,90
triad_05,TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS,900.542,640.0,F,triad,39.246,60
triad_06,TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS,900.49,623.0,F,triad,66.194,60
triad_07,TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS,693.0,435.0,Line,triad,185.249,60
triad_08,TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS,583.84,380.0,F,triad,182.431,60
triad_09,TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS,583.85,441.0,F,triad,142.425,60
triad_10,TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_TS,466.616,406.386,F,triad,30.335,60
triad_11,TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_TS,465.475,233.205,Line,triad,20.054,60
triad_14,TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1_TS,1149.5,584.549,Line,triad,55.342,60
triad_12,TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1_TS,541.952,454.925,Line,triad,55.548,60
triad_13,TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1_TS,662.705,615.542,F,triad,47.163,60
