Group_Name;Group_Name_Long;TS_Start_Interaction;TS_End_Interaction
dyad_02;DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS;2023-11-06 17:11:36.000;2023-11-06 17:19:50.000
dyad_03;DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS;2023-12-19 11:27:21.000;2023-12-19 11:39:24.000
dyad_04;DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS;2023-12-19 11:27:30.000;2023-12-19 11:38:30.000
dyad_05;DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS;2023-12-19 15:17:50.000;2023-12-19 15:28:46.000
dyad_06;DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS;2023-12-19 15:19:50.000;2023-12-19 15:28:55.000
dyad_07;DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS;2023-12-19 15:18:00.000;2023-12-19 15:28:50.000
dyad_10;DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS;2024-06-14 15:36:05.000;2024-06-14 15:42:50.000
dyad_11;DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2_TS;2024-11-04 17:06:11.026;2024-11-04 17:15:10.815
triad_01;TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS;2023-10-23 16:02:22.000;2023-10-23 16:14:43.000
triad_05;TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS;2024-05-07 13:16:50.000;2024-05-07 13:27:30.000
triad_06;TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS;2024-05-07 13:17:17.000;2024-05-07 13:27:40.000
triad_07;TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS;2024-06-14 13:31:05.000;2024-06-14 13:38:20.000
triad_08;TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS;2024-06-14 15:36:10.000;2024-06-14 15:42:30.000
triad_09;TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS;2024-06-14 15:35:30.000;2024-06-14 15:42:51.000
triad_02;TRIAD_2023_10_30_Seminar_Munich_No_VAD;2023-10-30 16:08:39.272;2023-10-30 16:16:11.000
triad_11;TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_TS;2024-05-07 11:36:41.619;2024-05-07 11:40:34.824
triad_10;TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_TS;2024-05-07 11:36:51.956;2024-05-07 11:43:38.342
triad_14;TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1_TS;2024-11-04 15:46:54.168;2024-11-04 15:56:38.717
triad_12;TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1_TS;2024-11-11 15:49:25.519;2024-11-11 15:57:00.444
triad_13;TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1_TS;2024-11-18 15:50:30.315;2024-11-18 16:00:45.857
