split,features,n,n_feat,acc,perm_p,best_model,p_ttest_maj
All,gaze_GxS,185,6,0.734,0.0066,QDA,0.0007
All,gaze_AIxVR,185,2,0.625,0.0299,NB,0.0686
All,llm,185,4,0.809,0.0033,SVM,0.0
All,audio,185,3,0.663,0.0033,LogReg,0.0193
All,GxS+llm,185,10,0.86,0.0033,SVM,0.0
All,AIxVR+llm,185,6,0.802,0.0033,LogReg,0.0
All,audio+llm,185,7,0.813,0.0033,NB,0.0
All,GxS+vad,185,9,0.746,0.0033,SVM,0.0005
All,AIxVR+vad,185,5,0.673,0.0033,QDA,0.0114
All,GxS+vad+llm,185,13,0.841,0.0033,SVM,0.0
All,AIxVR+vad+llm,185,9,0.808,0.0033,SVM,0.0
D,gaze_GxS,79,6,0.83,0.0831,SVM,0.0003
D,gaze_AIxVR,79,2,0.672,0.3621,LogReg,0.3034
D,llm,79,4,0.753,0.01,LogReg,0.0899
D,audio,79,3,0.603,0.206,QDA,0.9287
D,GxS+llm,79,10,0.869,0.0033,LogReg,0.0006
D,AIxVR+llm,79,6,0.727,0.0465,QDA,0.1897
D,audio+llm,79,7,0.733,0.0731,LogReg,0.1726
D,GxS+vad,79,9,0.81,0.0233,LogReg,0.0038
D,AIxVR+vad,79,5,0.625,0.01,LogReg,0.6653
D,GxS+vad+llm,79,13,0.83,0.0066,SVM,0.0043
D,AIxVR+vad+llm,79,9,0.766,0.0033,NB,0.0667
T,gaze_GxS,106,6,0.695,0.0033,NB,0.0903
T,gaze_AIxVR,106,1,0.581,0.0033,LogReg,0.5608
T,llm,106,4,0.836,0.0033,NB,0.0
T,audio,106,3,0.714,0.0033,QDA,0.0479
T,GxS+llm,106,10,0.826,0.0033,NB,0.0001
T,AIxVR+llm,106,5,0.838,0.0033,NB,0.0
T,audio+llm,106,7,0.864,0.0033,LogReg,0.0
T,GxS+vad,106,9,0.67,0.0033,NB,0.1412
T,AIxVR+vad,106,4,0.709,0.0033,NB,0.0459
T,GxS+vad+llm,106,13,0.847,0.0033,SVM,0.0
T,AIxVR+vad+llm,106,8,0.853,0.0033,QDA,0.0
