subset,n_groups,n_win,majority,detector,acc,perm_p,best_model,p_ttest_maj
60Hz,12,101,0.584,audio,0.656,0.01,QDA,0.332
60Hz,12,101,0.584,GxS,0.602,0.103,QDA,0.8043
60Hz,12,101,0.584,llm,0.806,0.0066,QDA,0.0009
60Hz,12,101,0.584,GxS+llm,0.796,0.0033,NB,0.0019
60Hz,12,101,0.584,audio+llm,0.841,0.0033,QDA,0.0002
90Hz,8,84,0.643,audio,0.704,0.0199,QDA,0.4652
90Hz,8,84,0.643,GxS,0.806,0.0066,SVM,0.0037
90Hz,8,84,0.643,llm,0.801,0.0033,LogReg,0.074
90Hz,8,84,0.643,GxS+llm,0.832,0.0033,SVM,0.0104
90Hz,8,84,0.643,audio+llm,0.811,0.0033,LogReg,0.0596
60Hz-T,10,85,0.565,audio,0.661,0.0033,QDA,0.2897
60Hz-T,10,85,0.565,GxS,0.669,0.0199,QDA,0.1713
60Hz-T,10,85,0.565,llm,0.818,0.0033,QDA,0.0002
60Hz-T,10,85,0.565,GxS+llm,0.821,0.0033,LogReg,0.0004
60Hz-T,10,85,0.565,audio+llm,0.84,0.0033,QDA,0.0001
90Hz-D,6,63,0.667,audio,0.578,0.2957,SVM,0.5235
90Hz-D,6,63,0.667,GxS,0.78,0.0332,LogReg,0.026
90Hz-D,6,63,0.667,llm,0.76,0.0199,LogReg,0.3672
90Hz-D,6,63,0.667,GxS+llm,0.774,0.0033,SVM,0.296
90Hz-D,6,63,0.667,audio+llm,0.728,0.1329,LogReg,0.4926
