Unnamed: 0,seconds_interaction_window,group_type,group_name,TE,MG,1d_DG,BPM,blink_durations,G_OnSpeaker,No_G_OnSpeaker,G_SI,No_G_SI,our_te,y,arousal,dominance,valence,sec,task_relevance,content_depth,reasoning_present,connecting_ideas,grp,rate,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,opensmile_loudness_sma3_amean,opensmile_loudness_sma3_stddevNorm,opensmile_loudness_sma3_percentile20.0,opensmile_loudness_sma3_percentile50.0,opensmile_loudness_sma3_percentile80.0,opensmile_loudness_sma3_pctlrange0-2,opensmile_loudness_sma3_meanRisingSlope,opensmile_loudness_sma3_stddevRisingSlope,opensmile_loudness_sma3_meanFallingSlope,opensmile_loudness_sma3_stddevFallingSlope,opensmile_spectralFlux_sma3_amean,opensmile_spectralFlux_sma3_stddevNorm,opensmile_mfcc1_sma3_amean,opensmile_mfcc1_sma3_stddevNorm,opensmile_mfcc2_sma3_amean,opensmile_mfcc2_sma3_stddevNorm,opensmile_mfcc3_sma3_amean,opensmile_mfcc3_sma3_stddevNorm,opensmile_mfcc4_sma3_amean,opensmile_mfcc4_sma3_stddevNorm,opensmile_jitterLocal_sma3nz_amean,opensmile_jitterLocal_sma3nz_stddevNorm,opensmile_shimmerLocaldB_sma3nz_amean,opensmile_shimmerLocaldB_sma3nz_stddevNorm,opensmile_HNRdBACF_sma3nz_amean,opensmile_HNRdBACF_sma3nz_stddevNorm,opensmile_logRelF0-H1-H2_sma3nz_amean,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,opensmile_logRelF0-H1-A3_sma3nz_amean,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1amplitudeLogRelF0_sma3nz_amean,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2amplitudeLogRelF0_sma3nz_amean,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3amplitudeLogRelF0_sma3nz_amean,opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_alphaRatioV_sma3nz_amean,opensmile_alphaRatioV_sma3nz_stddevNorm,opensmile_hammarbergIndexV_sma3nz_amean,opensmile_hammarbergIndexV_sma3nz_stddevNorm,opensmile_slopeV0-500_sma3nz_amean,opensmile_slopeV0-500_sma3nz_stddevNorm,opensmile_slopeV500-1500_sma3nz_amean,opensmile_slopeV500-1500_sma3nz_stddevNorm,opensmile_spectralFluxV_sma3nz_amean,opensmile_spectralFluxV_sma3nz_stddevNorm,opensmile_mfcc1V_sma3nz_amean,opensmile_mfcc1V_sma3nz_stddevNorm,opensmile_mfcc2V_sma3nz_amean,opensmile_mfcc2V_sma3nz_stddevNorm,opensmile_mfcc3V_sma3nz_amean,opensmile_mfcc3V_sma3nz_stddevNorm,opensmile_mfcc4V_sma3nz_amean,opensmile_mfcc4V_sma3nz_stddevNorm,opensmile_alphaRatioUV_sma3nz_amean,opensmile_hammarbergIndexUV_sma3nz_amean,opensmile_slopeUV0-500_sma3nz_amean,opensmile_slopeUV500-1500_sma3nz_amean,opensmile_spectralFluxUV_sma3nz_amean,opensmile_loudnessPeaksPerSec,opensmile_VoicedSegmentsPerSec,opensmile_MeanVoicedSegmentLengthSec,opensmile_StddevVoicedSegmentLengthSec,opensmile_MeanUnvoicedSegmentLength,opensmile_StddevUnvoicedSegmentLength,opensmile_equivalentSoundLevel_dBp,segment_count,word_count,words_per_second,avg_word_length,question_rate,speaking_seconds,mean_segment_duration_s,question_ratio,speech_ratio,unfinished_ratio
0,0.0,dyad,dyad_02,0.6428369568985185,0.0,0.2489953862181872,10.0,222.8131313131313,0.0,0.8284142988084326,0.0670944087992667,0.0837763519706691,0.4986761368816111,0,0.49366749344,0.47758535584,0.4372354835333333,0.0,0.8,0.3,0.2,0.1,D,90Hz,26.149458,0.018532295,25.609562,26.160156,26.731724,1.1221596,26.533052,1.3475369,6.251301,3.7669582,0.39835432,0.6281097,0.1839718,0.34957805,0.6137914,0.42981958,5.414997,1.2885826,1.9371742,1.7546719,0.1958013,0.8523636,23.673615,0.18165238,3.5107625,0.8981491,5.07775,0.8505608,-2.366896,-0.55308336,0.018207401,0.4154314,1.053502,0.38587287,5.962778,0.27687788,5.6256704,-0.19960837,21.252975,0.16878131,496.61566,0.19272469,1051.3416,0.08476144,-115.6613,-0.6703925,1289.7888,0.084610984,837.72516,0.13707049,-117.187935,-0.5655949,2096.746,0.05783965,783.31476,0.16608849,-120.83431,-0.470559,-12.19367,-0.2847909,20.881966,0.031086162,0.03617606,0.365215,-0.011446667,-0.62428874,0.24885331,0.37765738,26.633093,0.17902525,2.1810427,0.47733533,6.050323,0.8578487,-4.303153,-1.4574348,-6.5388427,14.895676,0.047891725,0.012131955,0.094221495,4.079013,4.2338667,0.08221111,0.0028760172,0.096366666,0.0018361382,-38.878662,10.0,139.0,2.316666666666667,4.971223021582734,0.0,51.88,5.188,0.0,0.8646666666666667,0.1
1,60.0,dyad,dyad_02,0.3650428936862963,0.0,0.1402402402402402,38.0,221.7247386759581,0.0,0.4949587534372135,0.1090742438130155,0.3880843263061411,0.2724658119688888,0,0.4786361607066666,0.4795544894999999,0.41365197528,60.0,0.85,0.7,0.75,0.8,D,90Hz,19.171041,0.023662547,18.52055,19.194582,19.862831,1.3422812,21.10266,2.0420265,7.6759896,2.0760157,0.2406003,0.5623909,0.12210871,0.21870796,0.3589945,0.2368858,3.3306866,1.0431558,1.5695199,1.184466,0.18684615,0.73755234,19.120466,0.8591285,11.165514,0.867473,9.721367,1.5554805,2.5005634,-0.5374272,0.016517064,0.32966277,1.0933723,0.30759543,4.5212297,0.43645453,5.685461,0.1277584,20.722723,0.10985357,396.80484,0.15501662,849.1704,0.06774566,-132.75938,-0.53383815,1044.7362,0.061168488,695.8911,0.10718915,-137.53217,-0.3878544,1708.61,0.03975208,615.04224,0.134499,-139.90704,-0.33360982,-14.1575365,-0.104425006,20.899252,0.108815,0.018687634,0.5480236,-0.00599795,-0.2710056,0.23183382,0.27576393,21.549068,0.11434107,8.776653,0.795191,10.336667,0.22238031,1.2687223,-0.25527975,-9.367805,16.17183,0.05241945,0.026418054,0.1094036,3.6296303,3.502851,0.063945554,0.0025767207,0.11762555,0.0017194281,-55.670803,8.0,115.0,1.9166666666666667,5.321739130434783,0.0,30.4,3.8,0.0,0.5066666666666667,0.125
2,120.0,dyad,dyad_02,0.4728077392348148,0.0,0.061144578313253,53.5,250.3535067873303,0.0,0.6067106710671067,0.0185185185185185,0.3734873487348735,0.4078707711227499,0,0.4964909470533333,0.4946591236866667,0.42336008248,120.0,0.85,0.7,0.75,0.7,D,90Hz,17.79997,0.014111143,17.437906,17.832718,18.194801,0.7568968,18.409124,1.583211,3.2051492,2.6370935,0.3097149,0.4923173,0.15125303,0.2802116,0.46763793,0.31638488,3.7920287,1.1595432,2.173983,1.4361466,0.19627081,0.6599173,16.897491,0.6196687,7.116799,0.21222526,8.242792,-0.16557291,1.3223433,-0.3058105,0.014069206,0.31508526,0.82261974,0.2931656,4.3071723,0.12390857,4.9770966,0.43709692,17.10198,0.034810584,339.99518,0.14132495,759.6193,0.058527313,-137.04546,-0.4415614,921.11584,0.05717623,611.6638,0.092296876,-140.14465,-0.38924924,1511.3057,0.036554907,557.2377,0.12441418,-142.61572,-0.32834512,-10.738298,-0.17044781,16.689024,0.11069044,0.017477663,-0.018208822,-0.006737432,-0.27020198,0.2456353,0.2505698,19.026917,0.121696696,5.02953,-0.7301369,8.109646,0.17575045,-0.29977474,-0.66789806,-7.0514402,12.636159,0.05472771,0.030121796,0.11153754,3.2592597,3.1611218,0.060147777,0.0027218978,0.12625001,0.0012633333,-58.1185,9.0,141.0,2.35,5.035460992907802,0.0,36.201,4.022333333333333,0.0,0.60335,0.1111111111111111
3,180.0,dyad,dyad_02,0.5964963300331482,0.0,0.2103772178321157,21.5,236.42105263157896,0.0,0.6958753437213565,0.0549954170485792,0.2491292392300641,0.4473522554120279,0,0.4951475050266666,0.49351340614,0.41694688196,180.0,0.9,0.7,0.75,0.8,D,90Hz,17.979435,0.012091166,17.647984,17.99138,18.339283,0.6912993,15.861859,1.5796278,1.9797598,2.296844,0.266032,0.5026613,0.12596881,0.23820132,0.40884066,0.2828718,3.6766589,0.8602939,1.8883915,1.3962822,0.16416907,0.68345785,16.361635,9.996448,5.964387,0.019329306,6.8003488,2.1257558,1.4583049,0.43785483,0.01286721,0.30381277,0.88631916,0.28368583,4.372598,0.14594819,5.0941014,0.69696933,16.882597,0.06522508,346.96786,0.13887379,764.7657,0.0613986,-139.52184,-0.5578626,925.1018,0.05856787,611.4746,0.091513254,-142.56123,-0.37364712,1515.0193,0.037747465,545.85065,0.11399467,-144.88011,-0.30857244,-10.908487,-0.16450684,17.175486,0.09458854,0.018695252,0.22579232,-0.0057500093,-3.3447077,0.20839533,0.24657817,19.181583,0.11587229,5.351156,-1.0073029,7.5379467,3.153158,0.05808716,5.915133,-5.99694,12.253464,0.058371652,0.03389669,0.07998356,3.0543215,3.0450892,0.058092214,0.0025096186,0.12809666,0.0018059547,-61.70049,12.0,108.0,1.8,5.166666666666667,0.0,41.36,3.4466666666666668,0.0,0.6893333333333334,0.0
4,240.0,dyad,dyad_02,0.0424200849129629,0.0,0.0686920083807243,35.0,232.1045751633987,0.0,0.3017968463513018,0.0454712137880454,0.6527319398606527,0.2099022212443889,0,0.47779179984,0.4648351533733333,0.4140181861533333,240.0,0.85,0.5,0.6,0.5,D,90Hz,28.033234,0.020202482,27.418005,28.021214,28.706089,1.288083,23.148119,2.0171757,10.100041,2.3920193,0.22805297,0.5914082,0.109242216,0.1949009,0.35066444,0.24142224,2.8758562,0.77539814,1.4479023,0.94586873,0.10510883,0.7652483,24.080015,0.43315834,7.482155,0.98608536,2.143579,0.1448381,-3.112336,-1.927153,0.020978563,0.4200885,1.1977699,0.33352408,6.298719,0.28226385,6.374448,-0.9104498,23.239107,0.26982725,560.3753,0.16949001,1107.1251,0.091065735,-113.28971,-0.6920643,1385.2495,0.073490374,887.58344,0.14619724,-116.15773,-0.5458835,2250.4502,0.04983512,789.8497,0.16355167,-120.55498,-0.447111,-14.559682,-0.25223497,25.208735,0.15516353,0.044724613,0.20526837,-0.0069816792,-7.0559587,0.13350795,0.34782892,27.60782,0.149692,4.0690227,-1.056637,2.3321853,0.37844032,-4.667116,-0.29145098,-9.463271,18.075325,0.05314269,0.014547289,0.04245592,3.881482,4.4353886,0.083748884,0.0032385164,0.09078888,0.002119166,-49.027824,4.0,44.0,0.7333333333333333,4.568181818181818,0.0,18.0,4.5,0.0,0.3,0.0
5,300.0,dyad,dyad_02,0.6775667611111111,0.0,0.1181736794986571,21.5,242.42980295566505,0.0,0.923373052245646,0.0027497708524289,0.0738771769019248,0.6217239720983333,1,0.4924785475866667,0.47940950188,0.4315713415266667,300.0,0.95,0.8,0.85,0.85,D,90Hz,22.30099,0.01416371,21.918732,22.318592,22.695755,0.7770256,15.087877,1.6720043,4.4430904,1.9643592,0.35764718,0.60091496,0.16472946,0.3135642,0.5505359,0.38580647,5.1166215,1.2870674,2.500338,1.8898838,0.18671045,0.8083252,22.398312,0.6076321,4.6635213,1.4822441,6.146509,-1.4761274,-0.33004212,3.2117324,0.01528593,0.3702111,0.96360004,0.34156877,4.979741,0.2059793,4.74894,0.16309163,20.729387,0.115243874,403.43793,0.18610922,956.07306,0.07434925,-123.845955,-0.72264177,1114.7465,0.0772376,754.1508,0.1196217,-127.15941,-0.5153047,1850.6992,0.051211506,706.8748,0.14930747,-130.84233,-0.42296687,-11.343012,-0.24353218,19.727648,0.14532572,0.02862562,0.30046427,-0.010550483,-0.47678646,0.2505187,0.31505013,25.819162,0.13311721,2.0363295,-1.514472,5.9794974,-8.16491,-2.3848197,10.191745,-6.9227843,14.602799,0.046815563,0.015423521,0.08050922,4.088889,3.795086,0.07209555,0.0029286654,0.10931667,0.0020966667,-43.573616,9.0,175.0,2.9166666666666665,5.0,0.0,55.12,6.124444444444444,0.0,0.9186666666666666,0.0
6,360.0,dyad,dyad_02,0.6320253237305555,0.0,0.3405895691609977,35.5,261.36367249602546,0.0,0.5850751741840851,0.2354235423542354,0.1787678767876787,0.4552963914227222,0,0.48094736252,0.4775169879733334,0.4121709073399999,360.0,0.9,0.75,0.8,0.75,D,90Hz,18.865063,0.019662187,18.312386,18.90627,19.411533,1.0991483,19.545565,1.9927768,6.217798,2.7655706,0.2548002,0.56712973,0.11914331,0.23449096,0.3873848,0.2682415,3.2854376,0.89258254,1.6681081,1.2334087,0.19530265,0.76095486,19.704891,0.40668583,9.408757,-0.57429856,6.941959,1.008811,3.2027647,-0.71951586,0.01750391,0.33755466,1.0152946,0.31638843,4.417462,0.1354286,5.4507294,0.5352493,20.45684,0.10890613,379.10776,0.15429252,848.10736,0.06611837,-132.8935,-0.5502631,1017.6599,0.062283713,695.29175,0.0990275,-137.70163,-0.40650615,1676.8325,0.038533535,626.4779,0.12504928,-140.67223,-0.3348396,-13.679466,-0.14942397,21.154156,0.09570738,0.017524853,-0.41053283,-0.006191234,-0.5767557,0.23838255,0.2593295,22.090897,0.108350664,7.829626,0.4804077,7.653114,0.0712929,1.9012737,0.23553368,-8.829191,16.54823,0.05071508,0.025364034,0.115865834,3.6172845,3.457227,0.06244111,0.0031085922,0.11868333,0.001907553,-54.377064,9.0,112.0,1.8666666666666667,5.026785714285714,0.0,34.883,3.875888888888889,0.0,0.5813833333333334,0.1111111111111111
7,420.0,dyad,dyad_02,0.0741452492911111,0.0,0.2252988349220759,24.5,247.6780701754386,0.0,0.5085242896425298,0.1360219981668194,0.3536205316223648,0.4231071428659445,0,0.4718183416466666,0.4681644939133333,0.4120303455466667,420.0,0.9,0.85,0.8,0.9,D,90Hz,22.26774,0.023418376,21.627802,22.316856,22.944328,1.3165228,22.826635,2.2325277,8.647913,3.01914,0.24201386,0.6409315,0.11745185,0.21892664,0.36767346,0.2502216,3.367293,0.95216596,1.5901898,1.1797417,0.19364396,0.841547,22.808685,0.41184026,11.721599,0.32130787,7.2332206,0.54069346,1.6974045,2.1748617,0.02054036,0.35492888,1.2180692,0.34964338,5.1966844,0.17895067,5.2430673,0.7331064,24.064636,0.27188626,470.6434,0.16698316,974.97565,0.07346503,-125.76129,11.207656,1213.9451,0.06757748,814.56726,0.11255113,-130.98592,-0.4252736,1991.583,0.043281864,730.4395,0.13520984,-134.47351,-0.36332303,-16.64371,-0.20741312,25.4711,0.11105497,0.023020536,-3.4185677,-0.007495977,-0.42369536,0.24627414,0.29116157,25.685156,0.12957695,10.475444,-0.066315934,8.47221,-0.4295127,0.76416457,-4.399364,-10.318335,18.586092,0.04779198,0.021616297,0.1179349,3.9135807,3.743238,0.07278111,0.0025612558,0.10807666,0.0020887766,-49.048073,14.0,107.0,1.7833333333333334,4.878504672897196,0.0,30.236000000000004,2.159714285714286,0.0,0.5039333333333333,0.14285714285714285
8,480.0,dyad,dyad_02,0.2041755428231562,0.0,0.2220828105395232,25.0,252.6875,0.0,0.1029874213836478,0.2224842767295597,0.6745283018867925,0.3238157197414395,0,0.5127367431222384,0.5219445388954346,0.3974369197349042,480.0,0.0,0.0,0.0,0.0,D,90Hz,9.721261,0.015543192,9.219631,9.739196,10.225734,1.0061029,18.471552,1.9922374,8.594477,1.9874066,0.08168581,0.26099104,0.037312556,0.07002667,0.124551676,0.08723912,1.386898,0.38988772,0.5657699,0.4821195,0.06883477,0.36987564,6.7523255,0.123953134,3.1085172,0.31705138,1.929362,0.27846327,-0.5307324,-0.20650351,0.009870999,0.1382425,0.5301361,0.11399647,2.0548303,0.09250025,2.8808546,-0.046700876,7.907847,0.12338093,191.95494,0.06438322,383.8521,0.03576462,-175.43024,-0.22759257,477.0023,0.025969978,308.2246,0.04682497,-175.25082,-0.17895202,773.7879,0.01764243,261.12582,0.05095209,-176.25545,-0.15920219,-5.7808037,-0.073204994,8.924253,0.05241976,0.014047261,0.10454433,-0.002913855,0.34958485,0.08270098,0.14307247,7.95087,0.058722965,3.00327,0.1044218,1.9916352,-0.06207698,-1.4074534,0.03212571,-3.623378,7.05958,0.09020716,0.054533895,0.05539326,1.5927565,1.6706645,0.022649728,0.001687309,0.17018165,0.0010070641,-92.76183,2.0,7.0,0.1166666666666666,4.857142857142857,0.0,2.764,1.382,0.0,0.046066666666666665,0.0
0,0.0,dyad,dyad_03,0.5719418438451852,0.9151708164447018,0.0662999420961203,15.0,170.39140271493213,0.5173235563703025,0.1956003666361136,0.2010999083409715,0.0,0.6298197665480277,1,0.5155423882066666,0.4943969335133333,0.4871794303666666,0.0,0.95,0.85,0.9,0.8,D,90Hz,-9.838263e+16,-0.0002798055,-3.1974355e+17,-0.22663411,3.6893487e+17,3.7999713,-4.6731752e+17,2.1875792,-2.459566e+17,3.561373,-1.4757396e+17,1.7499573,6.148915e+17,-0.5721706,-5.6570014e+17,-0.7010148,1.00842204e+18,2.698167,1.229783e+17,0.9852378,5.4110448e+17,2.9667747,1.721696e+17,1.6207658,-2.9514792e+17,-0.7235876,1.00842204e+18,0.05562912,-4.4272186e+17,-0.30675682,-5.6570014e+17,0.055201758,-2.2136093e+17,2.5110967,-3.443392e+17,1.4914097,7.624654e+17,1.3575727,-3.1974355e+17,1.5421739,-3.6893487e+17,0.3573128,4.181262e+17,0.10666969,8.854437e+17,2.2120078,0.0,1.6225283,2.459566e+17,2.0403605,9.838263e+16,1.258514,3.6893487e+17,1.681416,-9.592307e+17,1.2019349,-9.100394e+17,-0.44413972,6.6408276e+17,-0.29329875,1.4757396e+17,-0.7172459,-1.0330177e+18,-0.018472826,1.4757396e+17,0.19702956,-5.1650885e+17,1.7109398,4.9191317e+16,1.277961,-9.838263e+16,0.35381088,5.1650885e+17,1.1714749,0.0,1.5085397,9.838263e+16,2.4578588,6.148915e+17,1.4726976,-4.181262e+17,2.1220899,-1.4019525e+18,1.2213249,-2.2136093e+17,2.2823863,9.838263e+16,-0.73668194,21.0,170.0,2.833333333333333,4.841176470588235,0.0,52.329,2.491857142857143,0.0,0.87215,0.2857142857142857
