split,detector,model,fold,test_group,accuracy
All,baseline_majority,majority,0,triad_01,0.384615
All,baseline_majority,majority,1,dyad_03,0.166667
All,baseline_majority,majority,2,dyad_04,0.818182
All,baseline_majority,majority,3,dyad_05,0.454545
All,baseline_majority,majority,4,dyad_07,0.818182
All,baseline_majority,majority,5,triad_06,0.818182
All,baseline_majority,majority,6,triad_05,0.363636
All,baseline_majority,majority,7,triad_13,0.454545
All,baseline_majority,majority,8,triad_14,0.600000
All,baseline_majority,majority,9,dyad_06,0.888889
All,baseline_majority,majority,10,dyad_11,0.555556
All,baseline_majority,majority,11,dyad_02,0.111111
All,baseline_majority,majority,12,triad_07,0.125000
All,baseline_majority,majority,13,triad_09,0.875000
All,baseline_majority,majority,14,triad_12,0.500000
All,baseline_majority,majority,15,triad_02,0.875000
All,baseline_majority,majority,16,dyad_10,0.000000
All,baseline_majority,majority,17,triad_08,0.000000
All,baseline_majority,majority,18,triad_10,0.142857
All,baseline_majority,majority,19,triad_11,0.000000
D,baseline_majority,majority,0,dyad_03,0.833333
D,baseline_majority,majority,1,dyad_07,0.818182
D,baseline_majority,majority,2,dyad_05,0.454545
D,baseline_majority,majority,3,dyad_04,0.818182
D,baseline_majority,majority,4,dyad_11,0.555556
D,baseline_majority,majority,5,dyad_06,0.888889
D,baseline_majority,majority,6,dyad_02,0.111111
D,baseline_majority,majority,7,dyad_10,0.000000
T,baseline_majority,majority,0,triad_01,0.615385
T,baseline_majority,majority,1,triad_13,0.545455
T,baseline_majority,majority,2,triad_06,0.181818
T,baseline_majority,majority,3,triad_05,0.636364
T,baseline_majority,majority,4,triad_14,0.400000
T,baseline_majority,majority,5,triad_12,0.500000
T,baseline_majority,majority,6,triad_09,0.125000
T,baseline_majority,majority,7,triad_07,0.875000
T,baseline_majority,majority,8,triad_02,0.125000
T,baseline_majority,majority,9,triad_10,0.857143
T,baseline_majority,majority,10,triad_08,1.000000
T,baseline_majority,majority,11,triad_11,1.000000
All,audio+GazexSpeaking,QDA,0,triad_01,0.846154
All,audio+GazexSpeaking,QDA,1,dyad_03,0.750000
