split,detector,n,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
All,baseline_majority,185,0,1,majority,0.448,0.325,0.519,,,,
D,baseline_majority,79,0,1,majority,0.560,0.347,0.595,,,,
T,baseline_majority,106,0,1,majority,0.572,0.321,0.538,,,,
All,audio+linguistic,185,10,1,NB,0.743,0.241,0.519,0.0033,4.162,0.0005,0.931
All,audio+linguistic,185,10,2,QDA,0.718,0.256,0.519,,3.471,0.0026,0.776
All,AIxVR,185,2,1,NB,0.625,0.246,0.519,0.0299,1.930,0.0686,0.432
All,AIxVR,185,2,2,LogReg,0.614,0.242,0.519,,1.769,0.0929,0.396
All,linguistic+GazexSpeaking,185,13,1,QDA,0.786,0.200,0.519,0.0100,5.957,0.0000,1.332
All,linguistic+GazexSpeaking,185,13,2,NB,0.778,0.250,0.519,,4.642,0.0002,1.038
All,audio+GazexSpeaking,185,9,1,SVM,0.746,0.243,0.519,0.0033,4.167,0.0005,0.932
All,audio+GazexSpeaking,185,9,2,QDA,0.744,0.233,0.519,,4.319,0.0004,0.966
All,audio+linguistic+GazexSpeaking,185,16,1,QDA,0.771,0.210,0.519,0.0033,5.381,0.0000,1.203
All,audio+linguistic+GazexSpeaking,185,16,2,NB,0.765,0.246,0.519,,4.478,0.0003,1.001
All,GazexSpeaking,185,6,1,QDA,0.734,0.238,0.519,0.0066,4.055,0.0007,0.907
All,GazexSpeaking,185,6,2,SVM,0.729,0.233,0.519,,4.041,0.0007,0.903
D,AIxVR,79,2,1,LogReg,0.672,0.195,0.595,0.3621,1.111,0.3034,0.393
D,AIxVR,79,2,2,NB,0.651,0.184,0.595,,0.858,0.4194,0.303
All,audio,185,3,1,LogReg,0.663,0.251,0.519,0.0033,2.556,0.0193,0.572
All,audio,185,3,2,QDA,0.654,0.250,0.519,,2.423,0.0256,0.542
D,GazexSpeaking,79,6,1,SVM,0.830,0.102,0.595,0.0831,6.500,0.0003,2.298
D,GazexSpeaking,79,6,2,LogReg,0.805,0.106,0.595,,5.627,0.0008,1.989
D,audio,79,3,1,QDA,0.603,0.232,0.595,0.2060,0.093,0.9287,0.033
D,audio,79,3,2,LogReg,0.568,0.246,0.595,,-0.305,0.7696,-0.108
All,openSMILE,185,88,1,NB,0.576,0.255,0.519,0.0133,1.008,0.3262,0.225
All,openSMILE,185,88,2,SVM,0.545,0.222,0.519,,0.530,0.6023,0.118
D,linguistic,79,7,1,LogReg,0.680,0.183,0.595,0.1163,1.311,0.2313,0.463
D,linguistic,79,7,2,NB,0.642,0.143,0.595,,0.940,0.3786,0.332
D,openSMILE,79,88,1,LogReg,0.658,0.205,0.595,0.6711,0.868,0.4140,0.307
D,openSMILE,79,88,2,NB,0.554,0.287,0.595,,-0.407,0.6962,-0.144
All,audio+openSMILE,185,91,1,SVM,0.609,0.188,0.519,0.0033,2.143,0.0453,0.479
All,audio+openSMILE,185,91,2,NB,0.590,0.252,0.519,,1.258,0.2238,0.281
D,audio+AIxVR,79,5,1,LogReg,0.625,0.190,0.595,0.0100,0.451,0.6653,0.160
D,audio+AIxVR,79,5,2,QDA,0.597,0.211,0.595,,0.034,0.9736,0.012
D,audio+GazexSpeaking,79,9,1,LogReg,0.810,0.143,0.595,0.0233,4.250,0.0038,1.503
D,audio+GazexSpeaking,79,9,2,SVM,0.807,0.123,0.595,,4.870,0.0018,1.722
D,audio+openSMILE,79,91,1,LogReg,0.664,0.196,0.595,0.8870,1.002,0.3496,0.354
D,audio+openSMILE,79,91,2,NB,0.551,0.291,0.595,,-0.425,0.6835,-0.150
D,audio+linguistic,79,10,1,NB,0.639,0.179,0.595,0.0997,0.696,0.5089,0.246
D,audio+linguistic,79,10,2,LogReg,0.623,0.201,0.595,,0.391,0.7071,0.138
All,linguistic,185,7,1,SVM,0.771,0.210,0.519,0.0033,5.365,0.0000,1.200
All,linguistic,185,7,2,QDA,0.766,0.199,0.519,,5.541,0.0000,1.239
D,linguistic+GazexSpeaking,79,13,1,LogReg,0.842,0.088,0.595,0.0033,7.962,0.0001,2.815
D,linguistic+GazexSpeaking,79,13,2,SVM,0.793,0.138,0.595,,4.053,0.0049,1.433
All,audio+AIxVR,185,5,1,QDA,0.673,0.246,0.519,0.0033,2.800,0.0114,0.626
All,audio+AIxVR,185,5,2,NB,0.666,0.201,0.519,,3.259,0.0041,0.729
D,audio+linguistic+GazexSpeaking,79,16,1,LogReg,0.786,0.135,0.595,0.0133,3.984,0.0053,1.409
D,audio+linguistic+GazexSpeaking,79,16,2,SVM,0.767,0.145,0.595,,3.361,0.0121,1.188
D,openSMILE_pca,79,88,1,LogReg,0.668,0.216,0.595,0.3887,0.952,0.3727,0.337
D,openSMILE_pca,79,88,2,QDA,0.532,0.291,0.595,,-0.609,0.5620,-0.215
T,GazexSpeaking,106,6,1,NB,0.695,0.294,0.538,0.0033,1.857,0.0903,0.536
T,GazexSpeaking,106,6,2,LogReg,0.677,0.220,0.538,,2.190,0.0510,0.632
T,AIxVR,106,1,1,LogReg,0.581,0.253,0.538,0.0033,0.600,0.5608,0.173
