split,detector,model,test_group,k,selected
D,linguistic_sel,QDA,dyad_03,1,word_count
D,linguistic_sel,QDA,dyad_07,4,segment_count|word_count|question_ratio|speech_ratio
D,linguistic_sel,QDA,dyad_05,1,word_count
D,linguistic_sel,QDA,dyad_04,2,word_count|speech_ratio
D,linguistic_sel,QDA,dyad_11,1,word_count
D,linguistic_sel,QDA,dyad_06,1,word_count
D,linguistic_sel,QDA,dyad_02,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
D,linguistic_sel,QDA,dyad_10,2,word_count|speech_ratio
D,linguistic_sel,SVM,dyad_03,1,word_count
D,linguistic_sel,SVM,dyad_07,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
D,linguistic_sel,SVM,dyad_05,1,word_count
D,linguistic_sel,SVM,dyad_04,1,word_count
D,linguistic_sel,SVM,dyad_11,1,word_count
D,linguistic_sel,SVM,dyad_06,2,word_count|speech_ratio
D,linguistic_sel,SVM,dyad_02,5,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s
D,linguistic_sel,SVM,dyad_10,1,word_count
D,linguistic_sel,LogReg,dyad_03,2,word_count|speech_ratio
D,linguistic_sel,LogReg,dyad_07,3,word_count|question_ratio|speech_ratio
D,linguistic_sel,LogReg,dyad_05,2,word_count|speech_ratio
D,linguistic_sel,LogReg,dyad_04,2,word_count|speech_ratio
D,linguistic_sel,LogReg,dyad_11,2,word_count|speech_ratio
D,linguistic_sel,LogReg,dyad_06,2,word_count|speech_ratio
D,linguistic_sel,LogReg,dyad_02,3,word_count|question_ratio|speech_ratio
D,linguistic_sel,LogReg,dyad_10,2,word_count|speech_ratio
D,linguistic_sel,NB,dyad_03,1,word_count
D,linguistic_sel,NB,dyad_07,3,word_count|question_ratio|speech_ratio
D,linguistic_sel,NB,dyad_05,2,word_count|speech_ratio
D,linguistic_sel,NB,dyad_04,2,word_count|speech_ratio
D,linguistic_sel,NB,dyad_11,1,word_count
D,linguistic_sel,NB,dyad_06,1,word_count
D,linguistic_sel,NB,dyad_02,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
D,linguistic_sel,NB,dyad_10,2,word_count|speech_ratio
D,linguistic+GazexSpeaking_sel,QDA,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_07,6,word_count|question_ratio|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_05,3,word_count|speech_ratio|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_04,8,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_11,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_06,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_02,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,QDA,dyad_10,6,segment_count|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_03,8,segment_count|word_count|question_ratio|speech_ratio|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_07,13,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_05,13,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_04,3,word_count|speech_ratio|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_11,9,segment_count|word_count|question_ratio|speech_ratio|unfinished_ratio|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_06,10,segment_count|word_count|question_ratio|speech_ratio|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_02,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,SVM,dyad_10,8,segment_count|word_count|question_ratio|speech_ratio|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_07,12,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_05,2,word_count|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_04,8,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_11,13,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_06,8,segment_count|word_count|question_ratio|speech_ratio|BPM|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_02,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,LogReg,dyad_10,13,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_07,11,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_05,5,word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_04,10,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_11,4,word_count|speech_ratio|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_06,3,word_count|blink_durations|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_02,11,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,linguistic+GazexSpeaking_sel,NB,dyad_10,6,segment_count|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic_sel,QDA,dyad_03,1,word_count
D,audio+linguistic_sel,QDA,dyad_07,4,valence|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,QDA,dyad_05,1,word_count
D,audio+linguistic_sel,QDA,dyad_04,2,word_count|speech_ratio
D,audio+linguistic_sel,QDA,dyad_11,1,word_count
D,audio+linguistic_sel,QDA,dyad_06,1,word_count
D,audio+linguistic_sel,QDA,dyad_02,4,dominance|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,QDA,dyad_10,2,word_count|speech_ratio
D,audio+linguistic_sel,SVM,dyad_03,1,word_count
D,audio+linguistic_sel,SVM,dyad_07,7,arousal|valence|segment_count|word_count|question_ratio|speech_ratio|unfinished_ratio
D,audio+linguistic_sel,SVM,dyad_05,1,word_count
D,audio+linguistic_sel,SVM,dyad_04,2,word_count|speech_ratio
D,audio+linguistic_sel,SVM,dyad_11,1,word_count
D,audio+linguistic_sel,SVM,dyad_06,2,word_count|speech_ratio
D,audio+linguistic_sel,SVM,dyad_02,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
D,audio+linguistic_sel,SVM,dyad_10,3,valence|word_count|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_03,2,word_count|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_07,4,valence|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_05,2,word_count|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_04,4,valence|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_11,1,word_count
D,audio+linguistic_sel,LogReg,dyad_06,2,word_count|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_02,3,word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,LogReg,dyad_10,2,word_count|speech_ratio
D,audio+linguistic_sel,NB,dyad_03,1,word_count
D,audio+linguistic_sel,NB,dyad_07,4,valence|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,NB,dyad_05,2,word_count|speech_ratio
D,audio+linguistic_sel,NB,dyad_04,2,word_count|speech_ratio
D,audio+linguistic_sel,NB,dyad_11,1,word_count
D,audio+linguistic_sel,NB,dyad_06,1,word_count
D,audio+linguistic_sel,NB,dyad_02,4,dominance|word_count|question_ratio|speech_ratio
D,audio+linguistic_sel,NB,dyad_10,2,word_count|speech_ratio
T,linguistic_sel,QDA,triad_01,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_13,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_06,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,QDA,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_12,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_09,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,QDA,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_02,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,QDA,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,QDA,triad_11,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_01,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_13,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_06,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,SVM,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_12,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_09,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,SVM,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_02,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,SVM,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,SVM,triad_11,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_01,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_13,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,LogReg,triad_06,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_05,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,LogReg,triad_12,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,LogReg,triad_09,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_07,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_02,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_10,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_08,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,LogReg,triad_11,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,NB,triad_01,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,NB,triad_13,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_06,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,NB,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_12,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_09,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_02,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic_sel,NB,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,linguistic_sel,NB,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
