split,detector,n,n_feat,model,acc_foldmean,acc_pooled,majority,TN,FP,FN,TP,prec_low,rec_low,f1_low,prec_high,rec_high,f1_high,macro_f1,weighted_f1,balanced_acc,mcc,macro_f1_foldmean,macro_f1_foldsd
D,baseline_majority,79,0,majority,0.560,0.595,0.595,0,32,0,47,0.000,0.000,0.000,0.595,1.000,0.746,0.373,0.444,0.500,0.000,0.324,0.180
All,baseline_majority,185,0,majority,0.448,0.476,0.519,2,87,10,86,0.167,0.022,0.040,0.497,0.896,0.639,0.340,0.351,0.459,-0.166,0.273,0.170
T,baseline_majority,106,0,majority,0.572,0.538,0.538,57,0,49,0,0.538,1.000,0.699,0.000,0.000,0.000,0.350,0.376,0.500,0.000,0.337,0.144
D,AIxVR,79,2,LogReg,0.672,0.684,0.595,14,18,7,40,0.667,0.438,0.528,0.690,0.851,0.762,0.645,0.667,0.644,0.321,0.394,0.074
D,GazexSpeaking,79,6,SVM,0.830,0.823,0.595,18,14,0,47,1.000,0.562,0.720,0.770,1.000,0.870,0.795,0.809,0.781,0.658,0.553,0.136
D,audio,79,3,QDA,0.603,0.595,0.595,13,19,13,34,0.500,0.406,0.448,0.642,0.723,0.680,0.564,0.586,0.565,0.135,0.431,0.129
D,openSMILE,79,88,LogReg,0.658,0.658,0.595,19,13,14,33,0.576,0.594,0.585,0.717,0.702,0.710,0.647,0.659,0.648,0.295,0.471,0.117
D,linguistic,79,7,LogReg,0.680,0.671,0.595,17,15,11,36,0.607,0.531,0.567,0.706,0.766,0.735,0.651,0.667,0.649,0.305,0.543,0.141
D,audio+AIxVR,79,5,LogReg,0.625,0.620,0.595,19,13,17,30,0.528,0.594,0.559,0.698,0.638,0.667,0.613,0.623,0.616,0.229,0.417,0.097
All,GazexSpeaking,185,6,QDA,0.734,0.746,0.519,51,38,9,87,0.850,0.573,0.685,0.696,0.906,0.787,0.736,0.738,0.740,0.512,0.587,0.229
All,audio,185,3,LogReg,0.663,0.670,0.519,51,38,23,73,0.689,0.573,0.626,0.658,0.760,0.705,0.666,0.667,0.667,0.340,0.526,0.213
All,linguistic+GazexSpeaking,185,13,QDA,0.786,0.789,0.519,61,28,11,85,0.847,0.685,0.758,0.752,0.885,0.813,0.786,0.787,0.785,0.585,0.661,0.216
All,audio+linguistic+GazexSpeaking,185,16,QDA,0.771,0.773,0.519,61,28,14,82,0.813,0.685,0.744,0.745,0.854,0.796,0.770,0.771,0.770,0.549,0.648,0.219
D,audio+GazexSpeaking,79,9,LogReg,0.810,0.797,0.595,20,12,4,43,0.833,0.625,0.714,0.782,0.915,0.843,0.779,0.791,0.770,0.576,0.568,0.205
D,audio+openSMILE,79,91,LogReg,0.664,0.658,0.595,19,13,14,33,0.576,0.594,0.585,0.717,0.702,0.710,0.647,0.659,0.648,0.295,0.462,0.064
