split,detector,n,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
D,linguistic+openSMILE,79,95,1,NB,0.601,0.228,0.595,0.3023,0.072,0.9446,0.025
D,linguistic+openSMILE,79,95,2,LogReg,0.584,0.220,0.595,,-0.146,0.8883,-0.052
D,openSMILE+GazexSpeaking,79,94,1,LogReg,0.724,0.155,0.595,0.5216,2.356,0.0506,0.833
D,openSMILE+GazexSpeaking,79,94,2,NB,0.580,0.260,0.595,,-0.158,0.8786,-0.056
D,linguistic+openSMILE+GazexSpeaking,79,101,1,NB,0.626,0.221,0.595,0.3156,0.397,0.7030,0.140
D,linguistic+openSMILE+GazexSpeaking,79,101,2,LogReg,0.592,0.254,0.595,,-0.028,0.9786,-0.010
T,linguistic+openSMILE+GazexSpeaking,106,101,1,NB,0.690,0.309,0.538,0.0033,1.702,0.1168,0.491
T,linguistic+openSMILE+GazexSpeaking,106,101,2,LogReg,0.664,0.235,0.538,,1.856,0.0904,0.536
T,openSMILE+GazexSpeaking,106,94,1,NB,0.635,0.296,0.538,0.0066,1.141,0.2780,0.329
T,openSMILE+GazexSpeaking,106,94,2,LogReg,0.604,0.217,0.538,,1.051,0.3158,0.303
T,linguistic+openSMILE,106,95,1,LogReg,0.704,0.221,0.538,0.0033,2.616,0.0240,0.755
T,linguistic+openSMILE,106,95,2,SVM,0.690,0.210,0.538,,2.518,0.0286,0.727
All,openSMILE+GazexSpeaking,185,94,1,NB,0.635,0.245,0.519,0.0033,2.113,0.0481,0.472
All,openSMILE+GazexSpeaking,185,94,2,SVM,0.628,0.225,0.519,,2.173,0.0426,0.486
All,linguistic+openSMILE,185,95,1,LogReg,0.689,0.258,0.519,0.0033,2.939,0.0084,0.657
All,linguistic+openSMILE,185,95,2,SVM,0.659,0.257,0.519,,2.446,0.0244,0.547
All,linguistic+openSMILE+GazexSpeaking,185,101,1,LogReg,0.679,0.271,0.519,0.0033,2.643,0.0160,0.591
All,linguistic+openSMILE+GazexSpeaking,185,101,2,NB,0.654,0.237,0.519,,2.541,0.0199,0.568
