split,detector,n_boot,acc,acc_lo,acc_hi,macro_f1,f1_lo,f1_hi
All,baseline_majority,10000,0.4755123910937991,0.3448275862068966,0.6020942408376964,0.3364063284132561,0.2726293103448276,0.39396551724137935
All,GazexSpeaking,10000,0.7457797800751023,0.6666666666666666,0.8210570420464569,0.731493087254609,0.6451004763860607,0.813719153374749
All,linguistic,10000,0.7685973031894348,0.6875,0.8457446808510638,0.7623196972574176,0.6791106989429555,0.8420354532433441
All,linguistic+GazexSpeaking,10000,0.7895643038211156,0.7085654761904762,0.8606060606060606,0.782964161852423,0.6960550908345534,0.8570729392984143
All,linguistic+AIED,10000,0.7788062605061836,0.7142857142857143,0.8449197860962567,0.7726196815063727,0.7013305990111048,0.8417626168488238
D,baseline_majority,10000,0.5899848860696829,0.36231884057971014,0.775,0.36824917909069144,0.26595744680851063,0.43661971830985913
D,GazexSpeaking,10000,0.8236051241458631,0.7654320987654321,0.8823529411764706,0.7740120909461878,0.5925215723873443,0.8783392857142855
D,linguistic,10000,0.6728446919088569,0.5540540540540541,0.7901234567901234,0.6445041805488624,0.536723163841808,0.7650186071238703
D,linguistic+GazexSpeaking,10000,0.8358230312672579,0.7857142857142857,0.8888888888888888,0.8144990818137374,0.719359943731317,0.8862179487179487
D,linguistic+AIED,10000,0.8104491242491544,0.7317073170731707,0.8831319842947747,0.7951470142107498,0.7079365079365079,0.8773322372427231
T,baseline_majority,10000,0.5389417013139005,0.3873801220575414,0.6915887850467289,0.34851045649641865,0.2792170039263062,0.4088397790055249
T,GazexSpeaking,10000,0.7152313360545537,0.5789473684210527,0.8425925925925926,0.7068630103347892,0.5628016842970114,0.8378603530412099
T,linguistic,10000,0.7743769239789559,0.65,0.8787878787878788,0.7698352404547376,0.6401515151515151,0.8761904761904762
T,linguistic+GazexSpeaking,10000,0.7738092680753093,0.6336633663366337,0.898989898989899,0.767723039374525,0.6219886996629878,0.89578923324649
T,linguistic+AIED,10000,0.7553278183821005,0.6229472246189244,0.8787962037962037,0.7496009868580892,0.6192296411318151,0.8726744061548815
