groupset,split,detector,n,n_groups,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
g20,D,AIED,79,8,4,1,NB,0.749,0.145,0.595,0.1030,3.003,0.0198,1.062
g20,D,AIED,79,8,4,2,LogReg,0.748,0.162,0.595,,2.677,0.0317,0.946
g20,D,AIxVR,79,8,2,1,LogReg,0.672,0.195,0.595,0.3621,1.111,0.3034,0.393
g20,D,AIxVR,79,8,2,2,NB,0.651,0.184,0.595,,0.858,0.4194,0.303
g20,D,linguistic+GazexSpeaking,79,8,13,1,LogReg,0.842,0.088,0.595,0.0033,7.962,0.0001,2.815
g20,D,linguistic+GazexSpeaking,79,8,13,2,SVM,0.793,0.138,0.595,,4.053,0.0049,1.433
g20,D,linguistic+AIED,79,8,11,1,LogReg,0.815,0.123,0.595,0.0033,5.082,0.0014,1.797
g20,D,linguistic+AIED,79,8,11,2,SVM,0.748,0.204,0.595,,2.126,0.0711,0.752
g20,D,GazexSpeaking,79,8,6,1,SVM,0.830,0.102,0.595,0.0831,6.500,0.0003,2.298
g20,D,GazexSpeaking,79,8,6,2,LogReg,0.805,0.106,0.595,,5.627,0.0008,1.989
g20,D,linguistic,79,8,7,1,LogReg,0.680,0.183,0.595,0.1163,1.311,0.2313,0.463
g20,D,linguistic,79,8,7,2,NB,0.642,0.143,0.595,,0.940,0.3786,0.332
g20,T,AIxVR,106,12,1,1,LogReg,0.581,0.253,0.538,0.0033,0.600,0.5608,0.173
g20,T,AIxVR,106,12,1,2,QDA,0.576,0.244,0.538,,0.543,0.5979,0.157
g20,T,AIED,106,12,4,1,QDA,0.628,0.280,0.538,0.0100,1.124,0.2849,0.324
g20,T,AIED,106,12,4,2,LogReg,0.592,0.222,0.538,,0.846,0.4153,0.244
g20,T,linguistic,106,12,7,1,NB,0.766,0.243,0.538,0.0033,3.253,0.0077,0.939
g20,T,linguistic,106,12,7,2,QDA,0.752,0.216,0.538,,3.431,0.0056,0.991
g20,T,linguistic+AIED,106,12,11,1,QDA,0.776,0.232,0.538,0.0033,3.567,0.0044,1.030
g20,T,linguistic+AIED,106,12,11,2,SVM,0.741,0.168,0.538,,4.203,0.0015,1.213
g20,T,GazexSpeaking,106,12,6,1,NB,0.695,0.294,0.538,0.0033,1.857,0.0903,0.536
g20,T,GazexSpeaking,106,12,6,2,LogReg,0.677,0.220,0.538,,2.190,0.0510,0.632
g20,All,AIED,185,20,4,1,QDA,0.626,0.247,0.519,0.0930,1.934,0.0682,0.432
g20,All,AIED,185,20,4,2,NB,0.575,0.258,0.519,,0.973,0.3427,0.218
g20,T,linguistic+GazexSpeaking,106,12,13,1,NB,0.758,0.306,0.538,0.0033,2.489,0.0301,0.718
g20,T,linguistic+GazexSpeaking,106,12,13,2,LogReg,0.704,0.223,0.538,,2.591,0.0251,0.748
g20,All,linguistic,185,20,7,1,SVM,0.771,0.210,0.519,0.0033,5.365,0.0000,1.200
g20,All,linguistic,185,20,7,2,QDA,0.766,0.199,0.519,,5.541,0.0000,1.239
g20,All,linguistic+AIED,185,20,11,1,SVM,0.794,0.152,0.519,0.0033,8.087,0.0000,1.808
g20,All,linguistic+AIED,185,20,11,2,QDA,0.766,0.197,0.519,,5.599,0.0000,1.252
g20,All,linguistic+GazexSpeaking,185,20,13,1,QDA,0.786,0.200,0.519,0.0100,5.957,0.0000,1.332
g20,All,linguistic+GazexSpeaking,185,20,13,2,NB,0.778,0.250,0.519,,4.642,0.0002,1.038
g20,All,AIxVR,185,20,2,1,NB,0.625,0.246,0.519,0.0299,1.930,0.0686,0.432
g20,All,AIxVR,185,20,2,2,LogReg,0.614,0.242,0.519,,1.769,0.0929,0.396
