groupset,split,detector,n,n_feat,model,acc_foldmean,acc_pooled,majority,TN,FP,FN,TP,prec_low,rec_low,f1_low,prec_high,rec_high,f1_high,macro_f1,weighted_f1,balanced_acc,mcc,macro_f1_foldmean,macro_f1_foldsd
g20,D,AIxVR,79,2,LogReg,0.672,0.684,0.595,14,18,7,40,0.667,0.438,0.528,0.690,0.851,0.762,0.645,0.667,0.644,0.321,0.394,0.074
g20,D,linguistic+GazexSpeaking,79,13,LogReg,0.842,0.835,0.595,23,9,4,43,0.852,0.719,0.780,0.827,0.915,0.869,0.824,0.833,0.817,0.656,0.643,0.159
g20,D,linguistic+AIED,79,11,LogReg,0.815,0.810,0.595,25,7,8,39,0.758,0.781,0.769,0.848,0.830,0.839,0.804,0.811,0.806,0.608,0.631,0.157
g20,D,GazexSpeaking,79,6,SVM,0.830,0.823,0.595,18,14,0,47,1.000,0.562,0.720,0.770,1.000,0.870,0.795,0.809,0.781,0.658,0.553,0.136
g20,D,AIED,79,4,NB,0.749,0.747,0.595,20,12,8,39,0.714,0.625,0.667,0.765,0.830,0.796,0.731,0.744,0.727,0.467,0.452,0.081
g20,D,linguistic,79,7,LogReg,0.680,0.671,0.595,17,15,11,36,0.607,0.531,0.567,0.706,0.766,0.735,0.651,0.667,0.649,0.305,0.543,0.141
g20,T,AIxVR,106,1,LogReg,0.581,0.575,0.538,39,18,27,22,0.591,0.684,0.634,0.550,0.449,0.494,0.564,0.570,0.567,0.137,0.460,0.188
g20,T,AIED,106,4,QDA,0.628,0.594,0.538,45,12,31,18,0.592,0.789,0.677,0.600,0.367,0.456,0.566,0.575,0.578,0.174,0.445,0.201
g20,T,linguistic+AIED,106,11,QDA,0.776,0.755,0.538,44,13,13,36,0.772,0.772,0.772,0.735,0.735,0.735,0.753,0.755,0.753,0.507,0.641,0.240
g20,T,linguistic,106,7,NB,0.766,0.774,0.538,39,18,6,43,0.867,0.684,0.765,0.705,0.878,0.782,0.773,0.773,0.781,0.567,0.691,0.263
g20,T,GazexSpeaking,106,6,NB,0.695,0.717,0.538,34,23,7,42,0.829,0.596,0.694,0.646,0.857,0.737,0.715,0.714,0.727,0.464,0.591,0.294
g20,All,AIED,185,4,QDA,0.626,0.632,0.519,60,29,39,57,0.606,0.674,0.638,0.663,0.594,0.626,0.632,0.632,0.634,0.268,0.423,0.151
