split,detector,best_model,acc,perm_p,majority,p_ttest_majority
All,dummy(majority),-,0.519,-,0.519,
All,AIxVR,NB,0.625,0.0299,0.519,0.0686
All,GazexSpeaking,QDA,0.734,0.0066,0.519,0.0007
All,audio,LogReg,0.663,0.0033,0.519,0.0193
All,audio+AIxVR,QDA,0.673,0.0033,0.519,0.0114
All,audio+GazexSpeaking,SVM,0.746,0.0033,0.519,0.0005
D,dummy(majority),-,0.595,-,0.595,
D,AIxVR,LogReg,0.672,0.3621,0.595,0.3034
D,GazexSpeaking,SVM,0.83,0.0831,0.595,0.0003
D,audio,QDA,0.603,0.2060,0.595,0.9287
D,audio+AIxVR,LogReg,0.625,0.0100,0.595,0.6653
D,audio+GazexSpeaking,LogReg,0.81,0.0233,0.595,0.0038
T,dummy(majority),-,0.538,-,0.538,
T,AIxVR,LogReg,0.581,0.0033,0.538,0.5608
T,GazexSpeaking,NB,0.695,0.0033,0.538,0.0903
T,audio,QDA,0.714,0.0033,0.538,0.0479
T,audio+AIxVR,NB,0.709,0.0033,0.538,0.0459
T,audio+GazexSpeaking,NB,0.67,0.0033,0.538,0.1412
