split,variant,n_feat,best_model,acc_mean,acc_std,delta_vs_full
All,full,7,SVM,0.771,0.21,0.0
All,drop_segment_count,6,QDA,0.766,0.195,-0.005
All,drop_word_count,6,QDA,0.749,0.227,-0.022
All,drop_avg_word_length,6,SVM,0.771,0.215,0.0
All,drop_question_ratio,6,QDA,0.732,0.219,-0.039
All,drop_speech_ratio,6,QDA,0.767,0.179,-0.004
All,drop_mean_segment_duration_s,6,SVM,0.771,0.207,0.0
All,drop_unfinished_ratio,6,QDA,0.771,0.185,0.0
All,solo_segment_count,1,NB,0.425,0.247,-0.346
All,solo_word_count,1,QDA,0.753,0.18,-0.018
All,solo_avg_word_length,1,NB,0.566,0.179,-0.205
All,solo_question_ratio,1,NB,0.654,0.236,-0.117
All,solo_speech_ratio,1,LogReg,0.738,0.199,-0.033
All,solo_mean_segment_duration_s,1,QDA,0.592,0.275,-0.179
All,solo_unfinished_ratio,1,LogReg,0.577,0.249,-0.194
D,full,7,LogReg,0.68,0.183,0.0
D,drop_segment_count,6,LogReg,0.677,0.173,-0.003
D,drop_word_count,6,QDA,0.627,0.211,-0.053
D,drop_avg_word_length,6,LogReg,0.654,0.184,-0.026
D,drop_question_ratio,6,LogReg,0.737,0.173,0.057
D,drop_speech_ratio,6,QDA,0.642,0.194,-0.038
D,drop_mean_segment_duration_s,6,LogReg,0.668,0.189,-0.012
D,drop_unfinished_ratio,6,LogReg,0.68,0.183,0.0
D,solo_segment_count,1,SVM,0.549,0.339,-0.131
D,solo_word_count,1,NB,0.743,0.145,0.063
D,solo_avg_word_length,1,SVM,0.56,0.347,-0.12
D,solo_question_ratio,1,NB,0.527,0.352,-0.153
D,solo_speech_ratio,1,LogReg,0.715,0.115,0.035
D,solo_mean_segment_duration_s,1,SVM,0.56,0.347,-0.12
D,solo_unfinished_ratio,1,SVM,0.56,0.347,-0.12
T,full,7,NB,0.766,0.243,0.0
T,drop_segment_count,6,NB,0.813,0.193,0.047
T,drop_word_count,6,NB,0.745,0.255,-0.021
T,drop_avg_word_length,6,SVM,0.757,0.18,-0.009
T,drop_question_ratio,6,QDA,0.774,0.206,0.008
T,drop_speech_ratio,6,QDA,0.783,0.21,0.017
T,drop_mean_segment_duration_s,6,QDA,0.776,0.193,0.01
T,drop_unfinished_ratio,6,QDA,0.787,0.211,0.021
T,solo_segment_count,1,LogReg,0.514,0.288,-0.252
T,solo_word_count,1,LogReg,0.705,0.203,-0.061
T,solo_avg_word_length,1,LogReg,0.529,0.305,-0.237
T,solo_question_ratio,1,NB,0.636,0.196,-0.13
T,solo_speech_ratio,1,LogReg,0.731,0.201,-0.035
T,solo_mean_segment_duration_s,1,NB,0.698,0.235,-0.068
T,solo_unfinished_ratio,1,QDA,0.588,0.247,-0.178
