split,model,test_group,n_components,acc
All,NB,triad_01,5,0.3076923076923077
All,NB,dyad_03,5,0.8333333333333334
All,NB,dyad_04,5,0.7272727272727273
All,NB,dyad_05,5,0.7272727272727273
All,NB,dyad_07,5,0.6363636363636364
All,NB,triad_06,5,0.8181818181818182
All,NB,triad_05,5,0.36363636363636365
All,NB,triad_13,5,0.45454545454545453
All,NB,triad_14,5,0.7
All,NB,dyad_06,5,0.8888888888888888
All,NB,dyad_11,5,0.4444444444444444
All,NB,dyad_02,5,0.8888888888888888
All,NB,triad_07,5,0.625
All,NB,triad_09,5,0.875
All,NB,triad_12,5,0.5
All,NB,triad_02,5,0.875
All,NB,dyad_10,5,0.5714285714285714
All,NB,triad_08,5,0.5714285714285714
All,NB,triad_10,5,0.14285714285714285
All,NB,triad_11,5,0.0
D,LogReg,dyad_03,10,0.8333333333333334
D,LogReg,dyad_07,20,0.6363636363636364
D,LogReg,dyad_05,20,0.7272727272727273
D,LogReg,dyad_04,20,0.6363636363636364
D,LogReg,dyad_11,5,0.4444444444444444
D,LogReg,dyad_06,5,0.8888888888888888
D,LogReg,dyad_02,20,0.8888888888888888
D,LogReg,dyad_10,10,0.2857142857142857
T,NB,triad_01,5,0.46153846153846156
T,NB,triad_13,20,0.7272727272727273
T,NB,triad_06,20,0.45454545454545453
T,NB,triad_05,20,0.36363636363636365
T,NB,triad_14,20,0.6
T,NB,triad_12,20,0.375
T,NB,triad_09,5,0.75
T,NB,triad_07,20,0.75
T,NB,triad_02,5,0.75
T,NB,triad_10,20,0.14285714285714285
T,NB,triad_08,5,0.8571428571428571
T,NB,triad_11,20,0.25
