split,rank,feature,F,p
All,1,opensmile_mfcc1V_sma3nz_stddevNorm,23.63,0.0
All,2,opensmile_loudness_sma3_pctlrange0-2,16.103,9e-05
All,3,opensmile_spectralFlux_sma3_stddevNorm,15.889,0.0001
All,4,opensmile_slopeUV500-1500_sma3nz_amean,15.848,0.0001
All,5,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,15.747,0.0001
All,6,opensmile_MeanUnvoicedSegmentLength,15.525,0.00012
All,7,opensmile_loudness_sma3_stddevNorm,15.513,0.00012
All,8,opensmile_shimmerLocaldB_sma3nz_stddevNorm,15.283,0.00013
All,9,opensmile_F2frequency_sma3nz_stddevNorm,13.49,0.00031
All,10,opensmile_loudness_sma3_stddevRisingSlope,12.953,0.00041
All,11,opensmile_spectralFluxV_sma3nz_stddevNorm,11.427,0.00088
All,12,opensmile_HNRdBACF_sma3nz_stddevNorm,11.115,0.00104
All,13,opensmile_F2bandwidth_sma3nz_stddevNorm,10.631,0.00133
All,14,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,10.606,0.00134
All,15,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,10.263,0.0016
All,16,opensmile_mfcc3_sma3_stddevNorm,9.959,0.00187
All,17,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,9.752,0.00208
All,18,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,9.683,0.00216
All,19,opensmile_MeanVoicedSegmentLengthSec,8.496,0.004
All,20,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,8.454,0.00409
All,21,opensmile_jitterLocal_sma3nz_stddevNorm,7.187,0.00801
All,22,opensmile_equivalentSoundLevel_dBp,6.973,0.00899
All,23,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,5.87,0.01637
All,24,opensmile_VoicedSegmentsPerSec,5.53,0.01975
All,25,opensmile_slopeUV0-500_sma3nz_amean,5.211,0.0236
All,26,opensmile_spectralFluxUV_sma3nz_amean,4.788,0.02993
All,27,opensmile_mfcc2V_sma3nz_stddevNorm,4.761,0.03039
All,28,opensmile_mfcc4V_sma3nz_stddevNorm,4.636,0.03263
All,29,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,4.51,0.03503
All,30,opensmile_hammarbergIndexUV_sma3nz_amean,3.914,0.04938
All,31,opensmile_mfcc3_sma3_amean,3.593,0.05959
All,32,opensmile_slopeV500-1500_sma3nz_stddevNorm,3.52,0.06222
All,33,opensmile_F1frequency_sma3nz_stddevNorm,2.991,0.0854
All,34,opensmile_slopeV500-1500_sma3nz_amean,2.82,0.09483
All,35,opensmile_loudness_sma3_stddevFallingSlope,2.368,0.12558
All,36,opensmile_loudness_sma3_amean,2.313,0.13001
All,37,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,2.167,0.14273
All,38,opensmile_slopeV0-500_sma3nz_stddevNorm,1.882,0.17181
All,39,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,1.852,0.17526
All,40,opensmile_F3frequency_sma3nz_stddevNorm,1.33,0.25025
All,41,opensmile_mfcc2_sma3_stddevNorm,1.328,0.2506
All,42,opensmile_loudness_sma3_meanRisingSlope,1.195,0.2758
All,43,opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,1.141,0.28682
All,44,opensmile_F3bandwidth_sma3nz_stddevNorm,1.001,0.31844
All,45,opensmile_spectralFlux_sma3_amean,0.986,0.32201
All,46,opensmile_F3bandwidth_sma3nz_amean,0.791,0.37511
All,47,opensmile_mfcc1V_sma3nz_amean,0.724,0.39579
All,48,opensmile_alphaRatioV_sma3nz_stddevNorm,0.692,0.40668
All,49,opensmile_HNRdBACF_sma3nz_amean,0.682,0.40997
All,50,opensmile_F3frequency_sma3nz_amean,0.616,0.43346
All,51,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.59,0.4433
All,52,opensmile_logRelF0-H1-H2_sma3nz_amean,0.518,0.47252
All,53,opensmile_alphaRatioUV_sma3nz_amean,0.452,0.50203
All,54,opensmile_alphaRatioV_sma3nz_amean,0.438,0.50879
All,55,opensmile_mfcc1_sma3_stddevNorm,0.398,0.52878
All,56,opensmile_StddevVoicedSegmentLengthSec,0.392,0.53211
All,57,opensmile_mfcc4_sma3_stddevNorm,0.392,0.53214
All,58,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.362,0.54841
All,59,opensmile_hammarbergIndexV_sma3nz_stddevNorm,0.325,0.56944
All,60,opensmile_logRelF0-H1-A3_sma3nz_amean,0.223,0.63749
All,61,opensmile_jitterLocal_sma3nz_amean,0.219,0.64016
All,62,opensmile_F1bandwidth_sma3nz_stddevNorm,0.215,0.64377
All,63,opensmile_mfcc3V_sma3nz_stddevNorm,0.2,0.65496
All,64,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.173,0.67791
All,65,opensmile_shimmerLocaldB_sma3nz_amean,0.148,0.70111
All,66,opensmile_loudness_sma3_percentile50.0,0.145,0.70357
All,67,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,0.139,0.70923
All,68,opensmile_mfcc2_sma3_amean,0.13,0.71885
All,69,opensmile_mfcc4_sma3_amean,0.127,0.72163
All,70,opensmile_F3amplitudeLogRelF0_sma3nz_amean,0.119,0.73031
All,71,opensmile_F1bandwidth_sma3nz_amean,0.114,0.73555
All,72,opensmile_F2amplitudeLogRelF0_sma3nz_amean,0.103,0.74862
All,73,opensmile_hammarbergIndexV_sma3nz_amean,0.079,0.7789
All,74,opensmile_loudness_sma3_meanFallingSlope,0.077,0.78138
All,75,opensmile_mfcc4V_sma3nz_amean,0.073,0.78793
All,76,opensmile_F2frequency_sma3nz_amean,0.055,0.81508
All,77,opensmile_mfcc2V_sma3nz_amean,0.049,0.82435
All,78,opensmile_mfcc1_sma3_amean,0.046,0.83002
All,79,opensmile_loudness_sma3_percentile20.0,0.041,0.84066
All,80,opensmile_loudnessPeaksPerSec,0.034,0.85385
All,81,opensmile_spectralFluxV_sma3nz_amean,0.028,0.86728
All,82,opensmile_slopeV0-500_sma3nz_amean,0.026,0.87122
All,83,opensmile_F1frequency_sma3nz_amean,0.023,0.8809
All,84,opensmile_StddevUnvoicedSegmentLength,0.009,0.92338
All,85,opensmile_mfcc3V_sma3nz_amean,0.003,0.95692
All,86,opensmile_F2bandwidth_sma3nz_amean,0.001,0.97766
All,87,opensmile_loudness_sma3_percentile80.0,0.0,0.99304
All,88,opensmile_F1amplitudeLogRelF0_sma3nz_amean,0.0,0.99917
D,1,opensmile_loudness_sma3_stddevNorm,22.952,1e-05
D,2,opensmile_spectralFluxV_sma3nz_stddevNorm,22.503,1e-05
D,3,opensmile_mfcc1V_sma3nz_stddevNorm,22.203,1e-05
D,4,opensmile_spectralFlux_sma3_stddevNorm,21.376,1e-05
D,5,opensmile_MeanUnvoicedSegmentLength,21.207,2e-05
D,6,opensmile_shimmerLocaldB_sma3nz_stddevNorm,21.007,2e-05
D,7,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,20.815,2e-05
D,8,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,20.591,2e-05
D,9,opensmile_slopeUV500-1500_sma3nz_amean,20.436,2e-05
D,10,opensmile_loudness_sma3_pctlrange0-2,20.058,3e-05
D,11,opensmile_HNRdBACF_sma3nz_stddevNorm,19.462,3e-05
D,12,opensmile_loudness_sma3_stddevRisingSlope,19.444,3e-05
D,13,opensmile_F2frequency_sma3nz_stddevNorm,19.002,4e-05
D,14,opensmile_VoicedSegmentsPerSec,18.305,5e-05
D,15,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,17.316,8e-05
D,16,opensmile_MeanVoicedSegmentLengthSec,14.519,0.00028
D,17,opensmile_F2bandwidth_sma3nz_stddevNorm,13.493,0.00044
D,18,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,12.504,0.00069
D,19,opensmile_slopeUV0-500_sma3nz_amean,11.692,0.00101
D,20,opensmile_equivalentSoundLevel_dBp,11.48,0.00111
D,21,opensmile_spectralFluxUV_sma3nz_amean,10.21,0.00203
D,22,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,10.007,0.00223
D,23,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,9.761,0.00251
D,24,opensmile_jitterLocal_sma3nz_stddevNorm,9.566,0.00276
D,25,opensmile_F1frequency_sma3nz_stddevNorm,9.211,0.00328
D,26,opensmile_mfcc3_sma3_stddevNorm,9.087,0.00348
D,27,opensmile_mfcc3_sma3_amean,8.218,0.00535
D,28,opensmile_hammarbergIndexUV_sma3nz_amean,8.172,0.00547
D,29,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,6.334,0.01392
D,30,opensmile_F3frequency_sma3nz_stddevNorm,5.944,0.01707
D,31,opensmile_F3bandwidth_sma3nz_stddevNorm,5.453,0.02214
D,32,opensmile_hammarbergIndexV_sma3nz_stddevNorm,4.814,0.03125
D,33,opensmile_mfcc4V_sma3nz_stddevNorm,4.362,0.04005
D,34,opensmile_slopeV500-1500_sma3nz_stddevNorm,4.36,0.0401
D,35,opensmile_jitterLocal_sma3nz_amean,3.564,0.06283
D,36,opensmile_slopeV500-1500_sma3nz_amean,3.197,0.07769
D,37,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,2.945,0.09018
D,38,opensmile_mfcc2_sma3_stddevNorm,2.919,0.09159
D,39,opensmile_F3frequency_sma3nz_amean,2.64,0.10828
D,40,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,2.563,0.11347
D,41,opensmile_hammarbergIndexV_sma3nz_amean,2.381,0.12689
D,42,opensmile_mfcc2V_sma3nz_stddevNorm,1.684,0.19831
D,43,opensmile_HNRdBACF_sma3nz_amean,1.683,0.1984
D,44,opensmile_F2bandwidth_sma3nz_amean,1.67,0.20008
D,45,opensmile_StddevUnvoicedSegmentLength,1.664,0.20091
D,46,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,1.568,0.21428
D,47,opensmile_logRelF0-H1-A3_sma3nz_amean,1.483,0.2271
D,48,opensmile_loudness_sma3_percentile20.0,1.387,0.24261
D,49,opensmile_loudness_sma3_meanRisingSlope,1.16,0.28485
D,50,opensmile_F1bandwidth_sma3nz_amean,1.052,0.30833
D,51,opensmile_loudnessPeaksPerSec,0.997,0.32112
D,52,opensmile_shimmerLocaldB_sma3nz_amean,0.87,0.35385
D,53,opensmile_loudness_sma3_amean,0.845,0.36075
D,54,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.82,0.36806
D,55,opensmile_StddevVoicedSegmentLengthSec,0.704,0.40388
D,56,opensmile_spectralFlux_sma3_amean,0.67,0.41553
D,57,opensmile_loudness_sma3_percentile50.0,0.583,0.44759
D,58,opensmile_F3bandwidth_sma3nz_amean,0.557,0.4577
D,59,opensmile_alphaRatioUV_sma3nz_amean,0.539,0.46491
D,60,opensmile_loudness_sma3_meanFallingSlope,0.535,0.46693
D,61,opensmile_loudness_sma3_percentile80.0,0.509,0.47787
D,62,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.474,0.49327
D,63,opensmile_F3amplitudeLogRelF0_sma3nz_amean,0.445,0.50678
D,64,opensmile_slopeV0-500_sma3nz_stddevNorm,0.43,0.5137
D,65,opensmile_F2frequency_sma3nz_amean,0.423,0.5174
D,66,opensmile_loudness_sma3_stddevFallingSlope,0.379,0.53987
D,67,opensmile_mfcc3V_sma3nz_amean,0.297,0.58739
D,68,opensmile_mfcc1_sma3_amean,0.278,0.59951
D,69,opensmile_logRelF0-H1-H2_sma3nz_amean,0.253,0.61613
D,70,opensmile_spectralFluxV_sma3nz_amean,0.231,0.63182
D,71,opensmile_F2amplitudeLogRelF0_sma3nz_amean,0.178,0.67437
D,72,opensmile_F1amplitudeLogRelF0_sma3nz_amean,0.096,0.75723
D,73,opensmile_mfcc2V_sma3nz_amean,0.069,0.79303
D,74,opensmile_mfcc1_sma3_stddevNorm,0.059,0.80836
D,75,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,0.056,0.81433
D,76,opensmile_mfcc3V_sma3nz_stddevNorm,0.047,0.8291
D,77,opensmile_mfcc4V_sma3nz_amean,0.047,0.82959
D,78,opensmile_slopeV0-500_sma3nz_amean,0.039,0.84471
D,79,opensmile_alphaRatioV_sma3nz_amean,0.024,0.87803
D,80,opensmile_F1bandwidth_sma3nz_stddevNorm,0.015,0.90361
D,81,opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.014,0.90713
D,82,opensmile_F1frequency_sma3nz_amean,0.01,0.92225
D,83,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.009,0.92548
D,84,opensmile_alphaRatioV_sma3nz_stddevNorm,0.008,0.92724
D,85,opensmile_mfcc4_sma3_amean,0.005,0.94591
D,86,opensmile_mfcc4_sma3_stddevNorm,0.005,0.9462
D,87,opensmile_mfcc2_sma3_amean,0.003,0.9542
D,88,opensmile_mfcc1V_sma3nz_amean,0.001,0.97365
T,1,opensmile_mfcc1V_sma3nz_stddevNorm,10.722,0.00144
T,2,opensmile_mfcc3V_sma3nz_stddevNorm,8.323,0.00476
T,3,opensmile_mfcc4_sma3_stddevNorm,6.4,0.01292
T,4,opensmile_mfcc1_sma3_stddevNorm,5.731,0.01846
T,5,opensmile_shimmerLocaldB_sma3nz_stddevNorm,5.096,0.02607
T,6,opensmile_hammarbergIndexUV_sma3nz_amean,4.875,0.02944
T,7,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,4.732,0.03188
T,8,opensmile_spectralFlux_sma3_stddevNorm,4.55,0.03527
T,9,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,4.545,0.03537
T,10,opensmile_slopeUV500-1500_sma3nz_amean,4.529,0.03569
T,11,opensmile_F2frequency_sma3nz_stddevNorm,4.528,0.03571
T,12,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,4.255,0.04164
T,13,opensmile_mfcc4V_sma3nz_stddevNorm,4.245,0.04187
T,14,opensmile_MeanUnvoicedSegmentLength,4.18,0.04343
T,15,opensmile_mfcc2V_sma3nz_stddevNorm,4.165,0.0438
T,16,opensmile_equivalentSoundLevel_dBp,3.864,0.05201
T,17,opensmile_mfcc3_sma3_stddevNorm,3.852,0.05236
T,18,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,3.688,0.05753
T,19,opensmile_loudnessPeaksPerSec,3.66,0.05849
T,20,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,3.442,0.06638
T,21,opensmile_loudness_sma3_stddevNorm,3.4,0.06806
T,22,opensmile_loudness_sma3_stddevRisingSlope,3.36,0.06966
T,23,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,3.118,0.08038
T,24,opensmile_loudness_sma3_stddevFallingSlope,3.081,0.08218
T,25,opensmile_F2bandwidth_sma3nz_stddevNorm,2.98,0.08727
T,26,opensmile_loudness_sma3_pctlrange0-2,2.821,0.09604
T,27,opensmile_shimmerLocaldB_sma3nz_amean,2.477,0.11854
T,28,opensmile_slopeV0-500_sma3nz_stddevNorm,2.477,0.11856
T,29,opensmile_loudness_sma3_percentile50.0,2.304,0.13206
T,30,opensmile_loudness_sma3_amean,2.181,0.14275
T,31,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,2.179,0.14296
T,32,opensmile_alphaRatioUV_sma3nz_amean,1.849,0.17684
T,33,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,1.501,0.22335
T,34,opensmile_F1bandwidth_sma3nz_amean,1.454,0.23058
T,35,opensmile_HNRdBACF_sma3nz_stddevNorm,1.425,0.23537
T,36,opensmile_F2bandwidth_sma3nz_amean,1.399,0.23964
T,37,opensmile_spectralFluxV_sma3nz_stddevNorm,1.289,0.2588
T,38,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1.197,0.27652
T,39,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,1.07,0.30345
T,40,opensmile_mfcc1V_sma3nz_amean,1.022,0.31443
T,41,opensmile_F3amplitudeLogRelF0_sma3nz_amean,1.007,0.318
T,42,opensmile_jitterLocal_sma3nz_amean,0.941,0.33439
T,43,opensmile_alphaRatioV_sma3nz_amean,0.907,0.34314
T,44,opensmile_jitterLocal_sma3nz_stddevNorm,0.84,0.36165
