task_relevance,content_depth,reasoning_present,connecting_ideas,te_continuous,predicted_level,group_name,sec,y,our_te
0.8,0.3,0.2,0.1,0.45,medium,dyad_02,0.0,0,0.4986761368816111
0.85,0.7,0.75,0.8,0.78,high,dyad_02,60.0,0,0.2724658119688888
0.85,0.7,0.75,0.7,0.75,high,dyad_02,120.0,0,0.4078707711227499
0.9,0.7,0.75,0.8,0.75,high,dyad_02,180.0,0,0.4473522554120279
0.85,0.5,0.6,0.5,0.55,medium,dyad_02,240.0,0,0.2099022212443889
0.95,0.8,0.85,0.85,0.85,high,dyad_02,300.0,1,0.6217239720983333
0.9,0.75,0.8,0.75,0.82,high,dyad_02,360.0,0,0.4552963914227222
0.9,0.85,0.8,0.9,0.85,high,dyad_02,420.0,0,0.4231071428659445
0.0,0.0,0.0,0.0,0.0,low,dyad_02,480.0,0,0.3238157197414395
0.95,0.85,0.9,0.8,0.85,high,dyad_03,0.0,1,0.6298197665480277
0.9,0.75,0.7,0.85,0.8,high,dyad_03,60.0,1,0.7264631681747222
0.9,0.45,0.5,0.55,0.55,medium,dyad_03,120.0,1,0.5531491092265278
0.9,0.8,0.8,0.9,0.85,high,dyad_03,180.0,1,0.7319776263244445
0.85,0.65,0.55,0.75,0.7,high,dyad_03,240.0,1,0.6036047930391945
0.9,0.6,0.5,0.65,0.65,medium,dyad_03,300.0,0,0.4608534542926111
0.95,0.85,0.9,0.8,0.87,high,dyad_03,360.0,1,0.6881116721330556
0.95,0.85,0.85,0.8,0.86,high,dyad_03,420.0,1,0.7070524255663889
0.8,0.3,0.35,0.35,0.45,medium,dyad_03,480.0,1,0.5078846653495556
0.8,0.4,0.3,0.5,0.5,medium,dyad_03,540.0,0,0.4316187858134444
0.95,0.75,0.85,0.8,0.8,high,dyad_03,600.0,1,0.5683829529317221
0.9,0.75,0.8,0.75,0.8,high,dyad_03,660.0,1,0.6101943920582117
0.55,0.4,0.2,0.4,0.45,medium,dyad_04,0.0,1,0.5519470567523556
0.8,0.45,0.2,0.65,0.55,medium,dyad_04,60.0,1,0.7277517628813889
0.9,0.7,0.65,0.75,0.75,high,dyad_04,120.0,1,0.6948082331266667
0.85,0.4,0.25,0.5,0.5,medium,dyad_04,180.0,1,0.61195900973775
0.85,0.5,0.4,0.6,0.6,medium,dyad_04,240.0,1,0.6201198189197222
0.9,0.75,0.8,0.7,0.8,high,dyad_04,300.0,1,0.5646469897850833
0.9,0.75,0.75,0.8,0.8,high,dyad_04,360.0,1,0.6399989653696944
0.4,0.3,0.2,0.3,0.35,medium,dyad_04,420.0,0,0.3627271963639999
0.6,0.5,0.7,0.4,0.6,medium,dyad_04,480.0,0,0.0434318209593888
0.7,0.4,0.3,0.3,0.45,medium,dyad_04,540.0,1,0.6491701336736667
0.95,0.8,0.75,0.85,0.83,high,dyad_04,600.0,1,0.6342525899964445
0.8,0.65,0.6,0.7,0.72,medium,dyad_05,0.0,0,0.4100581045243333
0.95,0.8,0.75,0.85,0.84,high,dyad_05,60.0,1,0.7018848562949167
0.9,0.75,0.8,0.85,0.82,high,dyad_05,120.0,1,0.500711030489061
0.9,0.5,0.6,0.4,0.55,medium,dyad_05,180.0,0,0.4874495371702222
0.75,0.6,0.5,0.65,0.62,medium,dyad_05,240.0,0,0.2838843132601944
0.85,0.75,0.8,0.8,0.78,high,dyad_05,300.0,1,0.6371844107688056
0.85,0.75,0.7,0.8,0.78,high,dyad_05,360.0,1,0.6798016584086113
0.95,0.85,0.8,0.85,0.86,high,dyad_05,420.0,1,0.5805376467411111
0.85,0.7,0.8,0.75,0.78,high,dyad_05,480.0,0,0.4850863997424083
0.85,0.5,0.45,0.55,0.6,medium,dyad_05,540.0,0,0.1354237921640277
0.5,0.2,0.1,0.2,0.3,medium,dyad_05,600.0,0,0.1861503682682945
0.95,0.8,0.75,0.85,0.84,high,dyad_06,0.0,1,0.7269570957969445
0.95,0.85,0.85,0.9,0.9,high,dyad_06,60.0,1,0.7929098838669446
0.95,0.85,0.8,0.9,0.85,high,dyad_06,120.0,1,0.7596130571547222
0.5,0.4,0.2,0.7,0.5,medium,dyad_06,180.0,0,0.4523527003572778
0.9,0.85,0.8,0.9,0.85,high,dyad_06,240.0,1,0.7987622223049999
0.9,0.85,0.8,0.85,0.85,high,dyad_06,300.0,1,0.7782542205911112
0.95,0.82,0.85,0.85,0.85,high,dyad_06,360.0,1,0.839679581423889
0.95,0.8,0.75,0.85,0.85,high,dyad_06,420.0,1,0.7576334111522779
0.9,0.8,0.8,0.85,0.85,high,dyad_06,480.0,1,0.8051506790267745
0.8,0.75,0.7,0.8,0.75,high,dyad_07,0.0,1,0.5385189039358056
0.6,0.45,0.5,0.55,0.52,medium,dyad_07,60.0,0,0.3777757148286011
0.75,0.35,0.2,0.4,0.45,medium,dyad_07,120.0,0,0.3582115035468689
0.9,0.8,0.85,0.75,0.82,high,dyad_07,180.0,1,0.5133003097566389
0.9,0.85,0.8,0.85,0.85,high,dyad_07,240.0,1,0.7186857987081112
0.95,0.85,0.75,0.9,0.85,high,dyad_07,300.0,1,0.7994157436838888
0.9,0.65,0.6,0.75,0.72,high,dyad_07,360.0,1,0.5589511373620834
0.75,0.85,0.85,0.8,0.82,high,dyad_07,420.0,1,0.5755048236152861
0.85,0.8,0.85,0.8,0.82,high,dyad_07,480.0,1,0.5351214727474446
0.9,0.75,0.8,0.75,0.8,high,dyad_07,540.0,1,0.7300295236686111
0.95,0.85,0.9,0.85,0.9,high,dyad_07,600.0,1,0.7187209852224282
0.7,0.4,0.3,0.5,0.5,medium,dyad_10,0.0,0,0.2587226414505694
0.85,0.3,0.2,0.3,0.45,medium,dyad_10,60.0,0,0.2532676171217151
0.85,0.4,0.3,0.35,0.5,medium,dyad_10,120.0,0,0.2501759305043657
0.25,0.1,0.0,0.0,0.2,low,dyad_10,180.0,0,0.036475737708111
0.1,0.1,0.0,0.0,0.1,low,dyad_10,240.0,0,0.0677543620631944
0.2,0.1,0.0,0.0,0.15,low,dyad_10,300.0,0,0.029329870475
0.2,0.1,0.0,0.0,0.15,low,dyad_10,360.0,0,0.0273045932427671
0.9,0.65,0.6,0.7,0.7,medium,dyad_11,0.0,1,0.5654567003297285
0.9,0.45,0.45,0.5,0.5,medium,dyad_11,60.0,1,0.5512175996819166
0.9,0.65,0.6,0.7,0.7,medium,dyad_11,120.0,1,0.5949608822155111
0.9,0.85,0.85,0.9,0.85,high,dyad_11,180.0,0,0.4925315849312314
0.95,0.8,0.75,0.85,0.83,high,dyad_11,240.0,0,0.4977349148179463
0.9,0.5,0.5,0.6,0.55,medium,dyad_11,300.0,0,0.4193432652986554
0.9,0.75,0.8,0.75,0.8,high,dyad_11,360.0,1,0.5677373010261112
0.95,0.85,0.8,0.85,0.86,high,dyad_11,420.0,1,0.6761385813930555
0.9,0.8,0.75,0.8,0.8,high,dyad_11,480.0,0,0.311319661254942
0.85,0.55,0.65,0.5,0.6,medium,triad_01,0.0,1,0.5314627806879177
0.4,0.2,0.1,0.0,0.2,low,triad_01,60.0,0,0.03246810867206
0.9,0.8,0.75,0.85,0.85,high,triad_01,120.0,0,0.4871794125775416
0.9,0.75,0.8,0.8,0.82,high,triad_01,180.0,1,0.5826477613399867
0.9,0.7,0.75,0.8,0.75,high,triad_01,240.0,1,0.721259248241111
0.45,0.3,0.2,0.25,0.35,medium,triad_01,300.0,0,0.4220059879597224
0.75,0.55,0.45,0.65,0.6,medium,triad_01,360.0,0,0.3213894620166111
0.1,0.1,0.0,0.0,0.1,low,triad_01,420.0,0,0.0238671219599999
0.0,0.0,0.0,0.0,0.0,low,triad_01,480.0,0,0.0240724129729999
0.75,0.3,0.15,0.1,0.4,medium,triad_01,540.0,0,0.0267092245087777
0.9,0.85,0.9,0.8,0.86,high,triad_01,600.0,1,0.6391176935084999
0.95,0.85,0.8,0.85,0.86,high,triad_01,660.0,1,0.6574369573809722
0.85,0.2,0.1,0.1,0.35,medium,triad_01,720.0,0,0.445944166429809
0.7,0.3,0.1,0.2,0.4,medium,triad_02,0.0,0,0.0417030712419166
0.95,0.82,0.85,0.88,0.85,high,triad_02,60.0,1,0.5911185021903056
0.95,0.85,0.85,0.9,0.85,high,triad_02,120.0,1,0.7448964440538891
0.95,0.85,0.8,0.85,0.86,high,triad_02,180.0,1,0.7404507464019443
0.95,0.85,0.8,0.85,0.86,high,triad_02,240.0,1,0.7628202850505555
0.9,0.85,0.8,0.85,0.85,high,triad_02,300.0,1,0.7666862326063889
0.9,0.7,0.8,0.75,0.78,high,triad_02,360.0,1,0.6767680172861111
0.95,0.85,0.8,0.9,0.88,high,triad_02,420.0,1,0.6754945129326111
0.7,0.4,0.2,0.3,0.45,medium,triad_05,0.0,0,0.3451081121615091
0.9,0.7,0.7,0.75,0.75,high,triad_05,60.0,0,0.3519510095212551
0.95,0.7,0.8,0.75,0.75,high,triad_05,120.0,1,0.532467059417247
0.9,0.7,0.8,0.75,0.78,high,triad_05,180.0,1,0.6181514634072013
0.9,0.8,0.85,0.8,0.85,high,triad_05,240.0,1,0.5586770698163337
0.9,0.75,0.8,0.85,0.8,high,triad_05,300.0,0,0.3735367521031992
0.65,0.8,0.75,0.8,0.75,high,triad_05,360.0,0,0.2197161940876247
0.85,0.75,0.7,0.8,0.78,high,triad_05,420.0,0,0.3284297923837576
0.95,0.8,0.85,0.75,0.85,high,triad_05,480.0,0,0.4472950783509798
0.9,0.8,0.75,0.8,0.8,high,triad_05,540.0,1,0.5343201061044265
0.45,0.3,0.15,0.35,0.35,low,triad_05,600.0,0,0.4100572178435644
0.9,0.75,0.7,0.8,0.8,high,triad_06,0.0,1,0.5067732743806617
0.9,0.8,0.75,0.85,0.82,high,triad_06,60.0,1,0.587485260300249
0.95,0.82,0.85,0.8,0.85,high,triad_06,120.0,1,0.712605357746389
0.9,0.7,0.7,0.75,0.75,high,triad_06,180.0,1,0.639182625896436
0.9,0.8,0.75,0.85,0.83,high,triad_06,240.0,1,0.5837846628109212
0.9,0.85,0.85,0.8,0.85,high,triad_06,300.0,1,0.6819917786150158
0.85,0.65,0.7,0.7,0.7,medium,triad_06,360.0,0,0.2646276222244116
0.95,0.85,0.85,0.85,0.87,high,triad_06,420.0,1,0.6830023752162964
0.9,0.75,0.8,0.75,0.78,high,triad_06,480.0,1,0.637230515579287
0.9,0.75,0.7,0.8,0.78,high,triad_06,540.0,1,0.5589942088826797
0.5,0.3,0.1,0.2,0.4,medium,triad_06,600.0,0,0.1337756288996176
0.95,0.7,0.75,0.8,0.7,high,triad_07,0.0,0,0.4231921914942277
0.85,0.4,0.4,0.5,0.55,medium,triad_07,60.0,0,0.3069956422749147
0.7,0.4,0.3,0.35,0.5,medium,triad_07,120.0,0,0.2528882421662394
0.9,0.7,0.5,0.8,0.75,high,triad_07,180.0,1,0.5748092829468454
0.85,0.4,0.45,0.4,0.55,medium,triad_07,240.0,0,0.4693908546907093
0.7,0.1,0.0,0.0,0.2,low,triad_07,300.0,0,0.0351389290539583
0.7,0.3,0.2,0.2,0.45,medium,triad_07,360.0,0,0.1323802051578369
0.2,0.0,0.0,0.0,0.1,low,triad_07,420.0,0,0.0074067051827114
0.5,0.3,0.3,0.2,0.4,medium,triad_08,0.0,0,0.3469088629765278
0.4,0.3,0.1,0.1,0.3,medium,triad_08,60.0,0,0.0057309964781314
0.1,0.1,0.0,0.0,0.1,low,triad_08,120.0,0,0.0279535641464004
0.4,0.2,0.1,0.15,0.25,medium,triad_08,180.0,0,0.00745976025
0.2,0.1,0.0,0.0,0.2,low,triad_08,240.0,0,0.0408041138082611
0.3,0.2,0.15,0.0,0.25,low,triad_08,300.0,0,0.1063843731191768
0.5,0.2,0.1,0.0,0.3,medium,triad_08,360.0,0,0.0077448564313906
0.4,0.35,0.4,0.4,0.38,medium,triad_09,0.0,0,0.2565471896005921
0.95,0.75,0.7,0.75,0.8,high,triad_09,60.0,1,0.6500764814493579
0.9,0.6,0.55,0.7,0.68,medium,triad_09,120.0,1,0.509898339001463
0.9,0.7,0.7,0.8,0.75,high,triad_09,180.0,1,0.687462391713074
0.9,0.85,0.85,0.9,0.88,high,triad_09,240.0,1,0.6811201059675925
0.95,0.85,0.8,0.85,0.86,high,triad_09,300.0,1,0.689472938393148
0.9,0.7,0.8,0.75,0.75,high,triad_09,360.0,1,0.5827389344354661
0.4,0.2,0.15,0.1,0.25,low,triad_09,420.0,1,0.6711628430045806
0.9,0.8,0.85,0.75,0.82,high,triad_10,0.0,1,0.5565558543085138
0.7,0.5,0.6,0.55,0.6,medium,triad_10,60.0,0,0.3274050169523897
0.6,0.35,0.3,0.25,0.4,medium,triad_10,120.0,0,0.3357521702219699
0.45,0.35,0.25,0.2,0.4,medium,triad_10,180.0,0,0.2317925835342129
0.2,0.1,0.0,0.0,0.15,low,triad_10,240.0,0,0.0878145870868171
0.9,0.7,0.6,0.75,0.74,high,triad_10,300.0,0,0.3700912441825079
0.8,0.4,0.3,0.4,0.45,medium,triad_10,360.0,0,0.3023164116244213
0.85,0.45,0.35,0.4,0.5,medium,triad_11,0.0,0,0.4414070231559628
0.8,0.3,0.2,0.3,0.5,medium,triad_11,60.0,0,0.4406409182924073
0.6,0.4,0.3,0.35,0.45,medium,triad_11,120.0,0,0.312513743786811
0.8,0.35,0.25,0.3,0.42,medium,triad_11,180.0,0,0.4547072987244686
0.95,0.75,0.7,0.8,0.8,high,triad_12,0.0,0,0.4529175840820981
0.9,0.7,0.6,0.8,0.75,high,triad_12,60.0,0,0.3751953537895083
0.85,0.75,0.75,0.8,0.8,high,triad_12,120.0,0,0.3303785444374528
0.95,0.85,0.8,0.9,0.85,high,triad_12,180.0,1,0.6160410175288887
0.9,0.75,0.75,0.8,0.8,high,triad_12,240.0,1,0.643954317353574
0.9,0.75,0.75,0.8,0.8,high,triad_12,300.0,1,0.5895810656915741
0.95,0.85,0.75,0.9,0.85,high,triad_12,360.0,1,0.6147174363824074
0.4,0.3,0.1,0.3,0.35,medium,triad_12,420.0,0,0.2745080139034277
0.8,0.5,0.4,0.6,0.55,medium,triad_13,0.0,0,0.4081810441745203
0.95,0.85,0.8,0.9,0.87,high,triad_13,60.0,1,0.6845918980648148
