,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[0 5]
 [0 8]]",0.0
1,Baseline Most Frequent Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[0 7]
 [0 4]]",0.0
2,Baseline Most Frequent Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[0 9]
 [0 2]]",0.015625
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[0 4]
 [0 7]]",0.015625
4,Baseline Most Frequent Strategy,5,0.6,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[0 4]
 [0 6]]",0.015625
5,Baseline Most Frequent Strategy,6,0.375,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[0 5]
 [0 3]]",0.015625
6,Baseline Most Frequent Strategy,7,0.5,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[0 4]
 [0 4]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.25,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_02,60,"[[0 6]
 [0 2]]",0.0
9,Baseline Most Frequent Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_10,60,"[[0 1]
 [0 6]]",0.015625
10,Baseline Most Frequent Strategy,11,1.0,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_08,60,[[7]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_11,60,[[4]],0.015625
12,Baseline Most Frequent Strategy,avg,0.5836954711954712,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,avg,60,"[[ 0 48]
 [ 0 58]]",0.09375
13,Baseline Most Frequent Strategy,std,0.25803507499920614,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,std,60,"[[ 0 48]
 [ 0 58]]",0.09375
14,Baseline Prior Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[0 5]
 [0 8]]",0.0
15,Baseline Prior Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[0 7]
 [0 4]]",0.015625
16,Baseline Prior Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[0 9]
 [0 2]]",0.015625
17,Baseline Prior Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[0 4]
 [0 7]]",0.0
18,Baseline Prior Strategy,5,0.6,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[0 4]
 [0 6]]",0.0
19,Baseline Prior Strategy,6,0.375,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[0 5]
 [0 3]]",0.0
20,Baseline Prior Strategy,7,0.5,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[0 4]
 [0 4]]",0.0
21,Baseline Prior Strategy,8,0.625,Nested,SCALER_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[0 3]
 [0 5]]",0.0
