,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Most Frequent Strategy,1,0.38461538461538464,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_01,60,"[[5 0]
 [8 0]]",0.0,0.0,0.38461538461538464
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.03125,0.8333333333333334,0.0
2,Baseline Most Frequent Strategy,3,0.8181818181818182,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.015625,0.8181818181818182,0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.0,0.45454545454545453,0.0
4,Baseline Most Frequent Strategy,5,0.6363636363636364,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.015625,0.6363636363636364,0.0
5,Baseline Most Frequent Strategy,6,0.8181818181818182,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_06,60,"[[9 0]
 [2 0]]",0.0,0.0,0.8181818181818182
6,Baseline Most Frequent Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_05,60,"[[4 0]
 [7 0]]",0.015625,0.0,0.36363636363636365
7,Baseline Most Frequent Strategy,8,0.6363636363636364,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_13,60,"[[7 0]
 [4 0]]",0.015625,0.0,0.6363636363636364
8,Baseline Most Frequent Strategy,9,0.4,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_14,60,"[[4 0]
 [6 0]]",0.0,0.0,0.4
9,Baseline Most Frequent Strategy,10,1.0,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_06,60,[[9]],0.03125,1.0,0.0
